,gor
2008-07-28,7.4
2008-07-29,7.49
2008-07-30,7.13
2008-07-31,7.37
2008-08-01,7.34
2008-08-04,7.41
2008-08-05,7.43
2008-08-06,7.52
2008-08-07,7.41
2008-08-08,7.56
2008-08-11,7.31
2008-08-12,7.31
2008-08-13,7.29
2008-08-14,7.16
2008-08-15,7.0
2008-08-18,7.15
2008-08-19,7.19
2008-08-20,7.11
2008-08-21,6.97
2008-08-22,7.22
2008-08-25,7.21
2008-08-26,7.2
2008-08-27,7.11
2008-08-28,7.31
2008-08-29,7.29
2008-09-01,7.47
2008-09-02,7.43
2008-09-03,7.42
2008-09-04,7.49
2008-09-05,7.72
2008-09-08,7.76
2008-09-09,7.75
2008-09-10,7.6
2008-09-11,7.65
2008-09-12,7.84
2008-09-15,8.52
2008-09-16,8.74
2008-09-17,9.11
2008-09-18,8.9
2008-09-19,8.96
2008-09-26,8.49
2008-09-29,9.68
2008-09-30,8.87
2008-10-01,9.13
2008-10-02,9.24
2008-10-03,9.26
2008-10-06,10.27
2008-10-07,10.48
2008-10-08,10.76
2008-10-09,11.05
2008-10-10,11.47
2008-10-13,10.75
2008-10-14,11.23
2008-10-15,11.96
2008-10-16,12.13
2008-10-17,11.26
2008-10-20,11.06
2008-10-21,11.07
2008-10-22,11.32
2008-10-23,10.94
2008-10-24,11.84
2008-10-27,11.9
2008-10-28,12.39
2008-10-29,11.53
2008-10-30,11.59
2008-10-31,11.09
2008-11-03,11.96
2008-11-04,11.49
2008-11-05,11.97
2008-11-06,12.76
2008-11-07,12.84
2008-11-10,12.63
2008-11-11,13.13
2008-11-12,13.6
2008-11-13,14.17
2008-11-14,13.68
2008-11-17,14.11
2008-11-18,14.24
2008-11-19,14.2
2008-11-20,15.5
2008-11-21,16.27
2008-11-24,15.24
2008-11-25,16.31
2008-11-26,15.08
2008-11-27,15.36
2008-11-28,15.29
2008-12-01,16.03
2008-12-02,17.22
2008-12-03,17.03
2008-12-04,18.14
2008-12-05,19.03
2008-12-08,17.8
2008-12-09,18.71
2008-12-10,19.12
2008-12-11,17.33
2008-12-12,17.72
2008-12-15,18.8
2008-12-16,19.26
2008-12-17,19.06
2008-12-18,19.67
2008-12-19,19.05
2008-12-22,20.46
2008-12-23,20.82
2008-12-24,23.16
2008-12-26,22.66
2008-12-29,21.71
2008-12-30,21.76
2008-12-31,19.35
2009-01-02,18.66
2009-01-05,17.32
2009-01-06,17.1
2009-01-07,18.38
