,gsr
1998-07-27,51.3
1998-07-28,51.46
1998-07-29,51.89
1998-07-30,52.35
1998-07-31,52.56
1998-08-03,52.69
1998-08-04,52.81
1998-08-05,53.13
1998-08-06,52.82
1998-08-07,54.19
1998-08-10,53.83
1998-08-11,54.82
1998-08-12,54.69
1998-08-13,54.88
1998-08-14,54.94
1998-08-17,55.57
1998-08-18,55.98
1998-08-19,55.67
1998-08-20,55.15
1998-08-21,54.98
1998-08-24,55.38
1998-08-25,56.16
1998-08-26,56.91
1998-08-27,56.67
1998-08-28,58.75
1998-08-31,58.88
1998-09-01,58.09
1998-09-02,57.76
1998-09-03,57.45
1998-09-04,57.03
1998-09-07,57.23
1998-09-08,58.14
1998-09-09,57.31
1998-09-10,57.63
1998-09-11,58.4
1998-09-14,58.54
1998-09-15,58.46
1998-09-16,58.39
1998-09-17,58.17
1998-09-18,58.64
1998-09-21,59.33
1998-09-22,58.63
1998-09-23,57.38
1998-09-24,56.9
1998-09-25,56.9
1998-09-28,55.93
1998-09-29,54.87
1998-09-30,55.09
1998-10-01,56.58
1998-10-02,57.69
1998-10-05,58.4
1998-10-06,57.86
1998-10-07,58.67
1998-10-08,59.55
1998-10-09,61.95
1998-10-12,61.21
1998-10-13,61.27
1998-10-14,61.42
1998-10-15,60.34
1998-10-16,60.6
1998-10-19,60.56
1998-10-20,60.58
1998-10-21,60.38
1998-10-22,59.83
1998-10-23,60.01
1998-10-26,59.2
1998-10-27,57.81
1998-10-28,57.69
1998-10-29,57.93
1998-11-02,57.54
1998-11-03,58.71
1998-11-04,58.74
1998-11-05,58.15
1998-11-06,58.29
1998-11-09,58.09
1998-11-10,58.65
1998-11-11,58.55
1998-11-12,57.77
1998-11-13,58.7
1998-11-16,59.41
1998-11-17,59.41
1998-11-18,59.43
1998-11-19,59.63
1998-11-20,60.17
1998-11-23,60.26
1998-11-24,60.33
1998-11-25,59.92
1998-11-26,60.15
1998-11-27,59.96
1998-11-30,60.21
1998-12-01,60.19
1998-12-02,62.25
1998-12-03,61.0
1998-12-04,61.05
1998-12-07,61.44
1998-12-08,61.32
1998-12-09,60.8
1998-12-10,60.82
1998-12-11,60.59
1998-12-14,59.58
1998-12-15,59.64
1998-12-16,58.22
1998-12-17,58.7
1998-12-18,58.28
1998-12-21,58.73
1998-12-22,58.59
1998-12-23,58.32
1998-12-24,58.06
1998-12-28,58.14
1998-12-29,56.79
1998-12-30,56.84
1998-12-31,57.19
1999-01-01,57.09
1999-01-04,58.24
1999-01-05,56.6
1999-01-06,55.66
1999-01-07,55.5
1999-01-08,55.08
1999-01-11,54.54
1999-01-12,55.17
1999-01-13,55.14
1999-01-14,55.64
1999-01-15,55.96
1999-01-18,55.94
1999-01-19,55.81
1999-01-20,55.58
1999-01-21,56.07
1999-01-22,55.95
1999-01-25,55.57
1999-01-26,55.89
1999-01-27,55.6
1999-01-28,54.25
1999-01-29,54.5
1999-02-01,54.3
1999-02-02,52.83
1999-02-03,51.9
1999-02-04,50.25
1999-02-05,50.89
1999-02-08,51.54
1999-02-09,52.16
1999-02-10,52.61
1999-02-11,51.65
1999-02-12,51.07
1999-02-15,50.35
1999-02-16,52.5
1999-02-17,52.59
1999-02-18,51.57
1999-02-19,51.11
1999-02-22,52.19
1999-02-23,52.26
1999-02-24,53.1
1999-02-25,51.49
1999-02-26,50.9
1999-03-01,51.6
1999-03-02,53.7
1999-03-03,54.48
1999-03-04,54.57
1999-03-05,55.36
1999-03-08,55.12
1999-03-09,55.48
1999-03-10,55.34
1999-03-11,54.93
1999-03-12,54.85
1999-03-15,56.13
1999-03-16,56.23
1999-03-17,56.25
1999-03-18,56.07
1999-03-22,55.58
1999-03-23,55.76
1999-03-24,55.22
1999-03-25,54.96
1999-03-29,55.85
1999-03-30,56.35
1999-03-31,55.64
1999-04-05,56.6
1999-04-06,56.33
1999-04-07,56.45
1999-04-08,57.04
1999-04-09,56.76
1999-04-12,57.61
1999-04-13,57.59
1999-04-14,57.67
1999-04-15,56.46
1999-04-16,56.29
1999-04-19,55.1
1999-04-20,55.34
1999-04-21,54.8
1999-04-22,54.42
1999-04-23,54.85
1999-04-26,54.82
1999-04-27,54.23
1999-04-28,53.59
1999-04-29,52.87
1999-04-30,52.87
1999-05-03,52.83
1999-05-04,53.67
1999-05-05,53.29
1999-05-06,53.72
1999-05-07,51.88
1999-05-10,51.05
1999-05-11,51.34
1999-05-12,51.55
1999-05-13,50.87
1999-05-14,51.2
1999-05-17,50.74
1999-05-18,51.4
1999-05-19,51.5
1999-05-20,51.49
1999-05-21,52.09
1999-05-24,53.99
1999-05-25,53.36
1999-05-26,52.9
1999-05-27,54.54
1999-05-28,55.08
1999-05-31,54.84
1999-06-01,53.64
1999-06-02,52.97
1999-06-03,53.53
1999-06-04,53.93
1999-06-07,53.22
1999-06-08,52.75
1999-06-09,52.39
1999-06-10,50.38
1999-06-11,51.01
1999-06-14,50.71
1999-06-15,51.42
1999-06-16,51.29
1999-06-17,50.98
1999-06-18,52.01
1999-06-21,51.77
1999-06-22,51.1
1999-06-23,51.11
1999-06-24,50.73
1999-06-25,51.23
1999-06-28,50.53
1999-06-29,50.34
1999-06-30,50.0
1999-07-01,50.08
1999-07-02,49.81
1999-07-05,49.67
1999-07-06,49.58
1999-07-07,49.36
1999-07-08,48.95
1999-07-09,49.41
1999-07-12,48.98
1999-07-13,49.87
1999-07-14,50.11
1999-07-15,49.82
1999-07-16,49.97
1999-07-19,50.25
1999-07-20,50.07
1999-07-21,49.86
1999-07-22,49.8
1999-07-23,49.45
1999-07-26,49.42
1999-07-27,49.18
1999-07-28,48.5
1999-07-29,47.81
1999-07-30,47.05
1999-08-02,47.51
1999-08-03,47.1
1999-08-04,46.74
1999-08-05,47.19
1999-08-06,47.44
1999-08-09,48.36
1999-08-10,48.41
1999-08-11,48.04
1999-08-12,48.83
1999-08-13,49.18
1999-08-16,49.63
1999-08-17,49.81
1999-08-18,49.84
1999-08-19,49.81
1999-08-20,49.22
1999-08-23,49.66
1999-08-24,49.37
1999-08-25,49.62
1999-08-26,49.37
