,close,high,low,open,volume
2008-07-28,125.84,126.49,124.05,124.4,92684.0
2008-07-29,122.71,126.76,120.88,126.12,116651.0
2008-07-30,127.1,127.61,121.42,122.59,117878.0
2008-07-31,123.98,127.52,122.92,126.9,103411.0
2008-08-01,124.18,127.94,121.94,123.42,101861.0
2008-08-04,120.68,125.3,118.8,125.3,103229.0
2008-08-05,117.7,120.05,116.91,119.99,107538.0
2008-08-06,117.0,118.77,115.6,116.98,107919.0
2008-08-07,117.86,119.75,116.25,117.2,113746.0
2008-08-08,113.33,118.1,112.8,117.8,88577.0
2008-08-11,112.67,115.32,111.07,113.85,82153.0
2008-08-12,111.15,114.31,110.47,112.88,77214.0
2008-08-13,113.47,114.93,111.01,111.55,64939.0
2008-08-14,112.64,114.89,111.88,114.41,19161.0
2008-08-15,112.55,113.05,110.31,112.78,87532.0
2008-08-18,111.94,114.15,110.85,112.3,86275.0
2008-08-19,113.25,115.38,110.7,111.94,99984.0
2008-08-20,114.36,115.59,111.61,113.85,108482.0
2008-08-21,120.16,120.93,114.55,114.75,129451.0
2008-08-22,113.92,120.91,113.38,120.16,102586.0
2008-08-25,114.03,115.6,113.0,113.0,53333.0
2008-08-26,114.63,116.52,111.65,114.45,138783.0
2008-08-27,116.22,117.25,114.32,114.32,99537.0
2008-08-28,114.17,118.26,112.81,116.42,129526.0
2008-08-29,114.05,116.75,113.5,114.97,101081.0
2008-09-01,109.41,115.56,109.17,115.5,60994.0
2008-09-02,108.34,110.45,104.14,110.45,133177.0
2008-09-03,108.06,108.4,106.17,108.3,111305.0
2008-09-04,106.3,109.16,105.16,108.38,82230.0
2008-09-05,104.09,106.65,103.43,105.97,96965.0
2008-09-08,103.44,106.9,102.34,105.1,85367.0
2008-09-09,100.34,103.79,98.94,103.58,94511.0
2008-09-10,98.97,102.06,98.1,100.0,100889.0
2008-09-11,97.64,100.2,96.99,99.2,90887.0
2008-09-12,97.58,99.44,96.33,98.01,68238.0
2008-09-15,92.38,96.59,91.17,95.99,23328.0
2008-09-16,89.22,92.13,88.9,91.57,142740.0
2008-09-17,94.84,95.13,89.03,91.95,142848.0
2008-09-18,95.57,99.13,93.4,94.85,1472.0
2008-09-19,97.47,99.13,93.4,94.85,1476.0
2008-09-26,103.54,104.0,101.2,103.77,79263.0
2008-09-29,93.98,103.29,92.64,103.29,125308.0
2008-09-30,98.17,99.87,91.1,93.3,136607.0
2008-10-01,95.33,100.31,92.87,99.45,117167.0
2008-10-02,90.56,97.03,90.26,96.1,1002200.0
2008-10-03,90.25,92.46,88.0,90.48,100636.0
2008-10-06,83.68,88.65,83.36,88.3,105237.0
2008-10-07,84.66,87.99,82.84,83.91,107678.0
2008-10-08,84.36,85.6,81.0,83.94,116754.0
2008-10-09,82.66,85.07,80.4,83.62,75417.0
2008-10-10,74.09,80.55,73.14,80.5,116791.0
2008-10-13,77.46,78.42,75.54,77.0,74259.0
2008-10-14,74.53,80.74,74.26,78.46,72704.0
2008-10-15,70.8,75.04,69.97,74.3,63767.0
2008-10-16,66.32,70.15,65.45,69.5,15391.0
2008-10-17,69.6,71.9,67.4,70.32,122222.0
2008-10-20,72.03,73.61,69.41,70.65,123280.0
2008-10-21,69.72,73.29,67.91,73.2,105840.0
2008-10-22,64.52,68.87,63.96,68.87,118935.0
2008-10-23,65.92,67.7,64.0,65.21,128467.0
2008-10-24,62.05,67.33,61.0,67.33,119425.0
2008-10-27,61.41,63.59,59.02,61.93,103166.0
2008-10-28,60.29,62.95,59.47,60.49,112057.0
2008-10-29,65.47,67.12,61.24,62.88,146683.0
2008-10-30,63.71,68.35,61.93,66.18,122032.0
