,close,high,low,open,volume
1998-07-27,5.66,5.71,5.66,5.71,0.0
1998-07-28,5.67,5.71,5.64,5.64,0.0
1998-07-29,5.59,5.75,5.59,5.69,0.0
1998-07-30,5.53,5.59,5.53,5.59,0.0
1998-07-31,5.45,5.55,5.45,5.51,0.0
1998-08-03,5.37,5.46,5.37,5.45,0.0
1998-08-04,5.46,5.49,5.37,5.37,0.0
1998-08-05,5.42,5.49,5.42,5.47,0.0
1998-08-06,5.44,5.5,5.42,5.42,0.0
1998-08-07,5.29,5.46,5.29,5.44,0.0
1998-08-10,5.34,5.36,5.29,5.29,0.0
1998-08-11,5.18,5.34,5.18,5.33,0.0
1998-08-12,5.17,5.28,5.17,5.18,0.0
1998-08-13,5.2,5.21,5.17,5.17,0.0
1998-08-14,5.17,5.21,5.17,5.21,0.0
1998-08-17,5.13,5.19,5.13,5.14,0.0
1998-08-18,5.09,5.14,5.09,5.13,0.0
1998-08-19,5.09,5.14,5.09,5.12,0.0
1998-08-20,5.17,5.21,5.08,5.08,0.0
1998-08-21,5.18,5.21,5.17,5.17,0.0
1998-08-24,5.14,5.19,5.14,5.17,0.0
1998-08-25,5.04,5.17,5.04,5.16,0.0
1998-08-26,4.96,5.12,4.96,5.04,0.0
1998-08-27,4.88,5.02,4.88,4.97,0.0
1998-08-28,4.67,4.95,4.67,4.9,0.0
1998-08-31,4.68,4.8,4.67,4.67,0.0
1998-09-01,4.8,4.88,4.71,4.71,0.0
1998-09-02,4.85,4.87,4.79,4.79,0.0
1998-09-03,4.96,5.0,4.85,4.85,0.0
1998-09-04,5.03,5.05,4.96,4.96,0.0
1998-09-07,5.04,5.07,5.03,5.03,0.0
1998-09-08,4.92,5.06,4.92,5.04,0.0
1998-09-09,4.96,4.99,4.92,4.92,0.0
1998-09-10,5.04,5.11,4.95,4.95,0.0
1998-09-11,5.03,5.15,5.03,5.07,0.0
1998-09-14,4.96,5.02,4.96,5.0,0.0
1998-09-15,4.96,5.03,4.96,4.96,0.0
1998-09-16,4.93,5.01,4.93,4.96,0.0
1998-09-17,5.01,5.03,4.93,4.93,0.0
1998-09-18,4.97,5.03,4.97,5.0,0.0
1998-09-21,4.87,5.07,4.87,4.97,0.0
1998-09-22,4.91,4.93,4.86,4.86,0.0
1998-09-23,5.05,5.08,4.89,4.89,0.0
1998-09-24,5.17,5.18,5.04,5.04,0.0
1998-09-25,5.17,5.25,5.17,5.17,0.0
