,close,high,low,open,volume
1998-07-27,290.35,291.5,289.65,291.45,0.0
1998-07-28,291.75,291.95,289.6,289.75,0.0
1998-07-29,290.05,292.15,289.25,291.85,0.0
1998-07-30,289.5,291.25,288.85,289.8,0.0
1998-07-31,286.45,290.25,285.95,288.75,0.0
1998-08-03,282.95,287.15,282.75,286.45,0.0
1998-08-04,288.35,289.55,283.5,283.5,0.0
1998-08-05,287.95,290.1,287.15,288.9,0.0
1998-08-06,287.35,288.45,286.65,287.95,0.0
1998-08-07,286.65,287.65,285.55,287.35,0.0
1998-08-10,287.45,287.85,285.25,286.85,0.0
1998-08-11,283.95,287.45,283.25,287.45,0.0
1998-08-12,282.75,286.5,282.35,284.05,0.0
1998-08-13,285.35,285.65,282.35,283.0,0.0
1998-08-14,284.05,285.65,283.55,285.5,0.0
1998-08-17,285.05,285.85,282.55,283.8,0.0
1998-08-18,284.95,285.65,284.15,284.95,0.0
1998-08-19,283.35,286.95,282.95,285.25,0.0
1998-08-20,285.15,286.15,283.0,283.55,0.0
1998-08-21,284.8,285.95,283.55,284.75,0.0
1998-08-24,284.65,285.25,283.95,284.15,0.0
1998-08-25,283.05,285.05,282.15,284.65,0.0
1998-08-26,282.25,285.15,281.05,283.05,0.0
1998-08-27,276.55,281.85,276.45,281.5,0.0
1998-08-28,274.35,278.25,271.13,277.05,0.0
1998-08-31,275.55,277.15,273.65,274.15,0.0
1998-09-01,278.85,279.65,276.75,277.35,0.0
1998-09-02,280.15,281.25,278.55,278.75,0.0
1998-09-03,284.95,286.65,278.45,280.15,0.0
1998-09-04,286.85,287.45,284.35,285.5,0.0
1998-09-07,288.45,289.25,286.85,286.85,0.0
1998-09-08,286.05,288.45,285.15,288.25,0.0
1998-09-09,284.25,287.25,283.15,286.45,0.0
1998-09-10,290.45,292.15,284.15,284.15,0.0
1998-09-11,293.75,296.95,290.15,291.15,0.0
1998-09-14,290.35,293.35,289.05,292.67,0.0
1998-09-15,289.95,292.55,289.05,289.6,0.0
1998-09-16,287.85,289.8,287.45,289.45,0.0
1998-09-17,291.45,291.5,286.7,288.05,0.0
1998-09-18,291.45,292.55,289.35,291.5,0.0
1998-09-21,288.95,293.75,287.95,290.65,0.0
1998-09-22,287.85,289.85,287.65,288.35,0.0
1998-09-23,289.75,289.85,287.4,287.75,0.0
1998-09-24,294.15,294.85,289.7,289.7,0.0
1998-09-25,294.15,299.95,293.75,294.05,0.0
1998-09-28,295.85,296.25,291.95,293.91,0.0
1998-09-29,294.65,297.5,293.45,295.85,0.0
1998-09-30,296.95,297.75,293.45,294.95,0.0
1998-10-01,299.85,301.35,296.1,296.6,0.0
1998-10-02,300.55,303.55,299.25,300.2,0.0
1998-10-05,296.65,300.4,295.85,300.4,0.0
1998-10-06,296.25,297.75,294.15,296.25,0.0
1998-10-07,301.55,301.55,296.8,296.8,0.0
1998-10-08,299.55,304.85,299.35,301.5,0.0
1998-10-09,296.75,302.25,296.25,299.6,0.0
1998-10-12,296.25,298.0,294.75,297.0,0.0
1998-10-13,296.55,297.25,295.45,296.3,0.0
1998-10-14,296.05,297.3,294.75,296.65,0.0
1998-10-15,298.7,299.05,295.35,296.0,0.0
1998-10-16,299.95,300.95,297.45,300.03,0.0
1998-10-19,296.15,300.05,296.15,300.05,0.0
1998-10-20,296.25,297.0,294.75,296.2,0.0
1998-10-21,295.25,297.25,294.75,296.6,0.0
1998-10-22,292.55,295.35,291.55,295.15,0.0
1998-10-23,292.85,293.65,291.85,292.95,0.0
1998-10-26,293.65,293.75,292.1,292.1,0.0
1998-10-27,293.1,294.6,292.4,293.7,0.0
1998-10-28,293.65,294.65,292.8,293.1,0.0
1998-10-29,292.55,294.35,291.95,293.55,0.0
1998-11-02,290.0,293.45,289.85,292.75,0.0
1998-11-03,289.45,290.65,287.9,289.9,0.0
1998-11-04,290.75,291.65,288.75,289.55,0.0
1998-11-05,293.65,294.65,290.35,290.8,0.0
1998-11-06,293.2,294.75,292.25,293.75,0.0
1998-11-09,292.75,293.05,292.25,292.85,0.0
1998-11-10,293.25,294.2,291.75,292.5,0.0
1998-11-11,293.35,294.65,292.85,293.3,0.0
1998-11-12,296.95,297.65,293.0,293.15,0.0
1998-11-13,295.85,297.65,295.25,296.7,0.0
1998-11-16,294.65,295.85,294.45,295.85,0.0
1998-11-17,294.1,295.0,293.55,294.75,0.0
1998-11-18,297.13,298.2,294.0,294.35,0.0
1998-11-19,295.75,298.3,295.35,297.5,0.0
1998-11-20,296.05,297.15,295.25,295.8,0.0
1998-11-23,296.5,296.8,295.25,296.25,0.0
1998-11-24,296.2,297.15,295.65,296.45,0.0
1998-11-25,296.6,297.35,295.45,296.25,0.0
1998-11-26,296.55,296.75,295.9,296.55,0.0
1998-11-27,296.2,297.05,295.4,296.15,0.0
1998-11-30,293.2,296.45,293.0,296.15,0.0
1998-12-01,293.75,294.65,292.65,293.25,0.0
1998-12-02,293.2,294.85,292.85,293.75,0.0
1998-12-03,292.2,293.55,291.45,293.15,0.0
1998-12-04,292.45,293.15,291.85,292.15,0.0
1998-12-07,294.89,297.25,292.1,292.15,0.0
1998-12-08,293.7,295.55,293.15,295.05,0.0
1998-12-09,293.65,295.05,293.0,293.85,0.0
1998-12-10,294.35,295.65,293.95,294.05,0.0
1998-12-11,290.85,295.75,289.55,294.65,0.0
1998-12-14,291.35,292.35,290.25,291.15,0.0
1998-12-15,292.85,293.45,291.25,291.6,0.0
1998-12-16,295.75,295.75,292.7,292.85,0.0
1998-12-17,291.75,296.25,290.95,295.4,0.0
1998-12-18,289.05,292.75,288.65,291.75,0.0
1998-12-21,288.95,290.45,288.35,290.2,0.0
1998-12-22,288.25,289.45,286.95,288.85,0.0
1998-12-23,286.95,288.1,285.35,288.05,0.0
1998-12-24,286.25,287.8,285.65,286.6,0.0
1998-12-28,286.65,287.0,285.6,286.35,0.0
1998-12-29,286.2,287.95,286.05,286.6,0.0
1998-12-30,287.05,288.15,286.15,286.25,0.0
1998-12-31,288.25,288.65,286.95,287.25,0.0
1999-01-01,287.75,287.75,287.75,287.75,0.0
1999-01-04,287.7,289.0,286.45,288.55,0.0
1999-01-05,286.95,287.95,286.25,287.55,0.0
1999-01-06,288.3,288.3,286.45,286.95,0.0
1999-01-07,291.35,291.95,287.8,288.25,0.0
1999-01-08,291.35,292.25,290.55,291.6,0.0
1999-01-11,292.9,293.5,290.65,291.25,0.0
1999-01-12,288.55,293.1,287.25,293.1,0.0
1999-01-13,286.75,289.0,284.8,289.0,0.0
1999-01-14,286.55,287.15,285.35,286.1,0.0
1999-01-15,287.05,287.15,285.15,286.5,0.0
1999-01-18,286.95,287.35,286.45,286.75,0.0
1999-01-19,286.85,287.6,285.55,287.15,0.0
1999-01-20,287.35,287.45,285.4,287.0,0.0
1999-01-21,287.65,288.75,286.88,287.2,0.0
1999-01-22,286.45,288.15,286.0,287.45,0.0
1999-01-25,287.85,288.45,286.1,286.45,0.0
1999-01-26,286.15,288.05,285.6,287.75,0.0
1999-01-27,283.0,286.3,282.25,285.95,0.0
1999-01-28,284.25,285.45,281.75,282.85,0.0
1999-01-29,286.15,286.95,284.3,284.3,0.0
1999-02-01,288.85,289.25,286.6,286.9,0.0
1999-02-02,288.45,290.35,288.3,288.8,0.0
1999-02-03,287.55,289.25,286.25,288.6,0.0
1999-02-04,289.45,290.25,286.85,287.55,0.0
1999-02-05,288.55,290.5,288.55,289.45,0.0
1999-02-08,289.15,289.95,288.55,288.75,0.0
1999-02-09,287.4,288.92,286.75,288.85,0.0
1999-02-10,287.25,288.65,286.85,287.9,0.0
1999-02-11,287.7,288.25,286.55,287.05,0.0
1999-02-12,289.55,290.45,287.0,287.75,0.0
1999-02-15,289.5,290.6,289.25,289.4,0.0
1999-02-16,285.05,288.95,284.55,288.95,0.0
1999-02-17,285.05,286.45,284.75,285.05,0.0
1999-02-18,286.2,286.45,285.15,285.35,0.0
1999-02-19,288.25,288.95,285.85,286.1,0.0
1999-02-22,287.05,288.1,286.45,287.85,0.0
1999-02-23,287.45,287.65,286.2,287.05,0.0
1999-02-24,287.8,288.45,285.75,287.3,0.0
1999-02-25,287.85,288.25,286.35,288.05,0.0
1999-02-26,287.05,287.95,285.35,287.25,0.0
1999-03-01,286.4,287.25,285.35,286.9,0.0
1999-03-02,286.75,289.25,286.15,286.45,0.0
1999-03-03,286.55,287.25,285.75,286.8,0.0
1999-03-04,288.15,288.85,286.15,286.55,0.0
1999-03-05,288.45,288.75,287.15,288.1,0.0
1999-03-08,291.6,291.65,287.85,288.1,0.0
1999-03-09,291.85,294.15,291.3,291.4,0.0
1999-03-10,292.75,293.25,291.15,291.95,0.0
1999-03-11,294.45,294.85,293.0,293.0,0.0
1999-03-12,292.35,294.65,291.05,294.4,0.0
1999-03-15,283.45,287.25,281.75,286.85,0.0
1999-03-16,283.95,285.45,283.35,283.85,0.0
1999-03-17,282.95,284.45,281.75,284.0,0.0
1999-03-18,284.25,284.35,282.95,283.1,0.0
1999-03-22,284.55,285.45,282.45,284.7,0.0
1999-03-23,283.8,285.1,283.75,284.5,0.0
1999-03-24,283.3,284.23,282.05,283.95,0.0
1999-03-25,279.75,283.8,278.95,283.25,0.0
1999-03-29,279.25,280.5,279.05,280.25,0.0
1999-03-30,280.05,281.45,278.45,279.35,0.0
1999-03-31,280.45,281.1,279.95,280.1,0.0
1999-04-01,279.85,279.85,279.85,279.85,0.0
1999-04-05,278.45,279.85,277.25,279.85,0.0
1999-04-06,279.95,280.75,278.15,278.35,0.0
1999-04-07,280.55,281.55,279.75,280.05,0.0
1999-04-08,280.65,282.35,279.45,280.25,0.0
1999-04-09,281.55,282.25,279.55,280.4,0.0
1999-04-12,282.85,284.35,281.9,281.95,0.0
1999-04-13,283.35,284.25,282.4,282.45,0.0
1999-04-14,281.45,284.4,280.75,283.5,0.0
1999-04-15,284.0,284.25,281.28,282.2,0.0
1999-04-16,284.25,284.9,283.55,284.15,0.0
1999-04-19,284.85,285.2,283.1,283.1,0.0
1999-04-20,284.45,285.15,284.05,284.55,0.0
1999-04-21,283.85,285.45,283.15,284.35,0.0
1999-04-22,283.55,283.85,282.75,283.75,0.0
1999-04-23,283.55,284.35,282.95,283.55,0.0
1999-04-26,281.25,283.5,280.45,283.4,0.0
1999-04-27,282.0,282.7,280.45,281.15,0.0
1999-04-28,282.95,283.55,281.9,281.9,0.0
1999-04-29,286.05,286.55,282.75,283.0,0.0
1999-04-30,286.55,287.75,285.4,286.1,0.0
1999-05-03,286.35,286.95,285.75,286.9,0.0
1999-05-04,285.5,286.5,284.95,286.5,0.0
1999-05-05,287.25,288.05,285.25,285.75,0.0
1999-05-06,289.55,289.95,286.85,286.95,0.0
1999-05-07,282.75,289.5,279.45,289.0,0.0
1999-05-10,278.75,282.35,278.0,282.35,0.0
1999-05-11,278.25,279.75,277.45,278.05,0.0
1999-05-12,277.35,279.0,276.25,278.1,0.0
1999-05-13,277.75,278.9,277.05,277.05,0.0
1999-05-14,275.95,278.45,275.45,277.5,0.0
1999-05-17,274.5,276.75,274.25,276.15,0.0
1999-05-18,273.95,275.75,273.55,275.15,0.0
1999-05-19,272.95,273.85,272.15,273.7,0.0
1999-05-20,274.45,275.05,273.0,273.5,0.0
1999-05-21,272.95,275.3,272.25,274.45,0.0
1999-05-24,272.65,273.3,271.65,273.3,0.0
1999-05-25,270.55,273.4,269.45,272.9,0.0
1999-05-26,269.25,271.1,268.95,270.55,0.0
1999-05-27,270.5,270.85,267.8,269.15,0.0
1999-05-28,270.45,271.8,268.55,270.4,0.0
1999-05-31,270.35,271.05,270.0,270.5,0.0
1999-06-01,267.65,270.2,265.25,270.05,0.0
1999-06-02,265.4,268.05,265.25,267.7,0.0
1999-06-03,266.05,266.85,263.5,265.2,0.0
1999-06-04,264.8,267.05,264.5,266.1,0.0
1999-06-07,265.55,267.5,264.3,265.45,0.0
1999-06-08,262.15,266.0,261.45,266.0,0.0
1999-06-09,259.35,263.0,258.15,262.25,0.0
1999-06-10,258.45,260.75,257.15,259.15,0.0
1999-06-11,260.65,261.15,258.05,258.05,0.0
1999-06-14,260.65,261.35,258.25,258.25,0.0
1999-06-15,259.15,260.75,259.15,260.45,0.0
1999-06-16,258.5,259.2,258.05,258.9,0.0
1999-06-17,258.45,259.2,258.15,258.5,0.0
1999-06-18,259.55,263.25,258.15,258.35,0.0
1999-06-21,258.85,260.0,258.13,259.15,0.0
1999-06-22,258.55,259.5,258.05,258.9,0.0
1999-06-23,260.65,260.65,258.0,258.1,0.0
1999-06-24,260.75,261.65,260.25,260.7,0.0
1999-06-25,260.25,261.55,258.85,260.9,0.0
1999-06-28,260.75,261.05,259.2,259.85,0.0
1999-06-29,260.75,262.35,260.25,260.55,0.0
1999-06-30,262.5,262.5,260.25,260.7,0.0
1999-07-01,263.4,263.85,262.6,262.75,0.0
1999-07-02,263.5,263.7,262.88,263.35,0.0
1999-07-05,262.25,263.55,261.9,263.55,0.0
1999-07-06,256.85,263.45,255.75,263.45,0.0
1999-07-07,257.15,258.75,255.65,257.05,0.0
1999-07-08,256.5,257.75,256.0,257.2,0.0
1999-07-09,256.95,259.08,256.25,256.65,0.0
1999-07-12,255.65,257.22,255.25,257.15,0.0
