,name,type,start_date ,index_code,index_name
510360.SH,广发300,etf,2015-09-09,000300.SH,沪深300
512300.SH,500医药,etf,2015-06-04,000857.SH,500医药
510170.SH,商品ETF,etf,2011-01-25,000066.SH,上证商品
159952.SZ,创业ETF,etf,2017-05-19,399006.SZ,创业板指
510300.SH,300ETF,etf,2012-05-28,000300.SH,沪深300
510130.SH,中盘ETF,etf,2010-06-23,000044.SH,上证中盘
510580.SH,ZZ500ETF,etf,2015-09-14,000905.SH,中证500
159929.SZ,医药ETF,etf,2013-09-16,399933.SZ,中证医药卫生指数
512900.SH,证券基金,etf,2017-03-31,399975.SZ,中证全指证券公司指数(四级行业)
160635.SZ,医药基金,lof,2016-08-01,399933.SZ,中证医药卫生指数
162510.SZ,国安双力,lof,2015-05-20,399101.SZ,中小板综
159940.SZ,全指金融,etf,2015-04-17,000992.SH,全指金融
512680.SH,军工基金,etf,2016-10-14,399967.SZ,中证军工
510430.SH,50等权,etf,2012-09-24,000050.SH,50等权
510190.SH,龙头ETF,etf,2011-01-10,000065.SH,上证龙头
159936.SZ,可选消费,etf,2014-06-25,000989.SH,全指可选
160706.SZ,嘉实300,lof,2005-10-17,000300.SH,沪深300
167901.SZ,华宸300,lof,2013-06-03,000300.SH,沪深300
159924.SZ,300等权,etf,2013-06-05,000984.SH,300等权
510150.SH,消费ETF,etf,2011-02-25,000069.SH,消费80
159930.SZ,能源ETF,etf,2013-09-16,399928.SZ,中证能源指数
166007.SZ,中欧300,lof,2010-08-16,000300.SH,沪深300
510630.SH,消费行业,etf,2013-05-08,000036.SH,上证消费
159919.SZ,300ETF,etf,2012-05-28,000300.SH,沪深300
510050.SH,50ETF,etf,2005-02-23,000016.SH,上证50
512400.SH,有色金属,lof,2017-09-01,000819.SH,有色金属
510270.SH,国企ETF,etf,2011-08-18,000056.SH,上证国企
510880.SH,红利ETF,etf,2007-01-18,000015.SH,红利指数
161630.SZ,融通农业,lof,2017-02-15,399814.SZ,中证大农业指数
512070.SH,非银ETF,etf,2014-07-18,000849.SH,沪深300非银行金融指数
160616.SZ,鹏华500,lof,2010-04-28,399905.SZ,中证500
512010.SH,医药ETF,etf,2013-10-28,000913.SH,300医药
510160.SH,小康ETF,etf,2010-11-01,399901.SZ,中证南方小康产业指数
512660.SH,军工ETF,etf,2016-08-08,399967.SZ,中证军工
159946.SZ,全指消费,etf,2015-07-13,000990.SH,全指消费
510310.SH,HS300ETF,etf,2013-03-25,000300.SH,沪深300
159938.SZ,广发医药,etf,2015-01-08,000991.SH,全指医药
160223.SZ,创业板基,lof,2016-11-28,399006.SZ,创业板指
512600.SH,主要消费,etf,2014-07-25,000932.SH,中证消费
165525.SZ,基建工程,lof,2016-12-09,399995.SZ,中证基建工程指数
512640.SH,金融地产,etf,2014-07-25,000934.SH,中证金融
512800.SH,银行ETF,etf,2017-08-03,399986.SZ,中证银行指数
512560.SH,中证军工,lof,2017-07-28,399967.SZ,中证军工
160225.SZ,新汽车,lof,2016-07-20,399417.SZ,国证新能源汽车指数
159923.SZ,100ETF,etf,2013-03-05,000903.SH,中证100
501050.SH,50AH,lof,2016-11-28,000016.SH,上证50
159932.SZ,500深ETF,etf,2013-10-21,399802.SZ,500深市
