,open,close,high,low,volume,money,change,pe,pb,cap,dyr,roe
1999-12-30,1000.0,1000.0,1000.0,1000.0,1963.0,22799.0,0.0,37.37,3.74,444.25,,9.99
2000-01-04,998.77,1026.71,1034.87,985.3,4114.0,47325.0,2.67,38.43,3.88,455.98,0.39,9.9
2000-01-05,1025.64,1029.57,1055.21,1009.88,5948.0,68473.0,0.28,38.53,3.89,457.34,0.39,9.9
2000-01-06,1028.38,1067.96,1074.6,1013.8,8180.0,96103.0,3.73,40.1,4.03,475.93,0.37,9.95
2000-01-07,1076.25,1108.28,1120.62,1062.7,14252.0,175407.0,3.78,41.67,4.18,493.96,0.36,9.97
2000-01-10,1117.18,1129.94,1146.76,1091.84,13835.0,177933.0,1.95,42.55,4.24,504.96,0.35,10.04
2000-01-11,1132.98,1086.76,1144.69,1068.48,10777.0,136877.0,-3.82,40.87,4.07,485.6,0.36,10.04
2000-01-12,1079.3,1053.34,1100.71,1040.23,7472.0,89856.0,-3.08,39.68,3.95,471.27,0.37,10.05
2000-01-13,1052.8,1048.31,1069.57,1031.93,4097.0,47042.0,-0.48,39.56,3.93,468.84,0.37,10.07
2000-01-14,1048.79,1036.22,1063.6,1024.3,5004.0,49092.0,-1.15,39.15,3.89,463.32,0.37,10.06
2000-01-17,1035.34,1057.05,1066.98,1020.61,5282.0,62394.0,2.01,39.87,3.96,473.21,0.36,10.07
2000-01-18,1059.23,1055.75,1081.89,1039.0,5926.0,69828.0,-0.12,39.9,3.96,473.74,0.36,10.08
2000-01-19,1056.8,1071.83,1085.29,1043.29,6403.0,72736.0,1.52,40.73,3.99,482.43,0.35,10.21
2000-01-20,1071.82,1093.7,1108.14,1061.15,8988.0,116171.0,2.04,41.59,3.99,503.87,0.35,10.42
2000-01-21,1097.93,1088.86,1123.3,1069.78,12856.0,167723.0,-0.44,41.45,3.96,502.7,0.35,10.47
2000-01-24,1090.79,1113.7,1130.96,1065.34,12132.0,152934.0,2.28,42.58,4.06,514.83,0.34,10.49
2000-01-25,1119.4,1109.4,1149.55,1087.55,11332.0,146412.0,-0.39,42.32,4.03,512.87,0.34,10.5
2000-01-26,1111.27,1113.5,1135.55,1090.68,10226.0,118412.0,0.37,42.39,4.01,518.96,0.34,10.57
2000-01-27,1122.96,1134.28,1158.06,1098.81,14239.0,179185.0,1.87,43.1,4.09,529.28,0.32,10.54
2000-01-28,1145.65,1150.49,1171.98,1118.32,16455.0,200681.0,1.43,43.57,4.14,537.59,0.32,10.52
2000-02-14,1190.8,1252.47,1255.94,1171.65,22184.0,302055.0,8.86,47.48,4.51,585.36,0.29,10.53
2000-02-15,1278.85,1239.96,1325.32,1213.11,28480.0,405933.0,-1.0,46.72,4.52,580.66,0.3,10.34
2000-02-16,1242.69,1237.01,1277.26,1187.03,27495.0,374164.0,-0.24,46.37,4.49,579.02,0.3,10.33
2000-02-17,1256.74,1177.34,1303.21,1151.64,29968.0,397714.0,-4.82,44.48,4.27,558.04,0.32,10.42
2000-02-18,1164.6,1202.81,1220.92,1129.53,17594.0,233914.0,2.16,45.42,4.36,569.45,0.31,10.42
2000-02-21,1206.37,1213.84,1251.39,1160.7,20646.0,277758.0,0.92,45.92,4.4,574.87,0.31,10.44
2000-02-22,1219.8,1202.8,1269.33,1176.21,18938.0,266881.0,-0.91,45.61,4.37,569.14,0.31,10.44
2000-02-23,1191.42,1183.53,1228.23,1153.25,16511.0,213296.0,-1.6,44.95,4.3,559.95,0.33,10.45
2000-02-24,1184.36,1232.86,1252.78,1173.54,20854.0,271783.0,4.17,46.97,4.5,583.27,0.31,10.44
2000-02-25,1243.73,1245.31,1283.89,1210.96,22415.0,315245.0,1.01,47.66,4.56,589.19,0.31,10.45
2000-02-28,1256.49,1307.64,1325.78,1243.81,25682.0,363201.0,5.01,50.09,4.79,618.97,0.29,10.46
2000-02-29,1321.62,1290.61,1351.63,1251.08,25454.0,356565.0,-1.3,49.47,4.73,610.58,0.3,10.46
2000-03-01,1294.85,1273.97,1318.85,1243.21,22443.0,291601.0,-1.29,48.74,4.66,604.4,0.3,10.46
2000-03-02,1269.67,1286.88,1313.95,1243.6,21119.0,244005.0,1.01,49.22,4.7,608.0,0.3,10.47
