,name,1d,5d,10d,20d,30d,60d,90d,tw,tm,tq,ty,2015y,2016y,2017y,2018y,2019y,vlt,update,aid
801130,纺织服装I,-1.88,-2.56,-0.03,4.4,7.31,1.41,-0.93,-2.02,0.58,0.58,0.58,89.17,-13.56,-23.85,-34.33,7.09,17.29,2020-01-22,close
801720,建筑装饰I,-0.01,-1.74,-1.19,3.12,4.65,2.31,-3.44,-1.02,0.61,0.61,0.61,14.08,-0.44,-6.26,-29.27,-2.12,15.22,2020-01-22,close
801150,医药生物I,-1.45,3.27,6.99,9.55,10.55,7.9,9.99,2.25,6.68,6.68,6.68,56.68,-13.46,3.56,-27.67,36.85,17.34,2020-01-22,close
801110,家用电器I,-0.14,-2.45,-1.2,2.87,6.26,11.26,11.04,-2.18,1.28,1.28,1.28,42.73,-1.87,43.03,-31.4,56.99,19.01,2020-01-22,close
801080,电子I,3.57,5.7,13.19,17.46,20.08,33.3,27.21,6.87,17.71,17.71,17.71,71.97,-12.7,13.47,-42.37,73.77,27.27,2020-01-22,close
801760,传媒I,0.31,-2.72,-1.61,7.58,13.16,14.75,11.72,-1.53,6.24,6.24,6.24,76.74,-32.39,-23.1,-39.58,21.2,25.43,2020-01-22,close
801740,国防军工I,0.23,1.68,-2.56,6.57,8.98,7.42,-8.15,1.16,5.42,5.42,5.42,28.5,-18.58,-16.65,-31.04,27.19,18.34,2020-01-22,close
801210,休闲服务I,0.49,-6.7,-7.52,-3.73,-1.51,-3.43,-6.3,-6.51,-5.28,-5.28,-5.28,78.45,-21.19,-4.17,-10.61,27.92,22.92,2020-01-22,close
801040,钢铁I,0.14,-2.72,-3.08,-0.46,-0.12,1.71,-3.73,-1.79,-3.09,-3.09,-3.09,1.8,-8.13,19.74,-29.62,-2.09,16.31,2020-01-22,close
801170,交通运输I,-0.2,-2.54,-2.31,-1.64,0.8,-1.63,-5.8,-1.61,-3.83,-3.83,-3.83,32.56,-22.6,6.53,-30.17,17.28,12.93,2020-01-22,close
801230,综合I,-0.1,-1.11,0.49,8.09,10.13,10.93,8.84,-0.34,3.75,3.75,3.75,71.18,-12.89,-21.47,-39.3,26.13,15.58,2020-01-22,close
801020,采掘I,-0.22,-2.39,-4.4,1.61,3.63,2.04,-4.42,-1.8,-1.34,-1.34,-1.34,-0.43,-5.76,-0.01,-32.71,9.07,15.03,2020-01-22,close
