,name,pe,pe_ratio,pe_state,pe_min,pe_max,pe_median,pe_mean,pe_drop,pe_q10,pe_q20,pe_q40,pe_q50,pe_q60,pe_q80,pe_q90,pb,pb_ratio,pb_state,pb_min,pb_max,pb_median,pb_mean,pb_drop,pb_q10,pb_q20,pb_q40,pb_q50,pb_q60,pb_q80,pb_q90,dyr,dyr_ratio,dyr_state,dyr_min,dyr_max,dyr_median,dyr_mean,dyr_drop,dyr_q10,dyr_q20,dyr_q40,dyr_q50,dyr_q60,dyr_q80,dyr_q90,roe,roe_ratio,roe_state,roe_min,roe_max,roe_median,roe_mean,roe_drop,roe_q10,roe_q20,roe_q40,roe_q50,roe_q60,roe_q80,roe_q90,vlt,roi,stocks,sample,start,update,aid
801130,纺织服装I,25.44,38.52,偏低,17.84,63.14,28.65,30.6,-29.87,21.51,22.85,25.77,28.65,31.86,38.29,42.49,1.83,11.07,较低,1.5,6.23,2.59,2.72,-18.03,1.82,1.92,2.32,2.59,2.94,3.47,3.62,1.65,75.53,偏高,0.37,2.66,1.31,1.32,-77.58,0.77,0.9,1.1,1.31,1.46,1.7,1.9,13.9,95.59,极高,8.44,15.06,11.44,11.4,-39.28,9.64,10.14,11.35,11.44,11.79,12.35,12.7,17.29,-3.83,83,4463,2010-01-25,2020-01-22,10
801720,建筑装饰I,9.62,7.37,极低,8.85,33.6,16.55,16.06,-8.0,9.9,10.51,15.28,16.55,17.26,19.3,21.51,1.01,2.91,极低,0.91,3.89,1.79,1.79,-9.9,1.16,1.27,1.65,1.79,1.88,2.13,2.39,1.82,88.04,较高,0.54,11.78,1.15,1.3,-70.33,0.93,1.02,1.09,1.15,1.22,1.71,1.83,9.52,71.82,偏高,7.55,10.11,9.18,8.97,-20.69,7.79,7.98,9.09,9.18,9.22,9.59,9.71,15.22,-4.82,128,2509,2014-02-21,2020-01-22,10
801150,医药生物I,38.78,53.84,合理,23.49,74.37,38.38,39.18,-39.43,31.61,34.24,37.33,38.38,39.82,43.54,46.47,3.64,11.94,较低,2.56,8.35,4.3,4.52,-29.67,3.54,3.9,4.19,4.3,4.44,5.26,5.92,0.64,37.69,偏低,0.33,1.1,0.67,0.66,-48.44,0.49,0.55,0.64,0.67,0.69,0.75,0.79,10.65,99.01,极高,6.49,10.8,8.75,8.75,-39.06,7.79,8.24,8.64,8.75,8.93,9.35,9.7,17.34,6.47,321,4463,2010-01-25,2020-01-22,10
801110,家用电器I,17.35,58.71,合理,10.55,32.31,16.13,17.02,-39.19,12.44,13.45,15.24,16.13,17.52,20.1,22.21,3.41,76.0,偏高,1.77,4.85,3.02,2.94,-48.09,2.13,2.28,2.76,3.02,3.16,3.49,3.77,2.24,65.2,偏高,0.39,4.01,1.92,1.84,-82.59,0.74,1.03,1.71,1.92,2.15,2.51,2.7,5.09,18.12,较低,4.67,8.43,5.72,5.82,-8.25,4.83,5.1,5.41,5.72,5.94,6.56,6.71,19.01,14.57,59,2417,2010-01-25,2020-01-22,10
801080,电子I,49.66,50.97,合理,22.74,118.1,49.25,52.91,-54.21,32.27,36.72,45.43,49.25,54.44,69.37,75.55,4.01,74.39,偏高,2.04,6.94,3.51,3.55,-49.13,2.59,2.82,3.31,3.51,3.69,4.13,4.6,0.47,41.95,合理,0.18,1.21,0.51,0.55,-61.7,0.3,0.34,0.44,0.51,0.57,0.74,0.9,12.38,23.17,偏低,9.92,22.65,14.62,14.64,-19.87,10.84,12.06,13.74,14.62,15.34,16.45,18.14,27.27,12.84,257,2417,2010-01-25,2020-01-22,10
801760,传媒I,44.04,46.46,合理,19.49,141.84,45.84,47.85,-55.74,25.97,31.89,38.44,45.84,50.59,57.05,72.83,2.52,26.25,偏低,1.7,11.48,3.94,4.22,-32.54,2.08,2.25,3.32,3.94,4.75,5.43,6.94,0.64,71.81,偏高,0.13,1.03,0.44,0.51,-79.69,0.26,0.3,0.39,0.44,0.57,0.75,0.86,17.48,99.79,极高,9.53,17.48,11.43,11.75,-45.48,10.0,10.51,11.29,11.43,11.61,12.2,14.95,25.43,-9.04,168,1440,2014-02-21,2020-01-22,10
801740,国防军工I,61.25,16.39,较低,53.17,245.82,95.22,105.33,-13.19,57.95,63.35,76.35,95.22,108.95,143.91,167.47,2.53,28.06,偏低,1.86,8.38,3.21,3.38,-26.48,2.22,2.41,2.78,3.21,3.61,4.02,4.86,0.31,79.58,偏高,0.07,0.52,0.23,0.25,-77.42,0.18,0.19,0.21,0.23,0.26,0.31,0.33,24.21,7.92,极低,23.28,45.38,28.32,30.48,-3.84,24.44,26.47,27.96,28.32,29.27,35.31,37.65,18.34,-5.65,68,1440,2014-02-21,2020-01-22,10
801210,休闲服务I,32.49,16.47,较低,24.92,108.19,44.12,47.01,-23.3,30.37,33.71,41.43,44.12,49.23,58.12,64.73,3.48,26.44,偏低,2.47,8.2,3.8,3.97,-29.02,2.99,3.29,3.66,3.8,4.0,4.63,4.9,0.7,73.11,偏高,0.14,1.01,0.6,0.58,-80.0,0.38,0.42,0.53,0.6,0.65,0.73,0.79,9.34,13.07,较低,8.5,14.59,11.67,11.68,-8.99,9.25,10.3,11.34,11.67,12.57,13.09,13.41,22.92,6.23,33,2417,2010-01-25,2020-01-22,10
801040,钢铁I,9.44,13.24,较低,5.69,144.49,24.41,40.6,-39.72,7.56,13.48,22.06,24.41,30.77,71.26,116.51,0.9,15.85,较低,0.72,2.79,1.32,1.3,-20.0,0.81,0.92,1.16,1.32,1.42,1.64,1.77,4.32,95.82,极高,0.21,5.41,1.3,1.55,-95.14,0.35,0.67,0.99,1.3,1.55,2.24,3.0,10.49,23.83,偏低,5.77,99.57,24.98,30.15,-45.0,7.14,9.44,16.51,24.98,27.11,42.71,76.6,16.31,-5.28,32,2417,2010-01-25,2020-01-22,10
801170,交通运输I,16.92,37.19,偏低,12.1,43.29,18.44,20.02,-28.49,14.38,15.19,17.18,18.44,20.64,24.04,26.97,1.41,26.6,偏低,1.09,3.97,1.75,1.82,-22.7,1.28,1.35,1.52,1.75,1.87,2.22,2.57,1.61,59.62,合理,0.74,3.91,1.41,1.56,-54.04,0.96,1.2,1.33,1.41,1.61,2.07,2.29,12.0,72.73,偏高,6.85,13.35,11.25,11.14,-42.92,9.58,10.51,11.05,11.25,11.55,12.14,12.65,12.93,-3.26,116,2417,2010-01-25,2020-01-22,10
