,name,1d,5d,10d,20d,30d,60d,90d,tw,tm,tq,ty,2015y,2016y,2017y,2018y,2019y,vlt,update,aid
000852.SH,中证1000,0.3,0.1,2.55,8.18,11.14,10.3,5.66,0.68,6.33,6.33,6.33,76.1,-20.01,-17.35,-36.87,25.67,14.62,2020-01-22,close
399396.SZ,国证食品,-0.05,-2.95,1.14,2.62,2.31,2.2,0.91,-2.79,-0.32,-0.32,-0.32,23.2,5.12,56.03,-21.56,67.92,18.23,2020-01-22,close
000990.SH,全指消费,-0.46,-3.23,-1.58,3.42,2.91,-1.61,-0.43,-2.81,0.08,0.08,0.08,34.27,-1.9,29.21,-21.82,59.38,16.13,2020-01-22,close
000009.SH,上证380,0.21,-0.13,1.83,5.82,7.86,7.4,3.62,0.21,3.36,3.36,3.36,37.93,-17.43,0.56,-30.78,24.85,12.93,2020-01-22,close
000841.SH,800医药,-1.31,2.89,6.34,9.51,10.29,5.86,7.27,2.24,6.08,6.08,6.08,42.85,-11.3,15.71,-28.06,29.76,15.73,2020-01-22,close
000932.SH,中证消费,-0.39,-3.36,-1.58,3.38,2.28,-1.73,-0.53,-2.78,-0.13,-0.13,-0.13,26.49,0.64,55.98,-23.09,64.72,16.8,2020-01-22,close
399101.SZ,中小板综,0.9,0.47,3.43,9.12,12.26,12.09,9.72,1.18,6.94,6.94,6.94,75.28,-14.89,-1.25,-35.31,31.89,15.03,2020-01-22,close
000300.SH,沪深300,0.43,-0.84,0.48,3.48,5.94,5.67,4.0,-0.55,0.86,0.86,0.86,5.58,-11.28,21.77,-25.31,36.07,12.97,2020-01-22,close
FTSE,英国富时100,0.98,2.39,0.75,1.79,-1.21,1.45,4.42,0.0,0.0,0.0,0.0,-4.93,14.43,7.63,-12.48,8.98,10.83,2019-06-07,close
000905.SH,中证500,0.93,0.82,2.8,8.01,10.43,11.34,5.93,1.19,5.84,5.84,5.84,43.12,-17.78,-0.2,-33.32,26.38,14.75,2020-01-22,close
399624.SZ,中创400,1.22,2.15,5.3,11.9,15.1,17.85,12.15,2.53,10.36,10.36,10.36,81.1,-21.6,-11.12,-35.61,32.48,17.5,2020-01-22,close
399006.SZ,创业板指,1.37,3.62,7.04,12.66,14.99,18.22,15.04,3.18,10.89,10.89,10.89,84.41,-27.71,-10.67,-28.65,43.79,19.33,2020-01-22,close
DJIA,道琼斯,1.01,4.74,1.57,0.17,-2.07,0.58,3.71,0.0,0.0,0.0,0.0,-2.23,13.44,25.21,-6.07,11.81,15.15,2019-06-07,close
000068.SH,上证资源,0.2,-2.33,-4.97,3.2,6.73,8.59,-0.06,-1.58,-1.15,-1.15,-1.15,-8.94,-3.46,17.19,-31.98,14.05,20.47,2020-01-22,close
000989.SH,全指可选,0.03,-2.25,-0.8,5.37,9.02,10.49,7.36,-2.05,3.62,3.62,3.62,52.61,-18.27,0.41,-35.05,23.81,15.65,2020-01-22,close
000925.SH,基本面50,0.01,-2.1,-2.31,-0.36,2.16,0.65,-0.21,-1.62,-2.16,-2.16,-2.16,4.93,0.98,26.29,-15.46,19.21,12.57,2020-01-22,close
000001.SH,上证综指,0.28,-0.95,-0.2,2.62,4.92,3.61,1.19,-0.48,0.35,0.35,0.35,9.41,-12.31,6.56,-24.59,22.3,11.17,2020-01-22,close
N225,日经225,0.55,1.38,-1.1,-2.16,-6.17,-2.64,0.46,0.0,0.0,0.0,0.0,9.07,0.42,19.1,-12.08,4.35,12.46,2019-06-07,close
399102.SZ,创业板综,1.16,2.29,5.8,11.0,14.23,16.14,12.16,2.41,10.01,10.01,10.01,106.61,-20.35,-15.32,-31.12,38.72,17.91,2020-01-22,close
000993.SH,全指信息,2.59,3.47,9.46,15.08,17.32,22.89,16.41,3.91,14.82,14.82,14.82,81.05,-25.78,-1.97,-35.22,56.53,24.25,2020-01-22,close
000977.SH,内地低碳,3.01,3.8,6.86,12.31,16.5,21.45,14.35,4.43,9.95,9.95,9.95,28.57,-17.66,19.79,-35.26,22.46,18.8,2020-01-22,close
000922.SH,中证红利,0.35,-1.85,-0.7,2.74,4.8,3.64,0.84,-1.38,-0.06,-0.06,-0.06,26.86,-7.64,17.57,-19.24,15.73,13.1,2020-01-22,close
000016.SH,上证50,0.19,-1.31,-0.66,0.7,2.75,1.67,1.22,-1.16,-1.48,-1.48,-1.48,-6.23,-5.53,25.08,-19.83,33.58,12.34,2020-01-22,close
399324.SZ,深证红利,0.19,-2.89,-1.4,2.54,5.84,5.1,4.78,-2.17,-0.06,-0.06,-0.06,14.44,-6.61,46.8,-27.72,57.34,16.56,2020-01-22,close
HSI,恒生指数,-0.48,1.56,3.95,-0.74,-7.11,-0.65,-10.83,0.0,0.0,0.0,0.0,-7.16,0.39,35.99,-13.61,3.38,15.13,2019-10-18,close
399811.SZ,申万电子,3.95,6.34,14.6,18.79,20.86,34.1,28.68,7.68,18.91,18.91,18.91,,-14.47,21.28,-42.86,74.12,28.84,2020-01-22,close
000903.SH,中证100,0.3,-1.51,-0.48,1.47,3.88,2.59,1.59,-1.15,-0.78,-0.78,-0.78,-1.52,-7.5,30.21,-21.94,35.54,13.04,2020-01-22,close
399989.SZ,中证医疗,-0.82,3.46,8.38,10.0,9.3,7.57,13.76,1.18,8.71,8.71,8.71,,-24.39,-13.52,-11.79,48.67,19.53,2020-01-22,close
000985.SH,中证全指,0.49,-0.28,1.46,5.45,8.05,7.72,4.63,0.1,3.15,3.15,3.15,32.56,-14.41,2.34,-29.94,31.11,13.04,2020-01-22,close
000991.SH,全指医药,-1.43,3.17,6.95,9.68,10.51,7.03,9.01,2.16,6.9,6.9,6.9,50.43,-14.22,5.1,-26.4,34.31,17.05,2020-01-22,close
NDAQ,纳斯达克,1.66,3.88,1.38,-2.21,-4.96,0.7,6.58,0.0,0.0,0.0,0.0,5.73,7.5,28.24,-3.88,16.68,20.95,2019-06-07,close
000986.SH,全指能源,0.05,-1.99,-4.76,0.73,2.86,0.92,-3.97,-1.52,-1.86,-1.86,-1.86,-10.12,-2.95,1.27,-29.16,8.11,15.33,2020-01-22,close
FCHI,法国CAC40,1.62,3.0,0.89,0.69,-3.69,-0.58,6.87,0.0,0.0,0.0,0.0,8.53,4.86,9.26,-10.95,13.39,16.49,2019-06-07,close
000904.SH,中证200,0.72,0.66,2.61,8.12,10.7,12.94,9.64,0.77,4.6,4.6,4.6,20.21,-17.39,7.15,-31.89,37.37,13.97,2020-01-22,close
399971.SZ,中证传媒,0.52,-2.21,-1.09,8.6,15.24,17.73,10.96,-1.21,7.8,7.8,7.8,69.35,-32.32,-17.72,-36.92,26.7,26.07,2020-01-22,close
SX5E,欧洲斯托克50,1.19,2.98,0.82,0.51,-3.49,0.05,6.53,0.0,0.0,0.0,0.0,3.85,0.7,6.49,-14.34,12.56,15.89,2019-06-07,close
399986.SZ,中证银行,-0.06,-1.63,-2.18,-1.92,1.73,-0.52,4.25,-0.97,-2.18,-2.18,-2.18,,-4.35,14.37,-14.69,22.65,11.9,2020-01-22,close
SPX,标普500,-0.39,0.54,1.16,-0.2,0.25,-0.91,7.08,0.0,0.0,0.0,0.0,-0.73,9.54,19.42,-6.24,19.12,13.34,2019-10-18,close
399806.SZ,环境治理,0.01,-1.97,2.47,5.62,7.59,1.29,-2.43,-0.63,4.28,4.28,4.28,46.28,-13.44,-6.79,-46.24,4.2,16.73,2020-01-22,close
399550.SZ,央视50,0.69,-0.31,2.02,4.56,6.5,6.92,7.5,0.0,2.22,2.22,2.22,15.6,-2.47,45.43,-25.9,38.53,12.72,2020-01-22,close
000988.SH,全指工业,0.86,-0.17,0.48,5.45,8.47,7.9,1.34,0.53,3.15,3.15,3.15,32.76,-17.19,-7.63,-33.85,17.27,13.54,2020-01-22,close
399330.SZ,深证100,0.96,0.22,2.54,7.3,10.0,11.26,11.13,0.34,4.32,4.32,4.32,21.8,-16.55,26.41,-34.66,55.18,14.99,2020-01-22,close
000010.SH,上证180,0.26,-1.01,-0.12,2.1,4.22,3.48,1.19,-0.8,-0.49,-0.49,-0.49,-0.61,-9.64,19.69,-21.26,30.39,12.44,2020-01-22,close
399106.SZ,深证综指,0.72,0.3,2.83,7.62,10.49,10.77,7.72,0.74,5.61,5.61,5.61,63.15,-14.72,-3.54,-33.25,35.89,14.43,2020-01-22,close
000978.SH,医药100,-1.43,3.85,7.98,11.13,12.13,10.08,10.31,3.42,8.25,8.25,8.25,58.02,-15.61,1.56,-26.81,29.92,17.99,2020-01-22,close
000906.SH,中证800,0.55,-0.43,1.04,4.56,7.01,7.01,4.48,-0.13,2.05,2.05,2.05,14.91,-13.27,15.16,-27.38,33.71,13.02,2020-01-22,close
399812.SZ,中证养老,-0.59,-1.3,0.9,6.1,8.36,9.04,5.24,-1.02,3.4,3.4,3.4,49.61,-20.62,8.47,-28.33,23.19,15.11,2020-01-22,close
000807.SH,食品饮料,-0.02,-2.95,1.06,2.56,2.22,2.25,1.0,-2.81,-0.28,-0.28,-0.28,23.6,4.6,54.24,-21.81,69.8,18.2,2020-01-22,close
399967.SZ,中证军工,0.42,2.12,-0.2,8.01,8.55,7.45,-6.82,1.4,6.18,6.18,6.18,44.81,-23.81,-18.37,-27.25,22.02,14.8,2020-01-22,close
399808.SZ,中证新能源,3.16,3.43,5.74,13.96,19.05,23.3,14.64,4.06,11.01,11.01,11.01,,-19.72,8.15,-34.46,24.32,21.58,2020-01-22,close
399001.SZ,深证成指,1.08,0.91,3.41,8.66,11.66,13.61,10.7,1.07,6.15,6.15,6.15,14.98,-19.64,8.48,-34.42,44.08,15.15,2020-01-22,close
000902.SH,全市场,0.48,-0.32,1.38,5.35,8.0,7.64,4.53,0.07,3.11,3.11,3.11,34.22,-13.82,1.78,-30.0,30.75,12.98,2020-01-22,close
000931.SH,中证可选,0.21,-2.13,-0.7,4.7,8.47,10.79,7.64,-2.24,3.15,3.15,3.15,37.67,-17.66,14.33,-32.45,29.99,16.41,2020-01-22,close
GDAXI,德国DAX30,0.77,2.72,0.29,-0.12,-2.19,3.28,7.73,0.0,0.0,0.0,0.0,9.56,6.87,12.51,-18.26,14.08,16.57,2019-06-07,close
000827.SH,中证环保,1.8,1.0,3.29,10.68,14.67,18.37,10.48,1.97,8.45,8.45,8.45,39.45,-17.17,-1.04,-38.99,19.61,16.46,2020-01-22,close
000998.SH,中证TMT,2.07,3.06,7.81,13.78,15.63,22.86,16.53,2.86,12.73,12.73,12.73,75.6,-26.65,-6.68,-34.79,55.21,21.84,2020-01-22,close
000992.SH,全指金融,0.39,-1.21,-0.99,0.67,4.72,3.01,2.53,-0.7,-1.83,-1.83,-1.83,-2.51,-11.46,14.39,-21.62,31.07,16.0,2020-01-22,close
399673.SZ,创业板50,2.31,4.6,8.61,13.21,16.54,24.73,19.14,4.26,11.25,11.25,11.25,84.43,-31.62,-14.39,-34.09,50.93,21.45,2020-01-22,close
399976.SZ,新能源汽车,4.44,5.4,8.61,18.71,31.44,51.03,42.15,5.62,15.21,15.21,15.21,,-19.78,4.3,-38.16,45.51,29.63,2020-01-22,close
399814.SZ,中证大农业,-0.66,-2.13,-2.8,5.49,5.91,-0.82,2.09,-2.11,1.32,1.32,1.32,32.58,-18.72,-2.54,-21.55,37.27,15.88,2020-01-22,close
399005.SZ,中小板指,1.92,2.19,6.0,12.53,16.03,16.86,15.59,2.4,9.78,9.78,9.78,53.7,-22.89,16.73,-37.75,41.03,17.09,2020-01-22,close
399975.SZ,全指证券,0.76,0.22,1.54,5.35,12.21,11.44,2.43,0.39,-0.51,-0.51,-0.51,,-18.77,-12.35,-26.22,44.5,28.95,2020-01-22,close
HSCEI,恒生国企,-0.45,0.84,5.48,1.85,-3.39,1.88,-10.44,0.0,0.0,0.0,0.0,-19.39,-2.75,24.64,-13.53,4.1,14.82,2019-10-18,close
000015.SH,红利指数,0.14,-2.0,-1.44,1.89,3.76,2.26,-0.26,-1.78,-0.69,-0.69,-0.69,9.31,-7.57,16.31,-16.96,10.67,11.61,2020-01-22,close
399997.SZ,中证白酒,0.38,-3.47,1.5,3.99,3.68,2.91,0.48,-3.66,-0.34,-0.34,-0.34,,14.02,77.29,-26.94,91.99,23.83,2020-01-22,close
000852.SH,中证1000,0.04,-1.11,0.82,5.84,6.55,6.51,2.19,-0.35,3.45,3.45,3.45,60.09,-26.93,-36.55,-44.14,28.56,13.73,2020-01-22,pe_e
399396.SZ,国证食品,-0.28,-2.77,0.63,2.42,10.83,8.24,5.5,-2.51,-0.07,-0.07,-0.07,21.19,-21.64,0.47,-41.48,27.18,15.79,2020-01-22,pe_e
