,pe_e,pb_e,ps_e,pe_w,pb_w,ps_w,pe_m,pb_m,ps_m,pe_a,pb_a,ps_a,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2007-01-04,,,,,,,,,,,,,,,,12467.32,12480.69,12405.47,12510.26,12474.52,,
2007-01-05,,,,,,,,,,,,,,,,12480.05,12398.01,12326.79,12504.4,12480.69,,
2007-01-08,,,,,,,,,,,,,,,,12393.93,12423.49,12337.53,12445.37,12398.01,,
2007-01-09,,,,,,,,,,,,,,,,12424.77,12416.6,12337.85,12516.66,12423.49,,
2007-01-10,,,,,,,,,,,,,,,,12417.0,12442.16,12313.01,12487.18,12416.6,,
2007-01-11,,,,,,,,,,,,,,,,12442.96,12514.98,12413.72,12586.12,12442.16,,
2007-01-12,,,,,,,,,,,,,,,,12514.66,12556.08,12432.3,12616.08,12514.98,,
2007-01-16,,,,,,,,,,,,,,,,12555.84,12582.59,12489.9,12638.27,12556.08,,
2007-01-17,,,,,,,,,,,,,,,,12563.53,12577.15,12550.95,12613.28,12582.59,,
2007-01-18,,,,,,,,,,,,,,,,12575.06,12567.93,12487.9,12674.16,12577.15,,
2007-01-19,,,,,,,,,,,,,,,,12567.93,12565.53,12462.5,12649.89,12567.93,,
2007-01-22,,,,,,,,,,,,,,,,12566.33,12477.16,12389.68,12619.04,12565.53,,
2007-01-23,,,,,,,,,,,,,,,,12467.96,12533.8,12467.96,12553.44,12477.16,,
2007-01-24,,,,,,,,,,,,,,,,12534.37,12621.77,12489.98,12659.42,12533.8,,
2007-01-25,,,,,,,,,,,,,,,,12621.77,12502.56,12461.54,12670.48,12621.77,,
2007-01-26,,,,,,,,,,,,,,,,12503.28,12487.02,12391.44,12582.67,12502.56,,
2007-01-29,,,,,,,,,,,,,,,,12487.1,12490.78,12422.93,12599.74,12487.02,,
2007-01-30,,,,,,,,,,,,,,,,12484.7,12523.31,12463.07,12538.06,12490.78,,
2007-01-31,,,,,,,,,,,,,,,,12520.03,12621.69,12461.3,12685.54,12523.31,,
2007-02-01,,,,,,,,,,,,,,,,12617.2,12673.68,12563.85,12741.3,12621.69,,
2007-02-02,,,,,,,,,,,,,,,,12673.84,12653.49,12582.99,12740.65,12673.68,,
2007-02-05,,,,,,,,,,,,,,,,12641.08,12661.74,12630.5,12681.06,12653.49,,
2007-02-06,,,,,,,,,,,,,,,,12661.66,12666.31,12586.44,12738.41,12661.74,,
2007-02-07,,,,,,,,,,,,,,,,12656.86,12666.87,12589.56,12748.99,12666.31,,
2007-02-08,,,,,,,,,,,,,,,,12639.16,12637.63,12576.59,12666.88,12666.87,,
2007-02-09,,,,,,,,,,,,,,,,12638.03,12580.83,12518.58,12725.59,12637.63,,
2007-02-12,,,,,,,,,,,,,,,,12595.9,12552.55,12536.77,12605.11,12580.83,,
2007-02-13,,,,,,,,,,,,,,,,12549.19,12654.85,12549.19,12702.36,12552.55,,
2007-02-14,,,,,,,,,,,,,,,,12651.29,12741.86,12623.21,12793.29,12654.85,,
2007-02-15,,,,,,,,,,,,,,,,12741.7,12765.01,12681.85,12828.38,12741.86,,
2007-02-16,,,,,,,,,,,,,,,,12764.13,12767.57,12685.86,12829.42,12765.01,,
2007-02-20,,,,,,,,,,,,,,,,12766.85,12786.64,12675.04,12845.76,12767.57,,
2007-02-21,,,,,,,,,,,,,,,,12782.87,12738.41,12662.79,12813.88,12786.64,,
2007-02-22,,,,,,,,,,,,,,,,12735.77,12686.02,12621.93,12792.97,12738.41,,
2007-02-23,,,,,,,,,,,,,,,,12679.89,12647.48,12578.51,12726.79,12686.02,,
2007-02-26,,,,,,,,,,,,,,,,12647.88,12632.26,12562.72,12746.34,12647.48,,
2007-02-27,,,,,,,,,,,,,,,,12628.9,12216.24,12078.85,12628.9,12632.26,,
2007-02-28,,,,,,,,,,,,,,,,12214.92,12268.63,12122.03,12396.81,12216.24,,
2007-03-01,,,,,,,,,,,,,,,,12265.59,12234.34,11996.17,12338.89,12268.63,,
2007-03-02,,,,,,,,,,,,,,,,12233.78,12114.1,12064.91,12293.15,12234.34,,
2007-03-05,,,,,,,,,,,,,,,,12111.61,12050.41,11973.58,12220.16,12114.1,,
2007-03-06,,,,,,,,,,,,,,,,12051.17,12207.59,12051.17,12252.61,12050.41,,
2007-03-07,,,,,,,,,,,,,,,,12204.46,12192.45,12122.11,12315.18,12207.59,,
2007-03-08,,,,,,,,,,,,,,,,12193.33,12260.7,12183.79,12355.47,12192.45,,
2007-03-09,,,,,,,,,,,,,,,,12262.06,12276.32,12200.62,12379.51,12260.7,,
2007-03-12,,,,,,,,,,,,,,,,12275.68,12318.62,12205.58,12385.44,12276.32,,
2007-03-13,,,,,,,,,,,,,,,,12307.49,12075.96,12049.85,12319.66,12318.62,,
2007-03-14,,,,,,,,,,,,,,,,12074.52,12133.4,11926.79,12187.88,12075.96,,
2007-03-15,,,,,,,,,,,,,,,,12133.16,12159.68,12060.1,12228.42,12133.4,,
2007-03-16,,,,,,,,,,,,,,,,12160.16,12110.41,12053.05,12226.01,12159.68,,
2007-03-19,,,,,,,,,,,,,,,,12110.41,12226.17,12110.41,12273.52,12110.41,,
2007-03-20,,,,,,,,,,,,,,,,12226.81,12288.1,12172.66,12324.31,12226.17,,
2007-03-21,,,,,,,,,,,,,,,,12288.98,12447.52,12220.49,12489.02,12288.1,,
2007-03-22,,,,,,,,,,,,,,,,12446.72,12461.14,12364.21,12524.03,12447.52,,
2007-03-23,,,,,,,,,,,,,,,,12460.5,12481.01,12396.89,12550.07,12461.14,,
2007-03-26,,,,,,,,,,,,,,,,12480.37,12469.07,12339.53,12526.27,12481.01,,
2007-03-27,,,,,,,,,,,,,,,,12468.59,12397.29,12336.89,12484.54,12469.07,,
2007-03-28,,,,,,,,,,,,,,,,12396.49,12300.36,12234.5,12415.56,12397.29,,
2007-03-29,,,,,,,,,,,,,,,,12301.48,12348.75,12251.89,12424.77,12300.36,,
2007-03-30,,,,,,,,,,,,,,,,12348.91,12354.35,12237.87,12442.4,12348.75,,
2007-04-02,,,,,,,,,,,,,,,,12354.52,12382.3,12284.54,12450.81,12354.35,,
2007-04-03,,,,,,,,,,,,,,,,12431.28,12510.93,12378.94,12534.49,12382.3,,
2007-04-04,,,,,,,,,,,,,,,,12511.36,12530.05,12444.55,12591.81,12510.93,,
2007-04-05,,,,,,,,,,,,,,,,12505.73,12560.83,12501.25,12573.02,12530.05,,
2007-04-09,,,,,,,,,,,,,,,,12562.64,12569.14,12505.83,12641.22,12560.83,,
2007-04-10,,,,,,,,,,,,,,,,12568.49,12573.85,12496.48,12641.87,12569.14,,
2007-04-11,,,,,,,,,,,,,,,,12573.12,12484.62,12432.53,12618.63,12573.85,,
2007-04-12,,,,,,,,,,,,,,,,12483.64,12552.96,12407.5,12580.92,12484.62,,
2007-04-13,,,,,,,,,,,,,,,,12551.91,12612.13,12504.04,12654.47,12552.96,,
2007-04-16,,,,,,,,,,,,,,,,12611.64,12720.46,12596.36,12770.6,12612.13,,
2007-04-17,,,,,,,,,,,,,,,,12719.56,12773.04,12669.5,12837.4,12720.46,,
2007-04-18,,,,,,,,,,,,,,,,12771.08,12803.84,12691.2,12871.21,12773.04,,
2007-04-19,,,,,,,,,,,,,,,,12799.77,12808.63,12677.47,12889.17,12803.84,,
2007-04-20,,,,,,,,,,,,,,,,12811.15,12961.98,12811.15,13035.77,12808.63,,
2007-04-23,,,,,,,,,,,,,,,,12961.49,12919.4,12867.96,13029.59,12961.98,,
2007-04-24,,,,,,,,,,,,,,,,12919.64,12953.94,12845.12,13033.66,12919.4,,
2007-04-25,,,,,,,,,,,,,,,,12951.42,13089.89,12929.8,13142.31,12953.94,,
2007-04-26,,,,,,,,,,,,,,,,13088.84,13105.5,13016.43,13197.49,13089.89,,
2007-04-27,,,,,,,,,,,,,,,,13104.04,13120.94,13002.37,13195.05,13105.5,,
2007-04-30,,,,,,,,,,,,,,,,13120.21,13062.91,13003.91,13226.99,13120.94,,
2007-05-01,,,,,,,,,,,,,,,,13062.75,13136.14,12993.02,13188.96,13062.91,,
2007-05-02,,,,,,,,,,,,,,,,13133.94,13211.88,13105.34,13291.6,13136.14,,
2007-05-03,,,,,,,,,,,,,,,,13206.65,13241.38,13131.42,13306.55,13211.88,,
2007-05-04,,,,,,,,,,,,,,,,13243.08,13264.62,13176.61,13340.6,13241.38,,
2007-05-07,,,,,,,,,,,,,,,,13264.13,13312.97,13218.87,13385.06,13264.62,,
2007-05-08,,,,,,,,,,,,,,,,13309.4,13309.07,13192.45,13359.05,13312.97,,
2007-05-09,,,,,,,,,,,,,,,,13300.62,13362.87,13229.92,13410.17,13309.07,,
2007-05-10,,,,,,,,,,,,,,,,13359.05,13215.13,13161.08,13376.2,13362.87,,
2007-05-11,,,,,,,,,,,,,,,,13212.2,13326.22,13192.62,13373.35,13215.13,,
2007-05-14,,,,,,,,,,,,,,,,13325.81,13346.78,13265.02,13432.84,13326.22,,
2007-05-15,,,,,,,,,,,,,,,,13346.05,13383.84,13302.65,13518.33,13346.78,,
2007-05-16,,,,,,,,,,,,,,,,13374.13,13487.53,13325.49,13526.54,13383.84,,
2007-05-17,,,,,,,,,,,,,,,,13486.96,13476.72,13384.89,13558.24,13487.53,,
2007-05-18,,,,,,,,,,,,,,,,13476.4,13556.53,13454.46,13611.95,13476.72,,
2007-05-21,,,,,,,,,,,,,,,,13556.53,13542.88,13473.31,13636.98,13556.53,,
2007-05-22,,,,,,,,,,,,,,,,13544.99,13539.95,13466.57,13632.03,13542.88,,
2007-05-23,,,,,,,,,,,,,,,,13540.84,13525.65,13476.72,13648.69,13539.95,,
2007-05-24,,,,,,,,,,,,,,,,13522.6,13441.13,13391.56,13645.52,13525.65,,
2007-05-25,,,,,,,,,,,,,,,,13441.94,13507.28,13410.0,13571.48,13441.13,,
2007-05-29,,,,,,,,,,,,,,,,13507.28,13521.34,13428.86,13603.26,13507.28,,
2007-05-30,,,,,,,,,,,,,,,,13517.89,13633.08,13403.26,13650.64,13521.34,,
2007-05-31,,,,,,,,,,,,,,,,13633.0,13627.64,13564.49,13718.82,13633.08,,
2007-06-01,,,,,,,,,,,,,,,,13628.69,13668.11,13562.54,13756.69,13627.64,,
2007-06-04,,,,,,,,,,,,,,,,13667.21,13676.32,13575.14,13723.37,13668.11,,
2007-06-05,,,,,,,,,,,,,,,,13673.19,13595.46,13523.7,13689.4,13676.32,,
2007-06-06,,,,,,,,,,,,,,,,13590.66,13465.67,13403.1,13606.75,13595.46,,
2007-06-07,,,,,,,,,,,,,,,,13463.48,13266.73,13236.34,13517.85,13465.67,,
2007-06-08,,,,,,,,,,,,,,,,13267.14,13424.39,13207.73,13445.19,13266.73,,
2007-06-11,,,,,,,,,,,,,,,,13423.74,13424.96,13335.16,13519.88,13424.39,,
2007-06-12,,,,,,,,,,,,,,,,13424.39,13295.01,13264.05,13474.12,13424.96,,
2007-06-13,,,,,,,,,,,,,,,,13287.62,13482.35,13287.62,13502.76,13295.01,,
2007-06-14,,,,,,,,,,,,,,,,13482.43,13553.73,13444.07,13622.66,13482.35,,
2007-06-15,,,,,,,,,,,,,,,,13556.65,13639.48,13556.65,13741.18,13553.73,,
2007-06-18,,,,,,,,,,,,,,,,13639.0,13612.98,13560.15,13720.29,13639.48,,
2007-06-19,,,,,,,,,,,,,,,,13611.68,13635.42,13527.14,13705.41,13612.98,,
2007-06-20,,,,,,,,,,,,,,,,13636.56,13489.42,13469.43,13735.08,13635.42,,
2007-06-21,,,,,,,,,,,,,,,,13486.66,13545.84,13368.79,13596.56,13489.42,,
2007-06-22,,,,,,,,,,,,,,,,13545.03,13360.26,13323.51,13564.13,13545.84,,
2007-06-25,,,,,,,,,,,,,,,,13360.09,13352.05,13273.68,13519.34,13360.26,,
2007-06-26,,,,,,,,,,,,,,,,13352.37,13337.66,13272.79,13491.7,13352.05,,
2007-06-27,,,,,,,,,,,,,,,,13336.93,13427.73,13205.08,13455.36,13337.66,,
2007-06-28,,,,,,,,,,,,,,,,13427.48,13422.28,13342.05,13537.47,13427.73,,
2007-06-29,,,,,,,,,,,,,,,,13422.61,13408.62,13291.32,13556.16,13422.28,,
2007-07-02,,,,,,,,,,,,,,,,13409.6,13535.43,13406.59,13586.97,13408.62,,
2007-07-03,,,,,,,,,,,,,,,,13556.87,13577.3,13531.83,13592.07,13535.43,,
