,pe_e,pb_e,ps_e,pe_w,pb_w,ps_w,pe_m,pb_m,ps_m,pe_a,pb_a,ps_a,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2005-01-03,,,,,,,,,,,,,,,,3830.58,3855.68,3824.05,3884.73,3821.16,,
2005-01-04,,,,,,,,,,,,,,,,3848.26,3863.3,3845.03,3874.47,3855.68,,
2005-01-05,,,,,,,,,,,,,,,,3834.07,3829.36,3828.81,3845.28,3863.3,,
2005-01-06,,,,,,,,,,,,,,,,3831.84,3856.48,3831.05,3864.36,3829.36,,
2005-01-07,,,,,,,,,,,,,,,,3851.88,3877.96,3848.95,3883.92,3856.48,,
2005-01-10,,,,,,,,,,,,,,,,3890.39,3877.82,3860.15,3890.39,3877.96,,
2005-01-11,,,,,,,,,,,,,,,,3897.36,3848.99,3841.25,3897.36,3877.82,,
2005-01-12,,,,,,,,,,,,,,,,3852.26,3816.14,3804.92,3856.7,3848.99,,
2005-01-13,,,,,,,,,,,,,,,,3834.9,3834.11,3821.61,3844.57,3816.14,,
2005-01-14,,,,,,,,,,,,,,,,3821.62,3854.6,3820.93,3861.96,3834.11,,
2005-01-17,,,,,,,,,,,,,,,,3865.4,3881.44,3861.35,3881.44,3854.6,,
2005-01-18,,,,,,,,,,,,,,,,3875.16,3875.02,3847.32,3877.54,3881.44,,
2005-01-19,,,,,,,,,,,,,,,,3883.44,3869.01,3864.66,3892.19,3875.02,,
2005-01-20,,,,,,,,,,,,,,,,3847.32,3842.44,3834.11,3852.63,3869.01,,
2005-01-21,,,,,,,,,,,,,,,,3829.16,3854.19,3829.16,3857.82,3842.44,,
2005-01-24,,,,,,,,,,,,,,,,3840.57,3848.71,3819.95,3854.44,3854.19,,
2005-01-25,,,,,,,,,,,,,,,,3846.81,3882.04,3844.03,3887.18,3848.71,,
2005-01-26,,,,,,,,,,,,,,,,3885.72,3879.82,3877.57,3892.35,3882.04,,
2005-01-27,,,,,,,,,,,,,,,,3892.04,3891.4,3861.66,3892.94,3879.82,,
2005-01-28,,,,,,,,,,,,,,,,3897.57,3870.35,3868.88,3899.42,3891.4,,
2005-01-31,,,,,,,,,,,,,,,,3895.9,3913.69,3893.75,3913.92,3870.35,,
2005-02-01,,,,,,,,,,,,,,,,3914.21,3939.18,3908.8,3939.18,3913.69,,
2005-02-02,,,,,,,,,,,,,,,,3947.41,3951.72,3935.25,3951.72,3939.18,,
2005-02-03,,,,,,,,,,,,,,,,3946.02,3928.94,3921.23,3953.58,3951.72,,
2005-02-04,,,,,,,,,,,,,,,,3942.72,3958.01,3928.42,3960.27,3928.94,,
2005-02-07,,,,,,,,,,,,,,,,3968.97,3981.9,3968.25,3982.67,3958.01,,
2005-02-08,,,,,,,,,,,,,,,,3980.72,3980.77,3968.53,3984.68,3981.9,,
2005-02-09,,,,,,,,,,,,,,,,3986.69,3969.62,3955.67,3991.09,3980.77,,
2005-02-10,,,,,,,,,,,,,,,,3970.84,3970.37,3956.88,3986.81,3969.62,,
2005-02-11,,,,,,,,,,,,,,,,3978.3,4016.75,3978.3,4016.75,3970.37,,
