,pe_e,pb_e,ps_e,pe_w,pb_w,ps_w,pe_m,pb_m,ps_m,pe_a,pb_a,ps_a,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2005-01-05,,,,,,,,,,,,,,,,4847.0,4806.0,4806.0,4847.0,4847.0,,
2005-01-06,,,,,,,,,,,,,,,,4806.0,4824.3,4806.0,4833.3,4806.0,,
2005-01-07,,,,,,,,,,,,,,,,4824.3,4854.1,4819.8,4863.5,4824.3,,
2005-01-10,,,,,,,,,,,,,,,,4854.1,4840.7,4833.4,4858.9,4854.1,,
2005-01-11,,,,,,,,,,,,,,,,4840.7,4818.7,4805.0,4847.6,4840.7,,
2005-01-12,,,,,,,,,,,,,,,,4818.7,4783.6,4765.4,4823.2,4818.7,,
2005-01-13,,,,,,,,,,,,,,,,4783.6,4800.3,4782.5,4809.8,4783.6,,
2005-01-14,,,,,,,,,,,,,,,,4800.3,4820.8,4786.5,4831.6,4800.3,,
2005-01-17,,,,,,,,,,,,,,,,4820.8,4846.7,4820.8,4846.7,4820.8,,
2005-01-18,,,,,,,,,,,,,,,,4846.7,4823.9,4800.8,4852.8,4846.7,,
2005-01-19,,,,,,,,,,,,,,,,4823.9,4818.3,4817.5,4845.4,4823.9,,
2005-01-20,,,,,,,,,,,,,,,,4818.3,4800.8,4783.3,4818.3,4818.3,,
2005-01-21,,,,,,,,,,,,,,,,4800.8,4803.3,4785.6,4813.9,4800.8,,
2005-01-24,,,,,,,,,,,,,,,,4803.3,4812.5,4770.1,4814.0,4803.3,,
2005-01-25,,,,,,,,,,,,,,,,4812.5,4843.2,4803.7,4850.0,4812.5,,
2005-01-26,,,,,,,,,,,,,,,,4843.2,4847.1,4839.0,4860.3,4843.2,,
2005-01-27,,,,,,,,,,,,,,,,4847.1,4853.4,4835.0,4860.3,4847.1,,
2005-01-28,,,,,,,,,,,,,,,,4853.4,4832.8,4827.3,4860.4,4853.4,,
2005-01-31,,,,,,,,,,,,,,,,4832.8,4852.3,4832.8,4879.5,4832.8,,
2005-02-01,,,,,,,,,,,,,,,,4852.3,4906.2,4852.3,4906.2,4852.3,,
2005-02-02,,,,,,,,,,,,,,,,4906.2,4916.2,4897.5,4918.8,4906.2,,
2005-02-03,,,,,,,,,,,,,,,,4916.2,4908.3,4898.4,4924.1,4916.2,,
2005-02-04,,,,,,,,,,,,,,,,4908.3,4941.5,4908.3,4947.4,4908.3,,
2005-02-07,,,,,,,,,,,,,,,,4941.5,4979.8,4941.5,4982.8,4941.5,,
2005-02-08,,,,,,,,,,,,,,,,4979.8,4995.5,4968.7,4995.5,4979.8,,
2005-02-09,,,,,,,,,,,,,,,,4995.5,4990.4,4974.5,5003.0,4995.5,,
2005-02-10,,,,,,,,,,,,,,,,4990.4,5000.0,4977.3,5014.8,4990.4,,
2005-02-11,,,,,,,,,,,,,,,,5000.1,5044.2,5000.1,5045.0,5000.0,,
2005-02-14,,,,,,,,,,,,,,,,5044.2,5041.8,5030.5,5049.6,5044.2,,
2005-02-15,,,,,,,,,,,,,,,,5041.8,5058.9,5036.1,5065.7,5041.8,,
2005-02-16,,,,,,,,,,,,,,,,5058.9,5053.2,5035.5,5059.5,5058.9,,
2005-02-17,,,,,,,,,,,,,,,,5053.2,5057.4,5051.8,5077.6,5053.2,,
2005-02-18,,,,,,,,,,,,,,,,5057.4,5057.2,5045.5,5066.5,5057.4,,
2005-02-21,,,,,,,,,,,,,,,,5057.2,5060.8,5047.5,5077.8,5057.2,,
2005-02-22,,,,,,,,,,,,,,,,5060.8,5032.9,5013.2,5063.3,5060.8,,
2005-02-23,,,,,,,,,,,,,,,,5032.9,4988.5,4970.8,5032.9,5032.9,,
2005-02-24,,,,,,,,,,,,,,,,4988.5,4972.1,4972.1,5002.5,4988.5,,
2005-02-25,,,,,,,,,,,,,,,,4972.1,5006.8,4972.1,5010.8,4972.1,,
2005-02-28,,,,,,,,,,,,,,,,5006.8,4968.5,4968.4,5030.2,5006.8,,
2005-03-01,,,,,,,,,,,,,,,,4968.5,5000.5,4966.9,5004.9,4968.5,,
2005-03-02,,,,,,,,,,,,,,,,5000.5,4992.8,4965.9,5000.9,5000.5,,
2005-03-03,,,,,,,,,,,,,,,,4992.8,5014.8,4992.8,5024.0,4992.8,,
2005-03-04,,,,,,,,,,,,,,,,5014.8,5036.3,5011.7,5042.0,5014.8,,
2005-03-07,,,,,,,,,,,,,,,,5036.3,5027.2,5014.5,5041.3,5036.3,,
2005-03-08,,,,,,,,,,,,,,,,5027.2,5010.9,5001.9,5029.6,5027.2,,
2005-03-09,,,,,,,,,,,,,,,,5010.9,4996.1,4992.9,5038.9,5010.9,,
2005-03-10,,,,,,,,,,,,,,,,4996.1,4962.1,4956.8,4996.1,4996.1,,
2005-03-11,,,,,,,,,,,,,,,,4962.1,4982.0,4962.1,4991.6,4962.1,,
2005-03-14,,,,,,,,,,,,,,,,4982.0,4975.0,4947.9,4995.0,4982.0,,
2005-03-15,,,,,,,,,,,,,,,,4975.0,5000.2,4975.0,5006.1,4975.0,,
2005-03-16,,,,,,,,,,,,,,,,5000.2,4937.6,4928.1,5000.2,5000.2,,
2005-03-17,,,,,,,,,,,,,,,,4937.6,4922.1,4920.0,4952.9,4937.6,,
2005-03-18,,,,,,,,,,,,,,,,4922.1,4923.3,4922.1,4947.9,4922.1,,
2005-03-21,,,,,,,,,,,,,,,,4923.3,4933.5,4923.3,4952.2,4923.3,,
2005-03-22,,,,,,,,,,,,,,,,4933.5,4937.3,4908.5,4946.8,4933.5,,
2005-03-23,,,,,,,,,,,,,,,,4937.3,4910.4,4887.2,4937.3,4937.3,,
2005-03-24,,,,,,,,,,,,,,,,4910.4,4922.5,4904.5,4933.7,4910.4,,
2005-03-29,,,,,,,,,,,,,,,,4922.5,4919.0,4892.8,4924.3,4922.5,,
2005-03-30,,,,,,,,,,,,,,,,4919.0,4900.7,4886.5,4919.0,4919.0,,
2005-03-31,,,,,,,,,,,,,,,,4900.7,4894.4,4894.4,4933.8,4900.7,,
2005-04-01,,,,,,,,,,,,,,,,4894.4,4914.0,4894.4,4942.0,4894.4,,
2005-04-04,,,,,,,,,,,,,,,,4914.0,4896.7,4877.0,4923.3,4914.0,,
2005-04-05,,,,,,,,,,,,,,,,4896.7,4942.9,4896.7,4943.8,4896.7,,
2005-04-06,,,,,,,,,,,,,,,,4942.9,4947.4,4937.4,4953.6,4942.9,,
2005-04-07,,,,,,,,,,,,,,,,4947.4,4977.0,4947.4,4984.5,4947.4,,
2005-04-08,,,,,,,,,,,,,,,,4977.0,4983.6,4975.0,4994.1,4977.0,,
2005-04-11,,,,,,,,,,,,,,,,4983.6,4973.2,4964.0,4983.6,4983.6,,
2005-04-12,,,,,,,,,,,,,,,,4973.2,4946.2,4941.1,4973.8,4973.2,,
2005-04-13,,,,,,,,,,,,,,,,4946.2,4960.8,4946.2,4973.8,4946.2,,
2005-04-14,,,,,,,,,,,,,,,,4960.8,4945.4,4937.0,4960.8,4960.8,,
2005-04-15,,,,,,,,,,,,,,,,4945.4,4891.6,4891.6,4945.4,4945.4,,
2005-04-18,,,,,,,,,,,,,,,,4891.6,4827.1,4794.8,4891.6,4891.6,,
2005-04-19,,,,,,,,,,,,,,,,4827.1,4855.6,4827.1,4862.6,4827.1,,
2005-04-20,,,,,,,,,,,,,,,,4855.6,4822.0,4817.8,4873.6,4855.6,,
2005-04-21,,,,,,,,,,,,,,,,4822.0,4819.6,4805.5,4839.1,4822.0,,
2005-04-22,,,,,,,,,,,,,,,,4819.6,4849.3,4819.6,4859.0,4819.6,,
2005-04-25,,,,,,,,,,,,,,,,4849.3,4864.9,4841.3,4867.8,4849.3,,
2005-04-26,,,,,,,,,,,,,,,,4864.9,4845.5,4831.5,4879.6,4864.9,,
2005-04-27,,,,,,,,,,,,,,,,4845.5,4789.4,4780.6,4845.5,4845.5,,
2005-04-28,,,,,,,,,,,,,,,,4789.4,4790.2,4775.5,4820.7,4789.4,,
2005-04-29,,,,,,,,,,,,,,,,4790.2,4801.7,4773.7,4824.4,4790.2,,
2005-05-03,,,,,,,,,,,,,,,,4801.7,4861.2,4801.7,4862.9,4801.7,,
