,pe_e,pb_e,ps_e,pe_w,pb_w,ps_w,pe_m,pb_m,ps_m,pe_a,pb_a,ps_a,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2005-01-03,,,,,,,,,,,,,,,,4260.92,4291.53,4251.37,4310.3,4256.08,,
2005-01-04,,,,,,,,,,,,,,,,4281.63,4290.5,4276.55,4306.69,4291.53,,
2005-01-05,,,,,,,,,,,,,,,,4262.21,4258.24,4242.07,4274.65,4290.5,,
2005-01-06,,,,,,,,,,,,,,,,4260.37,4300.94,4260.37,4300.99,4258.24,,
2005-01-07,,,,,,,,,,,,,,,,4297.99,4316.4,4288.26,4325.77,4300.94,,
2005-01-10,,,,,,,,,,,,,,,,4311.86,4307.37,4291.25,4324.38,4316.4,,
2005-01-11,,,,,,,,,,,,,,,,4305.86,4258.01,4247.78,4314.38,4307.37,,
2005-01-12,,,,,,,,,,,,,,,,4257.64,4208.82,4193.24,4258.34,4258.01,,
2005-01-13,,,,,,,,,,,,,,,,4218.21,4212.14,4200.62,4234.09,4208.82,,
2005-01-14,,,,,,,,,,,,,,,,4191.14,4232.36,4191.14,4236.09,4212.14,,
2005-01-17,,,,,,,,,,,,,,,,4235.94,4245.51,4235.94,4254.38,4232.36,,
2005-01-18,,,,,,,,,,,,,,,,4239.54,4250.71,4207.74,4256.22,4245.51,,
2005-01-19,,,,,,,,,,,,,,,,4259.67,4245.55,4241.04,4269.73,4250.71,,
2005-01-20,,,,,,,,,,,,,,,,4230.74,4220.43,4198.94,4230.74,4245.55,,
2005-01-21,,,,,,,,,,,,,,,,4213.28,4213.7,4198.34,4221.83,4220.43,,
2005-01-24,,,,,,,,,,,,,,,,4195.37,4201.89,4160.83,4201.89,4213.7,,
2005-01-25,,,,,,,,,,,,,,,,4193.54,4233.95,4189.51,4241.34,4201.89,,
2005-01-26,,,,,,,,,,,,,,,,4235.8,4214.12,4211.61,4245.08,4233.95,,
2005-01-27,,,,,,,,,,,,,,,,4209.93,4216.41,4185.63,4224.3,4214.12,,
