,pe_e,pb_e,ps_e,pe_w,pb_w,ps_w,pe_m,pb_m,ps_m,pe_a,pb_a,ps_a,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2001-10-04,6.57,,,,,,,,,,,,,6.51,,1731.73,1745.21,1731.42,1755.24,,,
2001-10-05,6.57,,,,,,,,,,,,,6.51,,1746.21,1749.88,1718.56,1765.33,,,
2001-10-08,6.57,,,,,,,,,,,,,6.51,,1749.86,1746.8,1726.77,1753.6,,,
2001-10-09,6.57,,,,,,,,,,,,,6.51,,1746.74,1780.66,1745.97,1791.95,,,
2001-10-10,6.57,,,,,,,,,,,,,6.51,,1781.22,1766.45,1755.89,1805.04,,,
2001-10-11,6.57,,,,,,,,,,,,,6.51,,1776.74,1765.09,1763.92,1808.21,,,
2001-10-12,6.57,,,,,,,,,,,,,6.51,,1767.59,1691.18,1685.44,1770.62,,,
2001-10-15,6.57,,,,,,,,,,,,,6.51,,1686.15,1698.01,1680.79,1713.01,,,
2001-10-16,6.57,,,,,,,,,,,,,6.51,,1700.85,1708.71,1691.19,1713.36,,,
2001-10-17,6.57,,,,,,,,,,,,,6.51,,1713.1,1734.35,1713.1,1738.82,,,
2001-10-18,6.57,,,,,,,,,,,,,6.51,,1726.05,1700.21,1691.77,1726.05,,,
2001-10-19,6.57,,,,,,,,,,,,,6.51,,1701.34,1684.46,1677.41,1713.09,,,
2001-10-22,6.57,,,,,,,,,,,,,6.51,,1684.75,1686.26,1679.39,1697.42,,,
2001-10-23,6.57,,,,,,,,,,,,,6.51,,1709.28,1796.27,1709.28,1800.55,,,
2001-10-24,6.57,,,,,,,,,,,,,6.51,,1801.44,1779.73,1764.66,1807.02,,,
2001-10-26,6.57,,,,,,,,,,,,,6.51,,1783.88,1775.92,1763.62,1793.49,,,
2001-10-29,6.57,,,,,,,,,,,,,6.51,,1775.69,1804.94,1764.44,1810.78,,,
2001-10-30,6.57,,,,,,,,,,,,,6.51,,1797.32,1856.25,1781.91,1864.73,,,
2001-10-31,6.57,,,,,,,,,,,,,6.51,,1856.91,1865.34,1813.03,1865.66,,,
2001-11-01,6.57,,,,,,,,,,,,,6.51,,1865.77,1862.31,1854.88,1890.52,,,
2001-11-02,6.57,,,,,,,,,,,,,6.51,,1863.4,1846.12,1806.5,1874.57,,,
2001-11-05,6.57,,,,,,,,,,,,,6.51,,1851.22,1860.65,1830.98,1860.87,,,
2001-11-06,6.57,,,,,,,,,,,,,6.51,,1868.77,1855.74,1838.66,1877.8,,,
2001-11-07,6.57,,,,,,,,,,,,,6.51,,1856.27,1810.66,1808.47,1865.44,,,
2001-11-08,6.57,,,,,,,,,,,,,6.51,,1819.4,1830.68,1810.72,1839.62,,,
2001-11-09,6.57,,,,,,,,,,,,,6.51,,1833.47,1844.39,1827.55,1854.65,,,
2001-11-12,6.57,,,,,,,,,,,,,6.51,,1850.21,1845.18,1837.55,1863.25,,,
2001-11-13,6.57,,,,,,,,,,,,,6.51,,1840.42,1826.06,1810.32,1840.42,,,
2001-11-14,6.57,,,,,,,,,,,,,6.51,,1835.73,1847.26,1835.73,1862.96,,,
2001-11-15,6.57,,,,,,,,,,,,,6.51,,1840.38,1817.49,1811.52,1844.57,,,
2001-11-16,6.57,,,,,,,,,,,,,6.51,,1811.99,1776.43,1762.74,1811.99,,,
2001-11-19,6.57,,,,,,,,,,,,,6.51,,1776.43,1785.73,1776.43,1795.78,,,
2001-11-20,6.57,,,,,,,,,,,,,6.51,,1789.35,1785.06,1776.25,1807.41,,,
2001-11-21,6.57,,,,,,,,,,,,,6.51,,1788.66,1804.3,1788.66,1814.98,,,
2001-11-22,6.57,,,,,,,,,,,,,6.51,,1804.31,1815.86,1799.69,1824.27,,,
2001-11-23,6.57,,,,,,,,,,,,,6.51,,1820.47,1852.93,1820.47,1856.55,,,
