,pe_e,pb_e,ps_e,pe_w,pb_w,ps_w,pe_m,pb_m,ps_m,pe_a,pb_a,ps_a,roe,dyr,cap,open,close,low,high,pre_close,volume,money
1990-02-02,10.63,,,,,,,,,,,,,4.7,,2737.0,2736.6001,2697.0,2739.0,,,
1990-02-05,10.63,,,,,,,,,,,,,4.7,,2736.0,2756.6001,2736.0,2758.0,,,
1990-02-06,10.63,,,,,,,,,,,,,4.7,,2756.0,2792.0,2756.0,2792.0,,,
1990-02-07,10.63,,,,,,,,,,,,,4.7,,2794.0,2844.8,2793.0,2844.8,,,
1990-02-08,10.63,,,,,,,,,,,,,4.7,,2844.0,2903.8,2844.0,2910.0,,,
1990-02-09,10.63,,,,,,,,,,,,,4.7,,2906.0,2893.8999,2879.0,2912.0,,,
1990-02-12,10.63,,,,,,,,,,,,,4.7,,2892.0,2894.7,2885.0,2900.0,,,
1990-02-13,10.63,,,,,,,,,,,,,4.7,,2894.0,2863.6001,2851.0,2894.0,,,
1990-02-14,10.63,,,,,,,,,,,,,4.7,,2862.0,2870.3999,2862.0,2882.0,,,
1990-02-15,10.63,,,,,,,,,,,,,4.7,,2872.0,2910.0,2870.0,2910.0,,,
1990-02-16,10.63,,,,,,,,,,,,,4.7,,2912.0,2939.3,2912.0,2959.0,,,
1990-02-19,10.63,,,,,,,,,,,,,4.7,,2940.0,2968.0,2940.0,2968.0,,,
1990-02-20,10.63,,,,,,,,,,,,,4.7,,2968.0,2980.0,2959.0,2982.0,,,
1990-02-21,10.63,,,,,,,,,,,,,4.7,,2974.0,2862.3,2862.0,2974.0,,,
1990-02-22,10.63,,,,,,,,,,,,,4.7,,2862.0,2927.8999,2862.0,2931.0,,,
1990-02-23,10.63,,,,,,,,,,,,,4.7,,2927.0,2894.3,2863.0,2927.0,,,
1990-02-26,10.63,,,,,,,,,,,,,4.7,,2881.0,2872.6001,2838.0,2883.0,,,
1990-02-27,10.63,,,,,,,,,,,,,4.7,,2872.0,2932.6001,2872.0,2932.6,,,
1990-02-28,11.38,,,,,,,,,,,,,4.39,,2931.0,2952.0,2931.0,2955.0,,,
1990-03-01,11.38,,,,,,,,,,,,,4.39,,2951.0,2933.1001,2928.0,2952.0,,,
1990-03-02,11.38,,,,,,,,,,,,,4.39,,2932.0,2937.0,2924.0,2942.0,,,
1990-03-05,11.38,,,,,,,,,,,,,4.39,,2937.0,2938.0,2925.0,2949.0,,,
1990-03-06,11.38,,,,,,,,,,,,,4.39,,2938.0,2933.0,2921.0,2941.0,,,
1990-03-07,11.38,,,,,,,,,,,,,4.39,,2933.0,2926.0,2925.0,2936.0,,,
1990-03-08,11.38,,,,,,,,,,,,,4.39,,2926.0,2915.0,2906.0,2927.0,,,
1990-03-09,11.38,,,,,,,,,,,,,4.39,,2916.0,2912.0,2912.0,2937.0,,,
1990-03-12,11.38,,,,,,,,,,,,,4.39,,2912.0,2892.0,2882.0,2913.0,,,
1990-03-13,11.38,,,,,,,,,,,,,4.39,,2892.0,2887.0,2877.0,2898.0,,,
1990-03-14,11.38,,,,,,,,,,,,,4.39,,2885.0,2881.0,2873.0,2885.0,,,
1990-03-15,11.38,,,,,,,,,,,,,4.39,,2884.0,2892.0,2884.0,2907.0,,,
1990-03-16,11.38,,,,,,,,,,,,,4.39,,2893.0,2886.0,2869.0,2906.0,,,
1990-03-19,11.38,,,,,,,,,,,,,4.39,,2887.0,2871.0,2862.0,2903.0,,,
1990-03-20,11.38,,,,,,,,,,,,,4.39,,2871.0,2880.0,2870.0,2888.0,,,
1990-03-21,11.38,,,,,,,,,,,,,4.39,,2880.0,2926.0,2880.0,2932.0,,,
1990-03-22,11.38,,,,,,,,,,,,,4.39,,2926.0,2948.0,2913.0,2956.0,,,
1990-03-23,11.38,,,,,,,,,,,,,4.39,,2948.0,2974.0,2940.0,2974.0,,,
1990-03-26,11.38,,,,,,,,,,,,,4.39,,2981.0,3014.0,2981.0,3018.0,,,
1990-03-27,11.38,,,,,,,,,,,,,4.39,,3014.0,3010.0,2999.0,3027.0,,,
1990-03-28,11.38,,,,,,,,,,,,,4.39,,3010.0,2990.0,2985.0,3014.0,,,
1990-03-29,11.38,,,,,,,,,,,,,4.39,,2990.0,3000.0,2980.0,3008.0,,,
1990-03-30,11.38,,,,,,,,,,,,,4.39,,3004.0,2997.0,2989.0,3015.0,,,
1990-04-02,10.3,,,,,,,,,,,,,4.8,,2997.0,2934.0,2931.0,2997.0,,,
1990-04-03,10.3,,,,,,,,,,,,,4.8,,2936.0,2962.0,2936.0,2962.0,,,
1990-04-04,10.3,,,,,,,,,,,,,4.8,,2961.0,2960.0,2954.0,2975.0,,,
1990-04-06,10.3,,,,,,,,,,,,,4.8,,2958.0,2956.0,2956.0,2975.0,,,
1990-04-09,10.3,,,,,,,,,,,,,4.8,,2951.0,2954.0,2949.0,2964.0,,,
1990-04-10,10.3,,,,,,,,,,,,,4.8,,2954.0,2942.0,2935.0,2956.0,,,
1990-04-11,10.3,,,,,,,,,,,,,4.8,,2942.0,2959.0,2939.0,2961.0,,,
1990-04-12,10.3,,,,,,,,,,,,,4.8,,2948.0,2995.0,2948.0,2996.0,,,
1990-04-17,10.3,,,,,,,,,,,,,4.8,,2996.0,3020.0,2996.0,3028.0,,,
1990-04-18,10.3,,,,,,,,,,,,,4.8,,3020.0,3052.0,3020.0,3052.0,,,
1990-04-19,10.3,,,,,,,,,,,,,4.8,,3054.0,3067.0,3049.0,3072.0,,,
1990-04-20,10.3,,,,,,,,,,,,,4.8,,3060.0,3067.0,3038.0,3067.0,,,
1990-04-23,10.3,,,,,,,,,,,,,4.8,,3066.0,3056.0,3056.0,3073.0,,,
1990-04-24,10.3,,,,,,,,,,,,,4.8,,3057.0,3015.0,3014.0,3057.0,,,
1990-04-25,10.3,,,,,,,,,,,,,4.8,,3015.0,3018.0,3001.0,3026.0,,,
1990-04-26,10.3,,,,,,,,,,,,,4.8,,3018.0,3009.0,2998.0,3025.0,,,
1990-04-27,10.3,,,,,,,,,,,,,4.8,,3003.0,2986.0,2980.0,3004.0,,,
1990-04-30,10.13,,,,,,,,,,,,,4.88,,2986.0,2951.0,2951.0,2986.0,,,
1990-05-01,10.13,,,,,,,,,,,,,4.88,,2948.0,2945.0,2924.0,2948.0,,,
1990-05-02,10.13,,,,,,,,,,,,,4.88,,2945.0,2957.0,2945.0,2981.0,,,
1990-05-03,10.13,,,,,,,,,,,,,4.88,,2957.0,2954.0,2948.0,2958.0,,,
1990-05-04,10.13,,,,,,,,,,,,,4.88,,2944.0,2946.0,2938.0,2950.0,,,
1990-05-07,10.13,,,,,,,,,,,,,4.88,,2948.0,2958.0,2948.0,2968.0,,,
1990-05-08,10.13,,,,,,,,,,,,,4.88,,2960.0,2953.0,2952.0,2973.0,,,
1990-05-09,10.13,,,,,,,,,,,,,4.88,,2953.0,2942.0,2930.0,2955.0,,,
1990-05-10,10.13,,,,,,,,,,,,,4.88,,2942.0,2985.0,2940.0,2986.0,,,
1990-05-11,10.13,,,,,,,,,,,,,4.88,,2975.0,2960.0,2959.0,2980.0,,,
1990-05-14,10.13,,,,,,,,,,,,,4.88,,2963.0,2976.0,2963.0,2988.0,,,
1990-05-15,10.13,,,,,,,,,,,,,4.88,,2978.0,2965.0,2960.0,2990.0,,,
1990-05-16,10.13,,,,,,,,,,,,,4.88,,2964.0,2948.0,2931.0,2964.0,,,
1990-05-17,10.13,,,,,,,,,,,,,4.88,,2948.0,2917.0,2906.0,2949.0,,,
1990-05-18,10.13,,,,,,,,,,,,,4.88,,2909.0,2925.0,2909.0,2941.0,,,
1990-05-21,10.13,,,,,,,,,,,,,4.88,,2925.0,2930.0,2925.0,2938.0,,,
1990-05-22,10.13,,,,,,,,,,,,,4.88,,2925.0,2970.0,2925.0,2971.0,,,
1990-05-23,10.13,,,,,,,,,,,,,4.88,,2970.0,3028.0,2970.0,3034.0,,,
1990-05-24,10.13,,,,,,,,,,,,,4.88,,3028.0,3048.0,3028.0,3054.0,,,
1990-05-25,10.13,,,,,,,,,,,,,4.88,,3049.0,3059.0,3037.0,3068.0,,,
1990-05-29,10.13,,,,,,,,,,,,,4.88,,3059.0,3048.0,3024.0,3059.0,,,
1990-05-30,10.13,,,,,,,,,,,,,4.88,,3048.0,3083.0,3048.0,3087.0,,,
1990-05-31,10.76,,,,,,,,,,,,,4.59,,3084.0,3132.0,3084.0,3137.0,,,
1990-06-01,10.76,,,,,,,,,,,,,4.59,,3139.0,3159.0,3139.0,3166.0,,,
1990-06-04,10.76,,,,,,,,,,,,,4.59,,3159.0,3153.0,3150.0,3200.0,,,
1990-06-05,10.76,,,,,,,,,,,,,4.59,,3153.0,3159.0,3152.0,3179.0,,,
1990-06-06,10.76,,,,,,,,,,,,,4.59,,3159.0,3172.0,3139.0,3172.0,,,
