,pe_e,pb_e,ps_e,pe_w,pb_w,ps_w,pe_m,pb_m,ps_m,pe_a,pb_a,ps_a,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2005-01-04,,,,,,,,,,,,,,,,11458.27,11517.75,11431.57,11547.02,11488.76,,
2005-01-05,,,,,,,,,,,,,,,,11458.92,11437.52,11416.97,11461.1,11517.75,,
2005-01-06,,,,,,,,,,,,,,,,11372.35,11492.26,11372.21,11492.26,11437.52,,
2005-01-07,,,,,,,,,,,,,,,,11528.69,11433.24,11432.19,11528.69,11492.26,,
2005-01-11,,,,,,,,,,,,,,,,11495.46,11539.99,11495.46,11580.69,11433.24,,
2005-01-12,,,,,,,,,,,,,,,,11537.6,11453.39,11449.49,11548.89,11539.99,,
2005-01-13,,,,,,,,,,,,,,,,11398.94,11358.22,11355.05,11424.68,11453.39,,
2005-01-14,,,,,,,,,,,,,,,,11341.8,11438.39,11320.49,11491.18,11358.22,,
2005-01-17,,,,,,,,,,,,,,,,11475.2,11487.1,11453.86,11535.86,11438.39,,
2005-01-18,,,,,,,,,,,,,,,,11504.16,11423.26,11401.32,11509.4,11487.1,,
2005-01-19,,,,,,,,,,,,,,,,11467.74,11405.34,11396.43,11486.93,11423.26,,
2005-01-20,,,,,,,,,,,,,,,,11335.12,11284.77,11259.27,11335.12,11405.34,,
2005-01-21,,,,,,,,,,,,,,,,11226.07,11238.37,11222.24,11290.14,11284.77,,
2005-01-24,,,,,,,,,,,,,,,,11213.03,11289.49,11212.63,11303.21,11238.37,,
2005-01-25,,,,,,,,,,,,,,,,11261.62,11276.91,11214.6,11276.91,11289.49,,
2005-01-26,,,,,,,,,,,,,,,,11346.81,11376.57,11329.42,11379.57,11276.91,,
2005-01-27,,,,,,,,,,,,,,,,11390.09,11341.31,11316.3,11390.09,11376.57,,
2005-01-28,,,,,,,,,,,,,,,,11334.41,11320.58,11218.88,11340.28,11341.31,,
2005-01-31,,,,,,,,,,,,,,,,11296.99,11387.59,11266.09,11467.5,11320.58,,
2005-02-01,,,,,,,,,,,,,,,,11422.02,11384.4,11330.06,11422.02,11387.59,,
2005-02-02,,,,,,,,,,,,,,,,11432.34,11407.14,11399.62,11447.28,11384.4,,
2005-02-03,,,,,,,,,,,,,,,,11430.9,11389.35,11344.41,11444.18,11407.14,,
2005-02-04,,,,,,,,,,,,,,,,11381.5,11360.4,11271.04,11383.05,11389.35,,
2005-02-07,,,,,,,,,,,,,,,,11393.04,11499.86,11381.78,11531.25,11360.4,,
2005-02-08,,,,,,,,,,,,,,,,11504.12,11490.43,11464.34,11519.03,11499.86,,
2005-02-09,,,,,,,,,,,,,,,,11519.9,11473.35,11457.96,11538.13,11490.43,,
2005-02-10,,,,,,,,,,,,,,,,11434.89,11553.56,11414.99,11553.73,11473.35,,
2005-02-14,,,,,,,,,,,,,,,,11644.4,11632.2,11626.42,11677.57,11553.56,,
2005-02-15,,,,,,,,,,,,,,,,11648.68,11646.49,11635.57,11676.26,11632.2,,
2005-02-16,,,,,,,,,,,,,,,,11629.69,11601.68,11585.46,11684.91,11646.49,,
2005-02-17,,,,,,,,,,,,,,,,11583.84,11582.72,11574.06,11638.18,11601.68,,
2005-02-18,,,,,,,,,,,,,,,,11562.93,11660.12,11562.93,11660.12,11582.72,,
2005-02-21,,,,,,,,,,,,,,,,11682.19,11651.02,11651.02,11690.49,11660.12,,
2005-02-22,,,,,,,,,,,,,,,,11636.47,11597.71,11592.04,11651.51,11651.02,,
2005-02-23,,,,,,,,,,,,,,,,11510.76,11500.18,11452.42,11510.76,11597.71,,
2005-02-24,,,,,,,,,,,,,,,,11513.84,11531.15,11507.2,11557.86,11500.18,,
2005-02-25,,,,,,,,,,,,,,,,11585.84,11658.25,11585.46,11677.2,11531.15,,
2005-02-28,,,,,,,,,,,,,,,,11742.01,11740.6,11704.32,11754.9,11658.25,,
2005-03-01,,,,,,,,,,,,,,,,11734.14,11780.53,11719.77,11780.53,11740.6,,
2005-03-02,,,,,,,,,,,,,,,,11804.84,11813.71,11780.61,11831.69,11780.53,,
2005-03-03,,,,,,,,,,,,,,,,11790.91,11856.46,11790.91,11856.46,11813.71,,
2005-03-04,,,,,,,,,,,,,,,,11815.79,11873.05,11769.67,11881.98,11856.46,,
2005-03-07,,,,,,,,,,,,,,,,11935.8,11925.36,11917.77,11975.46,11873.05,,
2005-03-08,,,,,,,,,,,,,,,,11936.84,11886.91,11878.89,11936.84,11925.36,,
2005-03-09,,,,,,,,,,,,,,,,11882.25,11966.69,11882.25,11966.69,11886.91,,
2005-03-10,,,,,,,,,,,,,,,,11892.38,11864.91,11863.54,11959.18,11966.69,,
2005-03-11,,,,,,,,,,,,,,,,11838.02,11923.89,11838.02,11964.21,11864.91,,
2005-03-14,,,,,,,,,,,,,,,,11947.29,11850.25,11850.25,11955.29,11923.89,,
2005-03-15,,,,,,,,,,,,,,,,11899.2,11821.09,11785.16,11912.81,11850.25,,
2005-03-16,,,,,,,,,,,,,,,,11822.18,11873.18,11793.03,11873.18,11821.09,,
2005-03-17,,,,,,,,,,,,,,,,11785.95,11775.5,11754.98,11808.04,11873.18,,
2005-03-18,,,,,,,,,,,,,,,,11792.29,11879.81,11790.96,11922.54,11775.5,,
2005-03-22,,,,,,,,,,,,,,,,11867.34,11841.97,11830.96,11889.13,11879.81,,
2005-03-23,,,,,,,,,,,,,,,,11823.97,11739.12,11681.16,11823.97,11841.97,,
2005-03-24,,,,,,,,,,,,,,,,11741.17,11745.97,11706.27,11819.37,11739.12,,
2005-03-25,,,,,,,,,,,,,,,,11788.68,11761.1,11732.8,11802.7,11745.97,,
2005-03-28,,,,,,,,,,,,,,,,11709.79,11792.3,11709.79,11816.72,11761.1,,
2005-03-29,,,,,,,,,,,,,,,,11809.66,11599.82,11563.12,11809.66,11792.3,,
2005-03-30,,,,,,,,,,,,,,,,11548.93,11565.88,11506.85,11608.45,11599.82,,
2005-03-31,,,,,,,,,,,,,,,,11623.1,11668.95,11590.72,11668.95,11565.88,,
2005-04-01,,,,,,,,,,,,,,,,11590.45,11723.63,11557.13,11723.63,11668.95,,
2005-04-04,,,,,,,,,,,,,,,,11666.31,11667.54,11652.66,11701.19,11723.63,,
2005-04-05,,,,,,,,,,,,,,,,11695.97,11774.31,11695.97,11786.65,11667.54,,
2005-04-06,,,,,,,,,,,,,,,,11783.74,11827.16,11760.71,11841.25,11774.31,,
2005-04-07,,,,,,,,,,,,,,,,11848.49,11810.99,11757.87,11848.49,11827.16,,
2005-04-08,,,,,,,,,,,,,,,,11867.15,11874.75,11839.66,11911.9,11810.99,,
2005-04-11,,,,,,,,,,,,,,,,11847.92,11745.64,11744.86,11847.92,11874.75,,
2005-04-12,,,,,,,,,,,,,,,,11739.05,11670.3,11657.66,11764.01,11745.64,,
2005-04-13,,,,,,,,,,,,,,,,11688.22,11637.52,11602.94,11718.78,11670.3,,
2005-04-14,,,,,,,,,,,,,,,,11578.78,11563.17,11474.82,11580.55,11637.52,,
2005-04-15,,,,,,,,,,,,,,,,11463.15,11370.69,11343.73,11463.15,11563.17,,
2005-04-18,,,,,,,,,,,,,,,,11223.65,10938.44,10920.66,11223.65,11370.69,,
2005-04-19,,,,,,,,,,,,,,,,11019.76,11065.86,10966.46,11082.84,10938.44,,
2005-04-20,,,,,,,,,,,,,,,,11173.84,11088.58,11052.38,11199.38,11065.86,,
2005-04-21,,,,,,,,,,,,,,,,10950.73,10984.39,10770.58,11001.31,11088.58,,
2005-04-22,,,,,,,,,,,,,,,,11116.61,11045.95,11045.95,11134.99,10984.39,,
2005-04-25,,,,,,,,,,,,,,,,11064.95,11073.77,11020.59,11114.45,11045.95,,
2005-04-26,,,,,,,,,,,,,,,,11085.75,11035.83,11019.94,11085.75,11073.77,,
2005-04-27,,,,,,,,,,,,,,,,10968.77,11005.42,10968.58,11022.44,11035.83,,
2005-04-28,,,,,,,,,,,,,,,,10979.05,11008.9,10892.71,11008.9,11005.42,,
2005-05-02,,,,,,,,,,,,,,,,10954.21,11002.11,10913.97,11035.95,11008.9,,
2005-05-06,,,,,,,,,,,,,,,,11119.78,11192.17,11109.33,11192.17,11002.11,,
2005-05-09,,,,,,,,,,,,,,,,11199.1,11171.32,11119.48,11199.1,11192.17,,
2005-05-10,,,,,,,,,,,,,,,,11193.22,11159.46,11125.0,11211.36,11171.32,,
