,pe_e,pb_e,ps_e,pe_w,pb_w,ps_w,pe_m,pb_m,ps_m,pe_a,pb_a,ps_a,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2005-01-03,,,,,,,,,,,,,,,,2184.75,2152.15,2148.72,2191.6,2175.44,,
2005-01-04,,,,,,,,,,,,,,,,2158.31,2107.86,2100.56,2159.64,2152.15,,
2005-01-05,,,,,,,,,,,,,,,,2102.9,2091.24,2091.24,2116.75,2107.86,,
2005-01-06,,,,,,,,,,,,,,,,2098.51,2090.0,2088.03,2103.9,2091.24,,
2005-01-07,,,,,,,,,,,,,,,,2099.95,2088.61,2076.69,2103.39,2090.0,,
2005-01-10,,,,,,,,,,,,,,,,2087.62,2097.04,2086.66,2111.43,2088.61,,
2005-01-11,,,,,,,,,,,,,,,,2089.07,2079.62,2072.62,2090.62,2097.04,,
2005-01-12,,,,,,,,,,,,,,,,2089.7,2092.53,2066.79,2093.44,2079.62,,
2005-01-13,,,,,,,,,,,,,,,,2093.54,2070.56,2067.94,2094.8,2092.53,,
2005-01-14,,,,,,,,,,,,,,,,2079.47,2087.91,2075.47,2088.58,2070.56,,
2005-01-18,,,,,,,,,,,,,,,,2081.86,2106.04,2078.04,2106.19,2087.91,,
2005-01-19,,,,,,,,,,,,,,,,2105.74,2073.59,2072.2,2105.84,2106.04,,
2005-01-20,,,,,,,,,,,,,,,,2056.38,2045.88,2045.88,2065.59,2073.59,,
2005-01-21,,,,,,,,,,,,,,,,2053.15,2034.27,2032.88,2058.0,2045.88,,
2005-01-24,,,,,,,,,,,,,,,,2040.13,2008.7,2008.68,2043.97,2034.27,,
2005-01-25,,,,,,,,,,,,,,,,2022.08,2019.95,2017.58,2037.18,2008.7,,
2005-01-26,,,,,,,,,,,,,,,,2034.69,2046.09,2028.19,2049.34,2019.95,,
2005-01-27,,,,,,,,,,,,,,,,2042.77,2047.15,2036.09,2053.94,2046.09,,
2005-01-28,,,,,,,,,,,,,,,,2052.54,2035.83,2024.36,2055.13,2047.15,,
2005-01-31,,,,,,,,,,,,,,,,2053.47,2062.41,2053.47,2063.18,2035.83,,
2005-02-01,,,,,,,,,,,,,,,,2063.27,2068.7,2058.66,2071.52,2062.41,,
2005-02-02,,,,,,,,,,,,,,,,2074.06,2075.06,2064.2,2079.58,2068.7,,
2005-02-03,,,,,,,,,,,,,,,,2065.44,2057.64,2049.25,2066.93,2075.06,,
2005-02-04,,,,,,,,,,,,,,,,2056.47,2086.66,2056.29,2086.72,2057.64,,
2005-02-07,,,,,,,,,,,,,,,,2086.55,2082.03,2075.41,2091.17,2086.66,,
2005-02-08,,,,,,,,,,,,,,,,2082.11,2086.68,2080.42,2095.64,2082.03,,
2005-02-09,,,,,,,,,,,,,,,,2088.52,2052.55,2051.0,2089.38,2086.68,,
