,pe_e,pb_e,ps_e,pe_w,pb_w,ps_w,pe_m,pb_m,ps_m,pe_a,pb_a,ps_a,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2001-03-05,26.1,,,,,,,,,,,,,1.23,,1234.1801,1241.41,1234.04,1242.55,,,
2001-03-06,26.1,,,,,,,,,,,,,1.23,,1241.41,1253.8,1241.41,1267.42,,,
2001-03-07,26.1,,,,,,,,,,,,,1.23,,1253.8,1261.89,1253.8,1263.86,,,
2001-03-08,26.1,,,,,,,,,,,,,1.23,,1261.89,1264.74,1257.6,1266.5,,,
2001-03-09,26.1,,,,,,,,,,,,,1.23,,1264.74,1233.42,1228.42,1264.74,,,
2001-03-12,26.1,,,,,,,,,,,,,1.23,,1233.42,1180.16,1176.78,1233.42,,,
2001-03-13,26.1,,,,,,,,,,,,,1.23,,1180.16,1197.66,1171.5,1197.83,,,
2001-03-14,26.1,,,,,,,,,,,,,1.23,,1197.66,1166.71,1155.35,1197.66,,,
2001-03-15,26.1,,,,,,,,,,,,,1.23,,1166.71,1173.5601,1166.71,1182.04,,,
2001-03-16,26.1,,,,,,,,,,,,,1.23,,1173.5601,1150.53,1148.64,1173.5601,,,
2001-03-19,26.1,,,,,,,,,,,,,1.23,,1150.53,1170.8101,1147.1801,1173.5,,,
2001-03-20,26.1,,,,,,,,,,,,,1.23,,1170.8101,1142.62,1142.1899,1180.5601,,,
2001-03-21,26.1,,,,,,,,,,,,,1.23,,1142.62,1122.14,1118.74,1149.39,,,
2001-03-22,26.1,,,,,,,,,,,,,1.23,,1122.14,1117.58,1081.1899,1124.27,,,
2001-03-23,26.1,,,,,,,,,,,,,1.23,,1117.58,1139.83,1117.58,1141.83,,,
2001-03-26,26.1,,,,,,,,,,,,,1.23,,1139.83,1152.6899,1139.83,1160.02,,,
2001-03-27,26.1,,,,,,,,,,,,,1.23,,1152.6899,1182.17,1150.96,1183.35,,,
2001-03-28,26.1,,,,,,,,,,,,,1.23,,1182.17,1153.29,1147.83,1182.17,,,
2001-03-29,26.1,,,,,,,,,,,,,1.23,,1153.29,1147.95,1136.26,1161.6899,,,
2001-03-30,26.1,,,,,,,,,,,,,1.23,,1147.95,1160.33,1143.83,1162.8,,,
2001-04-02,27.96,,,,,,,,,,,,,1.35,,1160.33,1145.87,1137.51,1169.51,,,
2001-04-03,27.96,,,,,,,,,,,,,1.35,,1145.87,1106.46,1100.1899,1145.87,,,
2001-04-04,27.96,,,,,,,,,,,,,1.35,,1106.46,1103.25,1091.99,1117.5,,,
2001-04-05,27.96,,,,,,,,,,,,,1.35,,1103.25,1151.4399,1103.25,1151.47,,,
2001-04-06,27.96,,,,,,,,,,,,,1.35,,1151.4399,1128.4301,1119.29,1151.4399,,,
2001-04-09,27.96,,,,,,,,,,,,,1.35,,1128.4301,1137.59,1126.38,1146.13,,,
