,pe_e,pb_e,ps_e,pe_w,pb_w,ps_w,pe_m,pb_m,ps_m,pe_a,pb_a,ps_a,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2011-08-15,,,,,,,,,,,,,,,,2320.62,2324.48,2306.24,2339.92,2799.5,,
2011-08-16,,,,,,,,,,,,,,,,2309.57,2323.67,2269.99,2323.67,2324.48,,
2011-08-17,,,,,,,,,,,,,,,,2313.37,2331.12,2281.88,2355.67,2323.67,,
2011-08-18,,,,,,,,,,,,,,,,2313.16,2206.61,2177.29,2313.16,2331.12,,
2011-08-19,,,,,,,,,,,,,,,,2203.18,2159.07,2117.68,2203.18,2206.61,,
2011-08-22,,,,,,,,,,,,,,,,2148.0,2183.39,2140.32,2227.14,2159.07,,
2011-08-23,,,,,,,,,,,,,,,,2199.9,2199.98,2173.79,2239.91,2183.39,,
2011-08-24,,,,,,,,,,,,,,,,2209.12,2238.7,2191.74,2258.13,2199.98,,
2011-08-25,,,,,,,,,,,,,,,,2251.86,2216.7,2197.38,2273.42,2238.7,,
2011-08-26,,,,,,,,,,,,,,,,2216.37,2190.44,2140.57,2220.34,2216.7,,
2011-08-29,,,,,,,,,,,,,,,,2208.62,2239.3,2208.62,2253.33,2190.44,,
2011-08-30,,,,,,,,,,,,,,,,2252.2,2239.14,2216.31,2264.09,2239.3,,
2011-08-31,,,,,,,,,,,,,,,,2248.31,2302.08,2240.28,2314.87,2239.14,,
2011-09-01,,,,,,,,,,,,,,,,2309.64,2305.75,2265.23,2326.78,2302.08,,
2011-09-02,,,,,,,,,,,,,,,,2287.26,2220.72,2207.21,2287.26,2305.75,,
2011-09-05,,,,,,,,,,,,,,,,2191.17,2107.27,2092.71,2191.17,2220.72,,
2011-09-06,,,,,,,,,,,,,,,,2107.4,2080.1,2063.58,2138.61,2107.27,,
2011-09-07,,,,,,,,,,,,,,,,2106.18,2151.16,2106.18,2151.16,2080.1,,
2011-09-08,,,,,,,,,,,,,,,,2148.86,2163.4,2131.36,2185.29,2151.16,,
2011-09-09,,,,,,,,,,,,,,,,2154.2,2073.67,2069.64,2158.9,2163.4,,
2011-09-12,,,,,,,,,,,,,,,,2042.71,1995.01,1971.02,2042.71,2073.67,,
2011-09-13,,,,,,,,,,,,,,,,2016.93,2036.64,1948.65,2045.96,1995.01,,
2011-09-14,,,,,,,,,,,,,,,,2017.35,2083.38,2007.87,2087.84,2036.64,,
2011-09-15,,,,,,,,,,,,,,,,2091.5,2155.62,2091.5,2185.58,2083.38,,
2011-09-16,,,,,,,,,,,,,,,,2172.73,2159.28,2145.89,2192.41,2155.62,,
2011-09-19,,,,,,,,,,,,,,,,2123.89,2096.1,2080.16,2123.89,2159.28,,
2011-09-20,,,,,,,,,,,,,,,,2084.48,2140.41,2076.68,2143.25,2096.1,,
2011-09-21,,,,,,,,,,,,,,,,2138.21,2098.49,2093.89,2138.55,2140.41,,
2011-09-22,,,,,,,,,,,,,,,,2070.68,1995.75,1985.38,2070.68,2098.49,,
2011-09-23,,,,,,,,,,,,,,,,2013.88,2026.03,1935.89,2027.73,1995.75,,
2011-09-26,,,,,,,,,,,,,,,,2004.97,2083.35,1993.71,2116.13,2026.03,,
2011-09-27,,,,,,,,,,,,,,,,2108.47,2194.03,2108.47,2194.43,2083.35,,
2011-09-28,,,,,,,,,,,,,,,,2179.13,2176.64,2159.46,2221.12,2194.03,,
2011-09-29,,,,,,,,,,,,,,,,2168.2,2212.44,2162.17,2232.02,2176.64,,
2011-09-30,,,,,,,,,,,,,,,,2204.93,2179.66,2153.27,2204.93,2212.44,,
2011-10-03,,,,,,,,,,,,,,,,2146.7,2138.24,2108.72,2153.9,2179.66,,
2011-10-04,,,,,,,,,,,,,,,,2117.88,2091.09,2054.98,2117.88,2138.24,,
2011-10-05,,,,,,,,,,,,,,,,2118.75,2179.42,2115.38,2180.22,2091.09,,
2011-10-06,,,,,,,,,,,,,,,,2191.07,2248.78,2188.76,2248.78,2179.42,,
2011-10-07,,,,,,,,,,,,,,,,2248.48,2269.19,2237.36,2290.73,2248.78,,
2011-10-10,,,,,,,,,,,,,,,,2288.16,2320.8,2267.94,2322.57,2269.19,,
2011-10-11,,,,,,,,,,,,,,,,2315.29,2315.97,2285.63,2320.57,2320.8,,
2011-10-12,,,,,,,,,,,,,,,,2311.47,2372.15,2293.37,2378.92,2315.97,,
2011-10-13,,,,,,,,,,,,,,,,2361.62,2332.52,2319.73,2384.41,2372.15,,
2011-10-14,,,,,,,,,,,,,,,,2339.65,2355.48,2320.55,2379.86,2332.52,,
2011-10-17,,,,,,,,,,,,,,,,2368.79,2315.89,2303.01,2393.4,2355.48,,
2011-10-18,,,,,,,,,,,,,,,,2298.05,2306.81,2269.53,2314.01,2315.89,,
2011-10-19,,,,,,,,,,,,,,,,2316.72,2330.08,2311.61,2345.12,2306.81,,
2011-10-20,,,,,,,,,,,,,,,,2311.92,2271.77,2268.01,2324.77,2330.08,,
2011-10-21,,,,,,,,,,,,,,,,2283.85,2337.51,2279.25,2340.81,2271.77,,
2011-10-24,,,,,,,,,,,,,,,,2346.83,2369.07,2323.69,2372.25,2337.51,,
2011-10-25,,,,,,,,,,,,,,,,2360.56,2343.96,2321.86,2375.17,2369.07,,
2011-10-26,,,,,,,,,,,,,,,,2342.73,2335.06,2316.62,2380.24,2343.96,,
2011-10-27,,,,,,,,,,,,,,,,2361.68,2476.92,2361.68,2482.92,2335.06,,
2011-10-28,,,,,,,,,,,,,,,,2480.89,2462.36,2449.09,2506.22,2476.92,,
2011-10-31,,,,,,,,,,,,,,,,2443.68,2385.22,2385.22,2443.68,2462.36,,
2011-11-01,,,,,,,,,,,,,,,,2352.76,2259.73,2241.69,2352.76,2385.22,,
2011-11-02,,,,,,,,,,,,,,,,2278.7,2291.89,2240.16,2301.29,2259.73,,
2011-11-03,,,,,,,,,,,,,,,,2254.53,2347.94,2238.16,2373.0,2291.89,,
2011-11-04,,,,,,,,,,,,,,,,2355.96,2291.47,2278.75,2370.38,2347.94,,
2011-11-07,,,,,,,,,,,,,,,,2275.16,2275.92,2231.68,2307.18,2291.47,,
2011-11-08,,,,,,,,,,,,,,,,2279.44,2303.2,2276.68,2347.25,2275.92,,
