,name,market,type,watch,fund
000902.SH,全市场,sh,qsc,True,
399106.SZ,深证综指,sz,qsc,True,
000001.SH,上证综指,sh,qsc,False,
000985.SH,中证全指,sh,qsc,False,
399101.SZ,中小板综,sz,qsc,False,
399102.SZ,创业板综,sz,qsc,False,
000016.SH,上证50,sh,kj,True,
000010.SH,上证180,sh,kj,True,
000300.SH,沪深300,sh,kj,True,
000905.SH,中证500,sh,kj,True,
000852.SH,中证1000,sh,kj,True,
399330.SZ,深证100,sz,kj,True,
399006.SZ,创业板指,sz,kj,True,
399005.SZ,中小板指,sz,kj,True,
000009.SH,上证380,sh,kj,False,
000903.SH,中证100,sh,kj,False,
000904.SH,中证200,sh,kj,False,
000906.SH,中证800,sh,kj,False,
399001.SZ,深证成指,sz,kj,False,
399673.SZ,创业板50,sz,kj,False,
000991.SH,全指医药,sh,zj,True,
000992.SH,全指金融,sh,zj,True,
000990.SH,全指消费,sh,zj,True,
000993.SH,全指信息,sh,zj,True,
000807.SH,食品饮料,sh,zj,True,
000922.SH,中证红利,sh,zj,True,
399812.SZ,中证养老,sz,zj,True,
399967.SZ,中证军工,sz,zj,True,
000827.SH,中证环保,sh,zj,True,
399971.SZ,中证传媒,sz,zj,True,
000989.SH,全指可选,sh,zj,False,
000988.SH,全指工业,sh,zj,False,
000986.SH,全指能源,sh,zj,False,
000931.SH,中证可选,sh,zj,False,
000015.SH,红利指数,sh,zj,False,
000068.SH,上证资源,sh,zj,False,
000998.SH,中证TMT,sh,zj,False,
000978.SH,医药100,sh,zj,False,
399989.SZ,中证医疗,sz,zj,False,
399986.SZ,中证银行,sz,zj,False,
399814.SZ,中证大农业,sz,zj,False,
399975.SZ,全指证券,sz,zj,True,
399324.SZ,深证红利,sz,zj,False,
399976.SZ,新能源汽车,sz,zj,False,
399808.SZ,中证新能源,sz,zj,False,
399806.SZ,环境治理,sz,zj,False,
000925.SH,基本面50,sh,zj,False,
399550.SZ,央视50,sz,zj,False,
000977.SH,内地低碳,sh,zj,False,
000841.SH,800医药,sh,zj,False,
399624.SZ,中创400,sz,zj,False,
399811.SZ,申万电子,sz,zj,False,
399396.SZ,国证食品,sz,zj,False,
000932.SH,中证消费,sh,zj,True,
399997.SZ,中证白酒,sz,zj,False,
HSI,恒生指数,hk,,True,
HSCEI,恒生国企,hk,,True,
SPX,标普500,us,,True,
DJIA,道琼斯,us,,False,
NDAQ,纳斯达克,us,,False,
GDAXI,德国DAX30,eu,,False,
FTSE,英国富时100,eu,,False,
FCHI,法国CAC40,eu,,False,
SX5E,欧洲斯托克50,eu,,False,
N225,日经225,as,,False,
