,pe_e,pb_e,ps_e,pe_w,pb_w,ps_w,pe_m,pb_m,ps_m,pe_a,pb_a,ps_a,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2005-01-04,30.35,2.0,1.3,27.07,1.98,1.3,26.55,2.01,1.96,20.36,1.74,1.59,7.33,1.71,27327.21,1260.78,1242.77,1238.18,1260.78,1266.5,816177000.0,4418452047.0
2005-01-05,30.73,2.03,1.32,27.38,2.01,1.32,26.93,2.04,2.01,20.75,1.77,1.6,7.33,1.7,27499.43,1241.682,1251.937,1235.746,1258.58,1242.774,867865100.0,4916589314.0
2005-01-06,30.44,2.02,1.31,27.12,1.99,1.3,26.64,2.02,1.98,20.58,1.72,1.59,7.33,1.71,27217.24,1252.493,1239.43,1234.236,1252.735,1251.937,792225400.0,4381370333.0
2005-01-07,30.52,2.03,1.32,27.2,2.0,1.31,26.73,2.01,1.99,20.81,1.74,1.58,7.33,1.71,27336.47,1239.323,1244.746,1235.508,1256.313,1239.43,894087100.0,5040041939.0
2005-01-10,30.77,2.04,1.33,27.46,2.01,1.32,26.92,2.03,2.02,20.9,1.75,1.6,7.33,1.7,27487.99,1243.576,1252.401,1236.089,1252.723,1244.746,723468300.0,4118291757.0
2005-01-11,30.84,2.05,1.33,27.55,2.02,1.33,26.95,2.05,2.02,20.71,1.76,1.61,7.33,1.69,27597.14,1252.711,1257.462,1247.835,1260.871,1252.401,772557000.0,4368276172.0
2005-01-12,30.83,2.05,1.33,27.53,2.02,1.32,26.81,2.04,2.02,20.6,1.76,1.61,7.33,1.69,27590.72,1257.17,1256.923,1246.422,1257.193,1257.462,676958500.0,3799862955.0
2005-01-13,30.88,2.05,1.33,27.57,2.02,1.33,26.77,2.05,2.03,20.63,1.74,1.62,7.33,1.69,27572.75,1255.718,1256.314,1251.016,1259.499,1256.923,874670700.0,5003680868.0
2005-01-14,30.56,2.03,1.32,27.3,2.0,1.31,26.56,2.02,2.0,20.65,1.73,1.6,7.33,1.71,27337.25,1255.871,1245.62,1243.873,1268.856,1256.314,989832700.0,5272487558.0
2005-01-17,29.79,1.98,1.29,26.69,1.96,1.29,25.82,1.97,1.95,20.03,1.7,1.58,7.34,1.75,26692.48,1235.574,1216.652,1214.065,1236.397,1245.62,1002856500.0,5434886351.0
2005-01-18,30.08,2.01,1.31,26.95,1.98,1.3,26.09,1.99,1.97,20.19,1.73,1.6,7.34,1.74,26876.02,1215.776,1225.454,1207.052,1226.043,1216.652,1019028800.0,5294355367.0
2005-01-19,29.85,2.0,1.3,26.78,1.96,1.29,26.07,1.99,1.94,19.91,1.7,1.6,7.34,1.75,26715.2,1225.075,1218.108,1214.635,1225.075,1225.454,937719500.0,4677974231.0
2005-01-20,29.36,1.97,1.28,26.41,1.94,1.27,25.34,1.95,1.91,19.5,1.68,1.55,7.35,1.77,26403.53,1213.368,1204.394,1199.167,1213.96,1218.108,1031028400.0,5383794395.0
2005-01-21,30.03,2.01,1.3,27.03,1.99,1.3,25.86,2.0,1.98,19.98,1.7,1.58,7.35,1.72,27061.93,1201.933,1234.476,1189.211,1237.909,1204.394,1697008000.0,9001891146.0
2005-01-24,30.55,2.05,1.33,27.47,2.02,1.32,26.42,2.04,2.0,20.21,1.73,1.6,7.35,1.69,27537.78,1258.024,1255.777,1239.8,1265.949,1234.476,1802020700.0,9786782740.0
2005-01-25,30.37,2.03,1.32,27.36,2.01,1.32,26.05,2.02,1.99,20.04,1.73,1.61,7.35,1.7,27518.06,1252.354,1254.234,1239.164,1254.866,1255.777,1181392400.0,6439329703.0
2005-01-26,30.11,2.01,1.31,27.11,1.99,1.31,25.65,2.01,1.94,19.9,1.7,1.6,7.35,1.71,27242.45,1252.372,1241.958,1240.131,1254.232,1254.234,964069100.0,5351521296.0
2005-01-27,29.68,1.98,1.28,26.68,1.96,1.29,25.44,1.98,1.92,19.53,1.69,1.59,7.35,1.73,26901.47,1239.579,1225.891,1223.877,1241.137,1241.958,941282900.0,4955027537.0
2005-01-28,29.24,1.94,1.26,26.38,1.94,1.27,25.08,1.94,1.89,19.42,1.66,1.55,7.36,1.75,26629.98,1223.727,1213.673,1208.857,1226.304,1225.891,817055700.0,4199937444.0
2005-01-31,28.24,1.87,1.22,25.61,1.9,1.24,24.38,1.9,1.85,18.89,1.6,1.49,7.42,1.78,26152.13,1210.755,1191.823,1190.173,1210.755,1213.673,907806200.0,4668009630.0
2005-02-01,28.03,1.85,1.2,25.46,1.89,1.24,24.08,1.89,1.81,18.88,1.61,1.47,7.43,1.79,26093.71,1189.501,1188.931,1187.26,1203.066,1191.823,934022200.0,4907930781.0
2005-02-02,29.59,1.96,1.27,26.86,1.99,1.3,25.31,2.0,1.9,19.77,1.69,1.58,7.42,1.7,27500.49,1189.502,1252.5,1189.502,1253.159,1188.931,1905406200.0,10397266956.0
