,pe_e,pb_e,ps_e,pe_w,pb_w,ps_w,pe_m,pb_m,ps_m,pe_a,pb_a,ps_a,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2006-01-24,11.83,1.52,0.72,11.07,1.61,0.72,13.05,1.71,1.27,11.02,1.41,0.92,14.53,3.74,2285.96,1254.793,1257.132,1248.133,1272.041,,421309300.0,2304194478.0
2006-01-25,11.89,1.52,0.72,11.19,1.63,0.73,13.25,1.72,1.29,11.07,1.48,0.92,14.53,3.7,2310.29,1256.799,1270.828,1254.428,1271.639,1257.132,394086900.0,2111031633.0
2006-02-06,12.34,1.58,0.75,11.65,1.7,0.76,14.07,1.77,1.33,11.45,1.53,0.95,14.55,3.56,2395.98,1275.085,1324.319,1275.085,1325.128,1270.828,462304500.0,2578183279.0
2006-02-07,12.34,1.58,0.75,11.61,1.69,0.76,13.9,1.78,1.31,11.45,1.54,0.95,14.52,3.56,2396.87,1327.605,1318.637,1302.736,1336.312,1324.319,529257500.0,3036951828.0
2006-02-08,12.32,1.58,0.75,11.59,1.68,0.76,14.03,1.79,1.35,11.49,1.54,0.96,14.53,3.57,2390.3,1316.269,1315.31,1301.259,1317.496,1318.637,332006700.0,1817257749.0
2006-02-09,12.1,1.55,0.74,11.37,1.65,0.74,13.66,1.73,1.33,11.3,1.49,0.93,14.51,3.64,2343.83,1314.073,1294.586,1291.129,1314.073,1315.31,291559500.0,1587287509.0
2006-02-10,12.27,1.58,0.75,11.54,1.67,0.75,13.84,1.75,1.37,11.46,1.54,0.95,14.51,3.59,2377.55,1294.11,1313.822,1292.477,1314.322,1294.586,329896100.0,1796630344.0
2006-02-13,12.28,1.58,0.75,11.49,1.67,0.75,13.55,1.75,1.35,12.21,1.46,0.96,14.52,3.61,2365.98,1313.492,1307.68,1294.23,1313.835,1313.822,322285300.0,1714632564.0
2006-02-14,12.52,1.58,0.75,11.86,1.69,0.77,13.87,1.77,1.35,11.6,1.55,0.96,14.25,3.57,2392.49,1307.171,1324.826,1304.1,1325.367,1307.68,266774600.0,1521890270.0
2006-02-15,12.5,1.58,0.75,11.9,1.7,0.77,14.27,1.79,1.35,11.58,1.48,1.05,14.24,3.56,2396.4,1325.99,1329.161,1325.99,1342.719,1324.826,326234100.0,1867443374.0
2006-02-16,12.16,1.54,0.74,11.62,1.66,0.75,13.98,1.73,1.33,11.3,1.52,0.94,14.24,3.65,2340.13,1326.763,1299.126,1298.278,1327.079,1329.161,383267600.0,2033881110.0
2006-02-17,12.33,1.54,0.74,11.84,1.66,0.76,14.31,1.72,1.33,11.39,1.49,1.02,14.06,3.63,2352.36,1303.285,1312.571,1300.287,1318.735,1299.126,325772000.0,1753515736.0
2006-02-20,12.33,1.54,0.74,11.88,1.67,0.76,14.22,1.72,1.33,10.57,1.48,1.11,14.06,3.63,2350.71,1312.133,1315.293,1309.689,1328.987,1312.571,444133900.0,3104511344.0
2006-02-21,12.48,1.56,0.75,12.0,1.69,0.77,14.34,1.73,1.32,10.59,1.42,1.11,14.06,3.6,2374.89,1312.288,1328.246,1299.865,1328.721,1315.293,356387300.0,2182956536.0
2006-02-22,12.56,1.56,0.76,12.06,1.69,0.77,14.32,1.73,1.33,10.61,1.46,1.11,14.05,3.57,2390.4,1329.135,1333.883,1323.984,1344.944,1328.246,376116300.0,2375477009.0
2006-02-23,12.45,1.56,0.76,11.97,1.69,0.77,14.4,1.72,1.33,10.45,1.42,1.1,14.1,3.59,2380.88,1336.767,1328.354,1314.209,1336.767,1333.883,282867600.0,1668798497.0
2006-02-24,12.58,1.58,0.76,12.12,1.71,0.78,14.46,1.73,1.35,10.57,1.43,1.02,14.1,3.54,2413.27,1329.175,1343.832,1329.175,1344.337,1328.354,295678400.0,1784539103.0
2006-02-27,12.55,1.58,0.76,12.02,1.69,0.77,14.34,1.75,1.33,10.59,1.49,1.02,14.1,3.56,2395.8,1349.406,1333.81,1330.326,1351.406,1343.832,314854400.0,1948241499.0
2006-02-28,12.64,1.58,0.77,12.11,1.7,0.77,14.27,1.75,1.35,10.61,1.5,1.02,14.03,3.56,2401.25,1331.286,1337.273,1315.201,1339.277,1333.81,233237100.0,1342291477.0
2006-03-01,12.61,1.57,0.76,12.05,1.69,0.77,14.29,1.77,1.36,10.59,1.54,1.03,14.03,3.58,2386.7,1323.631,1330.646,1321.336,1332.028,1337.273,263994700.0,1456964253.0
2006-03-02,12.43,1.55,0.75,11.87,1.67,0.76,14.05,1.75,1.35,10.5,1.52,0.93,14.04,3.63,2352.33,1332.369,1312.566,1307.075,1332.369,1330.646,389033200.0,2068778447.0
2006-03-03,12.49,1.56,0.75,11.92,1.67,0.76,14.14,1.76,1.35,10.52,1.52,0.93,14.04,3.62,2359.29,1310.565,1317.52,1302.498,1320.682,1312.566,278325100.0,1501697159.0
2006-03-06,12.3,1.54,0.74,11.78,1.65,0.75,14.11,1.73,1.34,10.36,1.49,0.91,14.05,3.66,2334.71,1317.857,1308.262,1306.41,1319.676,1317.52,267447000.0,1412541984.0
2006-03-07,11.78,1.48,0.7,11.29,1.59,0.71,13.95,1.71,1.31,10.0,1.44,0.88,14.07,3.78,2261.1,1307.208,1274.475,1271.486,1307.211,1308.262,329709600.0,1657892250.0
2006-03-08,11.59,1.46,0.68,11.08,1.56,0.69,13.46,1.68,1.31,9.86,1.42,0.89,14.06,3.86,2214.93,1271.455,1257.337,1242.145,1273.037,1274.475,291047200.0,1549311520.0
2006-03-09,11.67,1.45,0.69,11.15,1.55,0.69,13.45,1.67,1.29,9.86,1.41,0.88,13.93,3.87,2209.52,1256.358,1254.583,1250.772,1261.763,1257.337,205876300.0,974718991.0
2006-03-10,11.76,1.46,0.69,11.22,1.56,0.69,13.48,1.65,1.21,10.57,1.4,0.88,13.94,3.83,2229.4,1256.016,1263.429,1256.016,1265.132,1254.583,226948600.0,1168920776.0
2006-03-13,12.21,1.5,0.71,11.97,1.65,0.73,13.68,1.71,1.21,10.88,1.4,0.91,13.75,3.53,2420.35,1263.49,1288.939,1263.49,1290.175,1263.429,248361700.0,1194808815.0
2006-03-14,12.25,1.51,0.72,11.98,1.65,0.74,13.8,1.73,1.21,10.9,1.4,0.91,13.76,3.53,2422.04,1289.307,1290.189,1279.353,1291.949,1288.939,181853500.0,911099226.0
2006-03-15,12.43,1.53,0.73,12.16,1.67,0.75,14.02,1.73,1.25,11.06,1.42,0.92,13.76,3.47,2458.88,1290.381,1308.65,1288.01,1308.937,1290.189,236115800.0,1213875122.0
2006-03-16,12.46,1.53,0.73,12.27,1.69,0.76,13.95,1.75,1.26,11.11,1.43,1.02,13.76,3.46,2467.91,1308.262,1312.594,1304.39,1315.048,1308.65,242076100.0,1326794721.0
2006-03-17,12.29,1.51,0.72,12.09,1.67,0.75,13.73,1.73,1.25,10.91,1.56,0.92,13.77,3.53,2416.68,1312.678,1302.677,1301.472,1317.704,1312.594,237344800.0,1345438840.0
2006-03-20,12.46,1.53,0.72,12.51,1.69,0.75,13.66,1.75,1.26,11.01,1.58,0.94,13.55,3.48,2452.25,1303.635,1323.612,1295.989,1323.664,1302.677,218284800.0,1248684962.0
2006-03-21,12.52,1.54,0.73,12.57,1.7,0.76,13.75,1.77,1.27,10.33,1.44,0.94,13.53,3.48,2456.35,1324.008,1328.239,1321.191,1340.782,1323.612,323435800.0,1722829644.0
2006-03-22,12.59,1.54,0.72,12.69,1.72,0.76,14.11,1.73,1.31,10.39,1.52,1.12,13.54,3.46,2471.7,1329.607,1345.946,1324.422,1346.59,1328.239,367935400.0,2055548422.0
