,open,close,high,low,pe
2006-05-31,3.05,3.05,3.05,3.05,32.79
2006-06-01,3.04,3.04,3.04,3.04,32.89
2006-06-02,3.05,3.05,3.05,3.05,32.79
2006-06-05,3.03,3.03,3.03,3.03,33.0
2006-06-06,3.03,3.03,3.03,3.03,33.0
2006-06-07,3.03,3.03,3.03,3.03,33.0
2006-06-08,3.01,3.01,3.01,3.01,33.22
2006-06-09,3.01,3.01,3.01,3.01,33.22
2006-06-12,3.05,3.05,3.05,3.05,32.79
2006-06-13,3.01,3.01,3.01,3.01,33.22
2006-06-14,3.03,3.03,3.03,3.03,33.0
2006-06-15,3.04,3.04,3.04,3.04,32.89
2006-06-16,3.02,3.02,3.02,3.02,33.11
2006-06-19,3.02,3.02,3.02,3.02,33.11
2006-06-20,2.99,2.99,2.99,2.99,33.44
2006-06-21,2.98,2.98,2.98,2.98,33.56
2006-06-22,2.99,2.99,2.99,2.99,33.44
2006-06-23,2.98,2.98,2.98,2.98,33.56
2006-06-26,2.99,2.99,2.99,2.99,33.44
2006-06-27,3.11,3.11,3.11,3.11,32.15
2006-06-28,3.17,3.17,3.17,3.17,31.55
2006-06-29,3.16,3.16,3.16,3.16,31.65
2006-06-30,3.13,3.13,3.13,3.13,31.95
2006-07-03,3.12,3.12,3.12,3.12,32.05
2006-07-04,3.13,3.13,3.13,3.13,31.95
2006-07-05,3.15,3.15,3.15,3.15,31.75
2006-07-06,3.2,3.2,3.2,3.2,31.25
2006-07-07,3.19,3.19,3.19,3.19,31.35
2006-07-10,3.19,3.19,3.19,3.19,31.35
2006-07-11,3.21,3.21,3.21,3.21,31.15
2006-07-12,3.2,3.2,3.2,3.2,31.25
2006-07-13,3.26,3.26,3.26,3.26,30.67
2006-07-14,3.24,3.24,3.24,3.24,30.86
2006-07-17,3.21,3.21,3.21,3.21,31.15
2006-07-18,3.2,3.2,3.2,3.2,31.25
2006-07-19,3.3,3.3,3.3,3.3,30.3
2006-07-20,3.33,3.33,3.33,3.33,30.03
2006-07-21,3.35,3.35,3.35,3.35,29.85
2006-07-24,3.36,3.36,3.36,3.36,29.76
2006-07-25,3.36,3.36,3.36,3.36,29.76
2006-07-26,3.35,3.35,3.35,3.35,29.85
2006-07-27,3.36,3.36,3.36,3.36,29.76
2006-07-28,3.37,3.37,3.37,3.37,29.67
2006-07-31,3.39,3.39,3.39,3.39,29.5
2006-08-01,3.31,3.31,3.31,3.31,30.21
2006-08-02,3.31,3.31,3.31,3.31,30.21
2006-08-03,3.3,3.3,3.3,3.3,30.3
2006-08-04,3.46,3.46,3.46,3.46,28.9
2006-08-07,3.48,3.48,3.48,3.48,28.74
2006-08-08,3.47,3.47,3.47,3.47,28.82
2006-08-09,3.46,3.46,3.46,3.46,28.9
2006-08-10,3.46,3.46,3.46,3.46,28.9
2006-08-11,3.46,3.46,3.46,3.46,28.9
2006-08-14,3.46,3.46,3.46,3.46,28.9
2006-08-15,3.51,3.51,3.51,3.51,28.49
2006-08-16,3.51,3.51,3.51,3.51,28.49
2006-08-17,3.51,3.51,3.51,3.51,28.49
2006-08-18,3.5,3.5,3.5,3.5,28.57
2006-08-21,3.52,3.52,3.52,3.52,28.41
2006-08-22,3.49,3.49,3.49,3.49,28.65
2006-08-23,3.33,3.33,3.33,3.33,30.03
2006-08-24,3.35,3.35,3.35,3.35,29.85
2006-08-25,3.34,3.34,3.34,3.34,29.94
2006-08-28,3.28,3.28,3.28,3.28,30.49
2006-08-29,3.34,3.34,3.34,3.34,29.94
2006-08-30,3.34,3.34,3.34,3.34,29.94
2006-08-31,3.32,3.32,3.32,3.32,30.12
2006-09-01,3.32,3.32,3.32,3.32,30.12
2006-09-04,3.31,3.31,3.31,3.31,30.21
2006-09-05,3.32,3.32,3.32,3.32,30.12
2006-09-06,3.32,3.32,3.32,3.32,30.12
2006-09-07,3.32,3.32,3.32,3.32,30.12
2006-09-08,3.32,3.32,3.32,3.32,30.12
2006-09-11,3.32,3.32,3.32,3.32,30.12
2006-09-12,3.3,3.3,3.3,3.3,30.3
2006-09-13,3.3,3.3,3.3,3.3,30.3
2006-09-14,3.32,3.32,3.32,3.32,30.12
2006-09-15,3.31,3.31,3.31,3.31,30.21
2006-09-18,3.31,3.31,3.31,3.31,30.21
2006-09-19,3.31,3.31,3.31,3.31,30.21
2006-09-20,3.31,3.31,3.31,3.31,30.21
2006-09-21,3.33,3.33,3.33,3.33,30.03
2006-09-22,3.27,3.27,3.27,3.27,30.58
2006-09-25,3.3,3.3,3.3,3.3,30.3
2006-09-26,3.27,3.27,3.27,3.27,30.58
2006-09-27,3.18,3.18,3.18,3.18,31.45
2006-09-28,3.18,3.18,3.18,3.18,31.45
2006-09-29,3.3,3.3,3.3,3.3,30.3
2006-10-09,3.3,3.3,3.3,3.3,30.3
2006-10-10,3.0,3.0,3.0,3.0,33.33
2006-10-11,3.0,3.0,3.0,3.0,33.33
2006-10-12,2.99,2.99,2.99,2.99,33.44
2006-10-13,2.98,2.98,2.98,2.98,33.56
2006-10-16,2.98,2.98,2.98,2.98,33.56
2006-10-17,2.98,2.98,2.98,2.98,33.56
2006-10-18,2.98,2.98,2.98,2.98,33.56
2006-10-19,2.98,2.98,2.98,2.98,33.56
2006-10-20,2.97,2.97,2.97,2.97,33.67
2006-10-23,2.97,2.97,2.97,2.97,33.67
2006-10-24,2.97,2.97,2.97,2.97,33.67
2006-10-25,2.97,2.97,2.97,2.97,33.67
2006-10-26,2.97,2.97,2.97,2.97,33.67
2006-10-27,2.97,2.97,2.97,2.97,33.67
2006-10-30,2.97,2.97,2.97,2.97,33.67
2006-10-31,2.97,2.97,2.97,2.97,33.67
2006-11-01,2.97,2.97,2.97,2.97,33.67
2006-11-02,2.97,2.97,2.97,2.97,33.67
2006-11-03,2.97,2.97,2.97,2.97,33.67
2006-11-06,2.99,2.99,2.99,2.99,33.44
2006-11-07,2.99,2.99,2.99,2.99,33.44
2006-11-08,2.99,2.99,2.99,2.99,33.44
2006-11-09,2.99,2.99,2.99,2.99,33.44
2006-11-10,3.0,3.0,3.0,3.0,33.33
2006-11-13,3.0,3.0,3.0,3.0,33.33
2006-11-14,3.0,3.0,3.0,3.0,33.33
2006-11-15,3.0,3.0,3.0,3.0,33.33
2006-11-16,2.99,2.99,2.99,2.99,33.44
2006-11-17,2.99,2.99,2.99,2.99,33.44
2006-11-20,2.98,2.98,3.01,2.95,33.56
2006-11-21,3.0,2.97,3.0,2.96,33.67
2006-11-22,3.01,3.1,3.1,2.96,32.26
2006-11-23,2.98,3.07,3.12,2.98,32.57
2006-11-24,3.06,3.07,3.12,2.98,32.57
2006-11-27,2.98,3.0,3.12,2.98,33.33
2006-11-28,2.98,3.1,3.1,2.98,32.26
2006-11-29,2.98,3.02,3.1,2.98,33.11
2006-11-30,2.98,3.01,3.02,2.93,33.22
2006-12-01,2.98,3.02,3.07,2.98,33.11
2006-12-04,2.99,3.02,3.05,2.99,33.11
2006-12-05,2.99,3.0,3.05,2.99,33.33
2006-12-06,3.05,3.0,3.05,2.99,33.33
2006-12-07,3.01,3.0,3.05,2.99,33.33
2006-12-08,3.04,3.0,3.09,2.96,33.33
2006-12-11,3.09,2.99,3.09,2.99,33.44
2006-12-12,3.06,3.0,3.06,2.99,33.33
2006-12-13,3.06,2.99,3.06,2.99,33.44
2006-12-14,3.04,3.05,3.06,3.02,32.79
2006-12-15,3.06,2.99,3.09,2.99,33.44
2006-12-18,3.04,3.05,3.09,2.96,32.79
2006-12-19,3.03,3.03,3.09,2.96,33.0
2006-12-20,3.04,3.04,3.09,2.96,32.89
2006-12-21,3.01,3.03,3.09,2.96,33.0
2006-12-22,2.96,3.05,3.09,2.96,32.79
2006-12-25,3.05,3.0,3.09,2.96,33.33
2006-12-26,3.02,3.05,3.09,3.0,32.79
2006-12-27,3.05,3.09,3.09,3.0,32.36
2006-12-28,3.0,3.04,3.1,3.0,32.89
2006-12-29,3.0,3.05,3.1,3.0,32.79
2007-01-04,3.02,3.03,3.1,3.0,33.0
2007-01-05,3.04,3.02,3.1,3.0,33.11
2007-01-08,3.0,3.03,3.1,3.0,33.0
2007-01-09,3.06,3.04,3.09,3.0,32.89
2007-01-10,3.05,3.03,3.09,2.92,33.0
2007-01-11,3.01,3.0,3.09,2.98,33.33
2007-01-12,3.01,3.0,3.09,2.98,33.33
2007-01-15,3.02,3.03,3.09,2.92,33.0
2007-01-16,3.03,3.03,3.09,2.99,33.0
2007-01-17,3.01,3.03,3.09,2.98,33.0
2007-01-18,3.01,3.0,3.09,2.98,33.33
2007-01-19,3.04,3.05,3.09,3.0,32.79
2007-01-22,3.04,3.03,3.09,2.99,33.0
2007-01-23,2.92,3.02,3.09,2.92,33.11
2007-01-24,3.01,3.04,3.09,2.99,32.89
2007-01-25,3.05,3.01,3.09,3.0,33.22
2007-01-26,3.05,3.04,3.09,3.01,32.89
2007-01-29,3.04,3.02,3.09,3.0,33.11
2007-01-30,3.02,3.08,3.1,2.98,32.47
2007-01-31,3.12,3.01,3.12,2.98,33.22
2007-02-01,3.11,3.1,3.11,2.98,32.26
2007-02-02,3.01,3.06,3.1,2.98,32.68
2007-02-05,3.07,3.1,3.11,2.98,32.26
2007-02-06,3.1,3.08,3.12,2.98,32.47
2007-02-07,3.12,3.13,3.13,2.99,31.95
2007-02-08,3.09,3.13,3.13,3.01,31.95
2007-02-09,3.12,3.08,3.16,3.01,32.47
2007-02-12,3.16,3.08,3.16,3.01,32.47
2007-02-13,3.15,3.15,3.16,3.08,31.75
2007-02-14,3.16,3.16,3.16,3.05,31.65
2007-02-15,3.17,3.16,3.17,2.99,31.65
2007-02-16,3.17,3.11,3.17,3.07,32.15
2007-02-26,3.16,3.13,3.16,3.09,31.95
2007-02-27,3.09,3.13,3.16,3.04,31.95
2007-02-28,3.14,3.1,3.16,3.09,32.26
2007-03-01,3.16,3.16,3.16,3.1,31.65
2007-03-02,3.17,3.18,3.19,3.09,31.45
2007-03-05,3.17,3.16,3.19,3.09,31.65
2007-03-06,3.15,3.2,3.23,3.12,31.25
2007-03-07,3.19,3.2,3.23,3.15,31.25
2007-03-08,3.19,3.25,3.25,3.15,30.77
2007-03-09,3.19,3.21,3.25,3.15,31.15
2007-03-12,3.23,3.22,3.26,3.17,31.06
2007-03-13,3.23,3.26,3.26,3.17,30.67
2007-03-14,3.23,3.19,3.26,3.17,31.35
2007-03-15,3.23,3.26,3.3,3.17,30.67
2007-03-16,3.3,3.32,3.32,3.17,30.12
2007-03-19,3.35,3.28,3.4,3.21,30.49
2007-03-20,3.35,3.4,3.5,3.29,29.41
2007-03-21,3.34,3.41,3.5,3.29,29.33
2007-03-22,3.39,3.4,3.46,3.21,29.41
2007-03-23,3.44,3.38,3.45,3.38,29.59
2007-03-26,3.44,3.41,3.45,3.21,29.33
2007-03-27,3.44,3.45,3.45,3.38,28.99
2007-03-28,3.44,3.45,3.45,3.38,28.99
2007-03-29,3.44,3.4,3.45,3.35,29.41
2007-03-30,3.44,3.43,3.46,3.38,29.15
2007-04-02,3.44,3.45,3.46,3.38,28.99
2007-04-03,3.44,3.43,3.45,3.38,29.15
2007-04-04,3.44,3.38,3.45,3.38,29.59
2007-04-05,3.44,3.45,3.47,3.29,28.99
2007-04-06,3.45,3.45,3.47,3.38,28.99
2007-04-09,3.49,3.5,3.5,3.38,28.57
2007-04-10,3.49,3.44,3.5,3.38,29.07
2007-04-11,3.49,3.5,3.5,3.38,28.57
2007-04-12,3.48,3.44,3.5,3.38,29.07
2007-04-13,3.49,3.5,3.57,3.38,28.57
2007-04-16,3.58,3.58,3.58,3.58,27.93
2007-04-17,3.59,3.59,3.59,3.59,27.86
2007-04-18,3.6,3.4,3.6,3.4,29.41
2007-04-19,3.58,3.96,4.05,3.38,25.25
2007-04-20,3.56,3.85,4.05,3.38,25.97
2007-04-23,3.56,3.6,4.05,3.38,27.78
2007-04-24,3.56,3.6,3.89,3.38,27.78
2007-04-25,3.7,3.6,3.89,3.38,27.78
2007-04-26,3.68,3.62,3.89,3.38,27.62
