,open,close,high,low
2010-01-04,2.98,2.98,2.98,2.98
2010-01-05,2.95,2.95,2.95,2.95
2010-01-06,2.95,2.95,2.95,2.95
2010-01-07,2.98,2.98,2.98,2.98
2010-01-08,2.95,2.95,2.95,2.95
2010-01-11,3.06,3.06,3.06,3.06
2010-01-12,2.95,2.95,2.95,2.95
2010-01-13,3.09,3.09,3.09,3.09
2010-01-14,3.06,3.06,3.06,3.06
2010-01-15,3.08,3.08,3.08,3.08
2010-01-18,3.08,3.08,3.08,3.08
2010-01-19,3.06,3.06,3.06,3.06
2010-01-20,2.95,2.95,2.95,2.95
2010-01-21,3.06,3.06,3.06,3.06
2010-01-22,2.95,2.95,2.95,2.95
2010-01-25,2.95,2.95,2.95,2.95
2010-01-26,3.08,3.08,3.08,3.08
2010-01-27,2.95,2.95,2.95,2.95
2010-01-28,2.98,2.98,2.98,2.98
2010-01-29,2.95,2.95,2.95,2.95
2010-02-01,3.01,3.01,3.01,3.01
2010-02-02,2.95,2.95,2.95,2.95
2010-02-03,3.05,3.05,3.05,3.05
2010-02-04,3.01,3.01,3.01,3.01
2010-02-05,3.0,3.0,3.0,3.0
2010-02-08,2.92,2.92,2.92,2.92
2010-02-09,2.96,2.96,2.96,2.96
2010-02-10,2.92,2.92,2.92,2.92
2010-02-11,2.96,2.96,2.96,2.96
2010-02-12,3.0,3.0,3.0,3.0
2010-02-20,2.93,2.93,2.93,2.93
2010-02-21,3.01,3.01,3.01,3.01
2010-02-22,2.95,2.95,2.95,2.95
2010-02-23,2.96,2.96,2.96,2.96
2010-02-24,2.94,2.94,2.94,2.94
2010-02-25,2.94,2.94,2.94,2.94
2010-02-26,2.96,2.96,2.96,2.96
2010-03-01,2.8,2.8,2.8,2.8
2010-03-02,2.96,2.96,2.96,2.96
2010-03-03,2.94,2.94,2.94,2.94
2010-03-04,2.72,2.72,2.72,2.72
2010-03-05,2.7,2.7,2.7,2.7
2010-03-08,2.75,2.75,2.75,2.75
2010-03-09,2.66,2.66,2.66,2.66
2010-03-10,2.65,2.65,2.65,2.65
2010-03-11,2.65,2.65,2.65,2.65
2010-03-12,2.76,2.76,2.76,2.76
2010-03-15,2.68,2.68,2.68,2.68
2010-03-16,2.65,2.65,2.65,2.65
2010-03-17,2.63,2.63,2.63,2.63
2010-03-18,2.63,2.63,2.63,2.63
2010-03-19,2.73,2.73,2.73,2.73
2010-03-22,2.63,2.63,2.63,2.63
2010-03-23,2.65,2.65,2.65,2.65
2010-03-24,2.66,2.66,2.66,2.66
2010-03-25,2.63,2.63,2.63,2.63
2010-03-26,2.77,2.77,2.77,2.77
2010-03-29,2.66,2.66,2.66,2.66
2010-03-30,2.66,2.66,2.66,2.66
2010-03-31,2.72,2.72,2.72,2.72
2010-04-01,2.82,2.82,2.82,2.82
2010-04-02,2.72,2.72,2.72,2.72
2010-04-06,2.72,2.72,2.72,2.72
2010-04-07,2.76,2.76,2.76,2.76
2010-04-08,2.7,2.7,2.7,2.7
2010-04-09,2.72,2.72,2.72,2.72
2010-04-12,2.8,2.8,2.8,2.8
2010-04-13,2.66,2.66,2.66,2.66
