,m2,m2_yoy,m2_ring,m1,m1_yoy,m1_ring,m0,m0_yoy,m0_ring
2008-07-01,446362.17,16.35,0.73,154992.44,13.96,0.11,30687.19,12.3,1.68
2008-08-01,448846.68,16.0,0.56,156889.92,11.48,1.22,30851.62,10.89,0.54
2008-09-01,452898.71,15.29,0.9,155748.97,9.43,-0.73,31724.88,9.28,2.83
2008-10-01,453133.32,15.02,0.05,157194.36,8.85,0.93,31317.84,10.59,-1.28
2008-11-01,458644.66,14.8,1.22,157826.63,6.8,0.4,31607.36,9.04,0.92
2008-12-01,475166.6,17.82,3.6,166217.13,9.06,5.32,34218.96,12.65,8.26
2009-01-01,496135.31,18.79,4.41,165214.34,6.68,-0.6,41082.37,12.02,20.06
2009-02-01,506708.07,20.48,2.13,166149.6,10.87,0.57,35141.64,8.28,-14.46
2009-03-01,530626.71,25.51,4.72,176541.13,17.04,6.25,33746.42,10.88,-3.97
2009-04-01,540481.21,25.95,1.86,178213.57,17.48,0.95,34257.27,11.26,1.51
2009-05-01,548263.51,25.74,1.44,182025.58,18.69,2.14,33559.52,11.24,-2.04
2009-06-01,568916.2,28.46,3.77,193138.15,24.79,6.1,33640.98,11.46,0.24
2009-07-01,573102.85,28.42,0.74,195889.27,26.37,1.42,34239.3,11.59,1.78
2009-08-01,576698.95,28.53,0.63,200394.83,27.72,2.3,34406.62,11.52,0.49
2009-09-01,585405.34,29.31,1.51,201708.14,29.51,0.66,36787.89,15.96,6.92
2009-10-01,586643.29,29.42,0.21,207545.74,32.03,2.89,35730.23,14.09,-2.88
2009-11-01,594604.72,29.74,1.36,212493.2,34.63,2.38,36343.86,14.99,1.72
2009-12-01,610224.52,27.68,2.63,221445.81,32.35,4.21,38246.97,11.77,5.24
2010-01-01,625609.29,25.98,2.52,229588.98,38.96,3.68,40758.58,-0.79,6.57
2010-02-01,636072.26,25.52,1.67,224286.95,34.99,-2.31,42865.79,21.98,5.17
2010-03-01,649947.46,22.5,2.18,229397.93,29.94,2.28,39080.58,15.81,-8.83
2010-04-01,656561.49,21.48,1.02,233909.76,31.25,1.97,39657.54,15.76,1.48
2010-05-01,663352.44,21.0,1.03,236497.88,29.9,1.11,38652.97,15.2,-2.53
2010-06-01,673921.58,18.5,1.59,240580.0,24.6,1.73,38904.85,15.7,0.65
2010-07-01,674051.48,17.6,0.02,240664.07,22.9,0.03,39543.16,15.5,1.64
2010-08-01,687506.92,19.2,2.0,244340.64,21.9,1.53,39922.76,16.0,0.96
2010-09-01,696471.5,19.0,1.3,243821.9,20.9,-0.21,41854.41,13.8,4.84
2010-10-01,699776.74,19.3,0.47,253313.17,22.1,3.89,41646.21,16.6,-0.5
2010-11-01,710339.03,19.5,1.51,259420.32,22.1,2.41,42252.16,16.3,1.46
2010-12-01,725851.79,19.7,2.18,266621.54,21.2,2.78,44628.17,16.7,5.62
2011-01-01,733884.83,17.2,1.11,261765.01,13.6,-1.82,58100.0,42.5,30.19
2011-02-01,736130.86,15.7,0.31,259200.5,14.5,-0.98,47270.24,10.3,-18.64
2011-03-01,758130.88,16.6,2.99,266255.48,15.0,2.72,44845.22,14.8,-5.13
2011-04-01,757384.56,15.3,-0.1,266766.91,12.9,0.19,45489.03,14.7,1.44
2011-05-01,763409.22,15.1,0.8,269289.63,12.7,0.95,44602.83,15.4,-1.95
2011-06-01,780820.85,15.9,2.28,274662.57,13.1,2.0,44477.8,14.4,-0.28
2011-07-01,772923.65,14.7,-1.01,270545.65,11.6,-1.5,45183.1,14.3,1.59
2011-08-01,780852.3,13.5,1.03,273393.77,11.2,1.05,45775.29,14.7,1.31
2011-09-01,787406.2,13.04,0.84,267193.16,8.85,-2.27,47145.29,12.68,2.99
2011-10-01,816829.25,12.9,3.74,276552.67,8.4,3.5,46579.39,11.9,-1.2
2011-11-01,825493.94,12.7,1.06,281416.37,7.8,1.76,47317.26,12.0,1.58
2011-12-01,851590.9,13.6,3.16,289847.7,7.9,3.0,50748.46,13.8,7.25
2012-01-01,855898.89,12.4,0.51,270010.4,3.1,-6.84,59820.72,3.0,17.88
2012-02-01,867171.42,13.0,1.32,270312.11,4.3,0.11,51448.78,8.8,-14.0
2012-03-01,895565.5,13.4,3.27,277998.11,4.4,2.84,49595.74,10.6,-3.6
2012-04-01,889604.04,12.8,-0.67,274983.82,3.1,-1.08,50199.32,10.4,1.22
2012-05-01,900048.77,13.2,1.17,278656.31,3.5,1.34,49039.72,10.0,-2.31
2012-06-01,924991.2,13.6,2.77,287526.17,4.7,3.18,49284.64,10.8,0.5
2012-07-01,919072.4,13.9,-0.64,283090.68,4.6,-1.54,49705.85,10.0,0.85
2012-08-01,924894.59,13.5,0.63,285739.27,4.5,0.94,50235.06,9.7,1.06
2012-09-01,943688.75,14.8,2.03,286788.21,7.3,0.37,53433.49,13.3,6.37
2012-10-01,936404.28,14.1,-0.77,293309.78,6.1,2.27,51467.71,10.5,-3.68
2012-11-01,944832.4,13.9,0.9,296883.0,5.5,1.22,52392.12,10.7,1.8
2012-12-01,974148.8,13.8,3.1,308664.23,6.5,3.97,54659.77,7.7,4.33
