,open,close,high,low
1996-01-03,5.36,5.36,5.36,5.36
1996-01-04,5.41,5.41,5.41,5.41
1996-01-05,5.41,5.41,5.41,5.41
1996-01-08,5.42,5.42,5.42,5.42
1996-01-09,5.46,5.46,5.46,5.46
1996-01-10,5.53,5.53,5.53,5.53
1996-01-11,5.46,5.46,5.46,5.46
1996-01-12,5.43,5.43,5.43,5.43
1996-01-16,5.32,5.32,5.32,5.32
1996-01-17,5.3,5.3,5.3,5.3
1996-01-18,5.24,5.24,5.24,5.24
1996-01-19,5.27,5.27,5.27,5.27
1996-01-22,5.35,5.35,5.35,5.35
1996-01-23,5.38,5.38,5.38,5.38
1996-01-24,5.33,5.33,5.33,5.33
1996-01-25,5.41,5.41,5.41,5.41
1996-01-26,5.34,5.34,5.34,5.34
1996-01-29,5.38,5.38,5.38,5.38
1996-01-30,5.3,5.3,5.3,5.3
1996-01-31,5.24,5.24,5.24,5.24
1996-02-01,5.22,5.22,5.22,5.22
1996-02-02,5.26,5.26,5.26,5.26
1996-02-05,5.3,5.3,5.3,5.3
1996-02-06,5.27,5.27,5.27,5.27
1996-02-07,5.27,5.27,5.27,5.27
1996-02-08,5.25,5.25,5.25,5.25
1996-02-09,5.24,5.24,5.24,5.24
1996-02-12,5.16,5.16,5.16,5.16
1996-02-13,5.13,5.13,5.13,5.13
1996-02-14,5.16,5.16,5.16,5.16
1996-02-15,5.24,5.24,5.24,5.24
1996-02-16,5.3,5.3,5.3,5.3
1996-02-20,5.55,5.55,5.55,5.55
1996-02-21,5.53,5.53,5.53,5.53
1996-02-22,5.45,5.45,5.45,5.45
1996-02-23,5.52,5.52,5.52,5.52
1996-02-26,5.57,5.57,5.57,5.57
1996-02-27,5.64,5.64,5.64,5.64
1996-02-28,5.68,5.68,5.68,5.68
1996-02-29,5.74,5.74,5.74,5.74
1996-03-01,5.59,5.59,5.59,5.59
1996-03-04,5.52,5.52,5.52,5.52
1996-03-05,5.59,5.59,5.59,5.59
1996-03-06,5.68,5.68,5.68,5.68
1996-03-07,5.72,5.72,5.72,5.72
1996-03-08,6.07,6.07,6.07,6.07
1996-03-11,6.01,6.01,6.01,6.01
1996-03-12,6.04,6.04,6.04,6.04
1996-03-13,6.05,6.05,6.05,6.05
1996-03-14,6.05,6.05,6.05,6.05
1996-03-15,6.18,6.18,6.18,6.18
1996-03-18,6.16,6.16,6.16,6.16
1996-03-19,6.16,6.16,6.16,6.16
1996-03-20,6.02,6.02,6.02,6.02
1996-03-21,6.02,6.02,6.02,6.02
1996-03-22,6.06,6.06,6.06,6.06
1996-03-25,5.98,5.98,5.98,5.98
1996-03-26,5.99,5.99,5.99,5.99
1996-03-27,6.13,6.13,6.13,6.13
1996-03-28,6.19,6.19,6.19,6.19
1996-03-29,6.09,6.09,6.09,6.09
1996-04-01,6.05,6.05,6.05,6.05
1996-04-02,6.0,6.0,6.0,6.0
1996-04-03,6.04,6.04,6.04,6.04
1996-04-04,6.13,6.13,6.13,6.13
1996-04-08,6.41,6.41,6.41,6.41
1996-04-09,6.36,6.36,6.36,6.36
1996-04-10,6.49,6.49,6.49,6.49
1996-04-11,6.49,6.49,6.49,6.49
1996-04-12,6.29,6.29,6.29,6.29
1996-04-15,6.26,6.26,6.26,6.26
1996-04-16,6.28,6.28,6.28,6.28
1996-04-17,6.34,6.34,6.34,6.34
1996-04-18,6.38,6.38,6.38,6.38
1996-04-19,6.31,6.31,6.31,6.31
1996-04-22,6.28,6.28,6.28,6.28
1996-04-23,6.31,6.31,6.31,6.31
1996-04-24,6.37,6.37,6.37,6.37
1996-04-25,6.3,6.3,6.3,6.3
1996-04-26,6.29,6.29,6.29,6.29
1996-04-29,6.35,6.35,6.35,6.35
1996-04-30,6.42,6.42,6.42,6.42
1996-05-01,6.38,6.38,6.38,6.38
1996-05-02,6.58,6.58,6.58,6.58
1996-05-03,6.61,6.61,6.61,6.61
1996-05-06,6.56,6.56,6.56,6.56
1996-05-07,6.59,6.59,6.59,6.59
1996-05-08,6.51,6.51,6.51,6.51
1996-05-09,6.59,6.59,6.59,6.59
1996-05-10,6.47,6.47,6.47,6.47
1996-05-13,6.45,6.45,6.45,6.45
