,open,close,high,low
2007-01-31,84.82,84.43,85.11,84.4
2007-02-01,84.48,84.46,84.55,84.25
2007-02-02,84.55,84.79,84.89,84.28
2007-02-05,84.85,84.92,85.05,84.78
2007-02-06,84.92,84.64,84.99,84.55
2007-02-07,84.6,84.61,84.69,84.5
2007-02-08,84.49,84.54,84.9,84.49
2007-02-09,84.55,84.75,84.91,84.55
2007-02-12,84.72,85.0,85.09,84.61
2007-02-13,85.02,84.59,85.02,84.56
2007-02-14,84.59,84.06,84.62,83.93
2007-02-15,83.96,83.91,84.11,83.82
2007-02-16,83.98,83.99,84.2,83.94
2007-02-20,83.94,84.08,84.16,83.81
2007-02-21,84.06,84.11,84.32,84.01
2007-02-22,84.15,84.22,84.44,84.13
2007-02-23,84.28,83.99,84.32,83.85
2007-02-26,83.86,83.84,84.03,83.81
2007-02-27,83.79,83.38,83.9,83.32
2007-02-28,83.42,83.5,83.75,83.42
2007-03-01,83.53,83.59,83.8,83.41
2007-03-02,83.75,83.64,83.92,83.6
2007-03-05,83.66,84.11,84.22,83.66
2007-03-06,84.16,84.01,84.2,83.96
2007-03-07,83.96,83.73,84.04,83.69
2007-03-08,83.72,84.06,84.21,83.69
2007-03-09,84.06,84.21,84.36,83.96
2007-03-12,84.22,83.85,84.23,83.79
2007-03-13,83.83,83.72,83.93,83.59
2007-03-14,83.69,83.58,83.85,83.47
2007-03-15,83.68,83.66,83.75,83.53
2007-03-16,83.57,83.23,83.62,83.04
2007-03-19,83.13,83.3,83.4,83.3
2007-03-20,83.05,82.81,83.16,82.74
2007-03-21,82.77,82.49,83.0,82.45
2007-03-22,82.46,82.81,82.93,82.4
2007-03-23,82.86,83.0,83.03,82.68
2007-03-26,83.15,82.8,83.2,82.67
2007-03-27,82.83,82.72,82.88,82.65
2007-03-28,82.6,82.76,82.78,82.48
2007-03-29,82.8,82.81,82.9,82.71
2007-03-30,82.8,82.66,83.08,82.38
2007-04-02,82.64,82.62,82.75,82.5
2007-04-03,82.58,82.91,82.97,82.57
2007-04-04,82.92,82.71,82.94,82.63
2007-04-05,82.73,82.45,82.78,82.37
2007-04-06,82.52,82.76,82.81,82.5
2007-04-09,82.78,82.89,82.97,82.78
2007-04-10,82.85,82.48,82.85,82.32
2007-04-11,82.46,82.44,82.55,82.35
2007-04-12,82.43,82.16,82.43,82.04
2007-04-13,82.07,81.92,82.22,81.76
2007-04-16,81.79,81.87,81.92,81.78
2007-04-17,82.0,81.63,82.0,81.54
2007-04-18,81.6,81.52,81.64,81.37
2007-04-19,81.4,81.47,81.57,81.31
2007-04-20,81.36,81.45,81.56,81.35
2007-04-23,81.41,81.55,81.75,81.41
2007-04-24,81.51,81.36,81.62,81.26
2007-04-25,81.33,81.25,81.38,81.1
2007-04-26,81.26,81.57,81.65,81.2
2007-04-27,81.64,81.35,81.68,81.1
2007-04-30,81.36,81.3,81.65,81.13
2007-05-01,81.25,81.43,81.58,81.1
2007-05-02,81.57,81.59,81.8,81.5
