,open,close,high,low
2011-08-15,34.73,31.87,34.83,31.47
2011-08-16,33.36,32.85,34.49,31.68
2011-08-17,32.09,31.58,33.32,30.81
2011-08-18,36.77,42.67,45.28,36.69
2011-08-19,45.34,43.05,45.4,39.99
2011-08-22,38.8,42.44,43.58,38.78
2011-08-23,41.89,36.27,42.33,35.83
2011-08-24,37.12,35.9,37.38,34.55
2011-08-25,34.43,39.76,40.14,34.05
2011-08-26,41.18,35.59,43.84,34.33
2011-08-29,33.81,32.28,33.81,32.21
2011-08-30,32.97,32.89,33.55,31.55
2011-08-31,31.2,31.62,32.53,30.16
2011-09-01,31.91,31.82,32.38,30.76
2011-09-02,34.29,33.92,34.74,32.7
2011-09-06,39.84,37.0,39.86,37.0
2011-09-07,34.24,33.38,34.7,33.38
2011-09-08,34.41,34.32,34.71,32.79
2011-09-09,35.53,38.52,40.74,35.53
2011-09-12,42.56,38.59,43.18,38.58
2011-09-13,38.68,36.91,39.43,36.69
2011-09-14,36.59,34.6,37.76,33.4
2011-09-15,33.43,31.97,33.98,31.75
2011-09-16,31.81,30.98,32.48,30.43
2011-09-19,34.8,32.73,35.33,32.35
2011-09-20,32.42,32.86,33.14,31.45
2011-09-21,33.0,37.32,37.32,32.45
2011-09-22,41.0,41.35,43.87,39.33
2011-09-23,42.17,41.25,42.82,40.42
2011-09-26,40.99,39.02,43.34,39.02
2011-09-27,36.59,37.71,38.57,35.32
2011-09-28,37.7,41.08,41.24,36.65
2011-09-29,38.62,38.84,42.0,38.03
2011-09-30,40.93,42.96,42.99,39.88
2011-10-03,44.25,45.45,45.55,41.51
2011-10-04,46.18,40.82,46.88,40.02
2011-10-05,40.73,37.81,41.2,37.51
2011-10-06,38.24,36.27,38.74,36.15
2011-10-07,35.67,36.2,37.82,35.19
2011-10-10,35.45,33.02,35.45,32.96
2011-10-11,33.95,32.86,34.24,32.62
2011-10-12,31.57,31.26,31.93,29.79
2011-10-13,31.99,30.7,32.76,30.48
2011-10-14,29.07,28.24,29.96,28.08
2011-10-17,30.35,33.39,33.39,30.12
2011-10-18,33.37,31.56,34.71,29.69
2011-10-19,32.92,34.44,35.47,31.91
2011-10-20,34.44,34.78,36.87,34.16
2011-10-21,32.76,31.32,32.98,31.32
2011-10-24,31.67,29.26,31.7,28.84
2011-10-25,30.68,32.22,32.46,30.32
2011-10-26,30.44,29.86,33.3,29.63
2011-10-27,24.72,25.46,26.46,24.7
2011-10-28,26.02,24.53,26.02,24.44
2011-10-31,27.09,29.96,29.97,27.01
2011-11-01,36.03,34.77,37.53,33.87
2011-11-02,33.53,32.74,34.27,32.55
2011-11-03,31.38,30.5,34.65,30.21
2011-11-04,31.46,30.16,32.56,30.14
2011-11-07,31.4,29.85,32.15,29.85
2011-11-08,29.34,27.48,30.49,27.47
2011-11-09,31.32,36.16,36.43,30.98
2011-11-10,33.09,32.81,35.5,32.12
2011-11-11,29.91,30.04,30.42,29.45
