,title,publishdate,permalink,content,sended
0,再说资产配置,2014-3-23 21:43:47,blog/static/6027806620142239384860,"刚才看到有博友问红利etf是否值得投资。那我就总体说说怎么根据资产配置原则选择etf。<div><br></div><div>从大的方面来讲，资产配置的重点，就是把资产合理配置到相关系数很低的各项资产中。相关系数低，也就是说某项资产暴涨暴跌，并不会引起另一项资产发生相同方向的波动。购买这样的组合，好处是可以平滑收益，再配合定期资产再平衡，战胜市场也就并非难事了。</div><div><br></div><div>接下来是干货：</div><div><br></div><div>以现在A股交易所可以买到的，典型的etf相关系数（06年至今）是：</div><div><br></div><div><table border=""0""   cellpadding=""0""   cellspacing=""0""   width=""172""   style=""border-collapse:
 collapse;width:129pt;""   >
 <colgroup><col width=""100""   style=""mso-width-source:userset;mso-width-alt:3200;width:75pt;""   >
 <col width=""72""   style=""width:54pt;""   >
 <tbody><tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   width=""100""   style=""height:14.25pt;width:75pt;""   >2006-2014</td>
  <td width=""72""   style=""width:54pt;""   ></td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >黄金与创业相关</td>
  <td>-0.923223</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >50与创业相关</td>
  <td>-0.09930499</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >黄金与标普相关</td>
  <td>0.021293227</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >300与创业相关</td>
  <td>0.309502235</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >50与标普相关</td>
  <td>0.403761417</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >300与标普相关</td>
  <td>0.416377167</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >180与标普相关</td>
  <td>0.431461185</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >50与黄金相关</td>
  <td>0.514428537</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >300与黄金相关</td>
  <td>0.523038934</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >恒生与标普相关</td>
  <td>0.727735612</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >50与恒生相关</td>
  <td>0.828395187</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >50与医药相关</td>
  <td>0.839089138</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >50与中小相关</td>
  <td>0.859452556</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >300与恒生相关</td>
  <td>0.864714156</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >标普与创业相关</td>
  <td>0.86700913</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >500与创业相关</td>
  <td>0.871660903</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >50与500相关</td>
  <td>0.89386278</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >中小与创业相关</td>
  <td>0.908135136</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >50与商品相关</td>
  <td>0.931477588</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >300与医药相关</td>
  <td>0.942923608</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >50与100相关</td>
  <td>0.946825397</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >300与中小相关</td>
  <td>0.955564776</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >50与300相关</td>
  <td>0.967530188</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >300与消费相关</td>
  <td>0.968522523</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >300与500相关</td>
  <td>0.974063285</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >50与180相关</td>
  <td>0.977588464</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >50与消费相关</td>
  <td>0.98143592</td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   >180与100相关</td>
  <td>0.99011996</td>
 </tr></table><br><br>0代表完全不相关，100代表完全相关。那么构建合理的，全部以etf为标的的一个组合，个人的建议是：</div><div><br></div><div><div style=""margin: 0px; padding: 0px; border: 0px; line-height: 1.428571em; font-family: Helvetica, Arial, 'Droid Sans', sans-serif; font-size: 14px;""   >债类资产： &nbsp;30%</div><div style=""margin: 0px; padding: 0px; border: 0px; line-height: 1.428571em; font-family: Helvetica, Arial, 'Droid Sans', sans-serif; font-size: 14px;""   ><br clear=""none""   ></div><div style=""margin: 0px; padding: 0px; border: 0px; line-height: 1.428571em; font-family: Helvetica, Arial, 'Droid Sans', sans-serif; font-size: 14px;""   >上证50： &nbsp; &nbsp; &nbsp;25%</div><div style=""margin: 0px; padding: 0px; border: 0px; line-height: 1.428571em; font-family: Helvetica, Arial, 'Droid Sans', sans-serif; font-size: 14px;""   ><br clear=""none""   ></div><div style=""margin: 0px; padding: 0px; border: 0px; line-height: 1.428571em; font-family: Helvetica, Arial, 'Droid Sans', sans-serif; font-size: 14px;""   >标普500etf：15%</div><div style=""margin: 0px; padding: 0px; border: 0px; line-height: 1.428571em; font-family: Helvetica, Arial, 'Droid Sans', sans-serif; font-size: 14px;""   ><br clear=""none""   ></div><div style=""margin: 0px; padding: 0px; border: 0px; line-height: 1.428571em; font-family: Helvetica, Arial, 'Droid Sans', sans-serif; font-size: 14px;""   ><span style=""line-height: 1.428571em;""   >黄金etf： &nbsp; &nbsp; &nbsp;10%</span></div><div style=""margin: 0px; padding: 0px; border: 0px; line-height: 1.428571em; font-family: Helvetica, Arial, 'Droid Sans', sans-serif; font-size: 14px;""   ><span style=""line-height: 1.428571em;""   ><br clear=""none""   ></span></div><div style=""margin: 0px; padding: 0px; border: 0px; line-height: 1.428571em; font-family: Helvetica, Arial, 'Droid Sans', sans-serif; font-size: 14px;""   ><span style=""line-height: 1.428571em;""   >恒生etf： &nbsp; &nbsp; &nbsp; 10%</span></div><div style=""margin: 0px; padding: 0px; border: 0px; line-height: 1.428571em; font-family: Helvetica, Arial, 'Droid Sans', sans-serif; font-size: 14px;""   ><span style=""line-height: 1.428571em;""   ><br clear=""none""   ></span></div><div style=""margin: 0px; padding: 0px; border: 0px; line-height: 1.428571em; font-family: Helvetica, Arial, 'Droid Sans', sans-serif; font-size: 14px;""   ><span style=""line-height: 1.428571em;""   >医药etf： &nbsp; &nbsp; &nbsp; 5%</span></div><div style=""margin: 0px; padding: 0px; border: 0px; line-height: 1.428571em; font-family: Helvetica, Arial, 'Droid Sans', sans-serif; font-size: 14px;""   ><span style=""line-height: 1.428571em;""   ><br clear=""none""   ></span></div><div style=""margin: 0px; padding: 0px; border: 0px; line-height: 1.428571em; font-family: Helvetica, Arial, 'Droid Sans', sans-serif; font-size: 14px;""   ><span style=""line-height: 1.428571em;""   >创业etf： &nbsp; &nbsp; &nbsp; 5%</span></div><br><wbr></div><div><br></div><div>这个组合可以试着慢慢建立起来。不需要一次到位建立好。比如创业etf，现在直接买5%稍微有点不理智。可以先买0.5%，等跌了就正好慢慢补上去。</div><div><br></div><div>另外，组合建立完毕后，定期——比如半年、一年重新平衡一下。卖掉涨幅大的，买入跌的多的。</div><div><br></div><div>大家可以模拟一下，按照上面的组合，这些年的收益率会非常令人满意。</div><div><br></div><div>ps，我们的etf计划也会慢慢改变权重。现在重仓180和100是因为当时没有那么多etf。</div>",True
1,各种量化投资计划电梯,2014-1-4 13:14:14,blog/static/6027806620140405224549,"在资本市场，成功的投资一般三种方式：<wbr><div><br></div><div>价值投资、趋势投资、量化投资。</div><div><br></div><div>本博客2010年后逐渐侧重量化投资。作为记录，也有三种（第三种未公布，成熟后会贴出）量化投资的实战博文。</div><div><br></div><div>量化一，定时：根据全市场真实PE定期投资具有代表性的市场指数。通过对大、中、小市值指数etf的积极定期投资管理，取得超越市场总体表现的业绩。</div><div><br></div><div>电梯：<a style=""line-height: 28px;"" href=""http://gaoya.blog.163.com/blog/static/60278066201105145362/""   >http://gaoya.blog.163.com/blog/static/60278066201105145362/</a></div><div><br></div><div>量化二，网格：通过严格规定和执行每笔投资的买入价格和利润幅度，把握在波动市中每一笔利润。</div><div><br></div><div><span style=""line-height: 28px;""   >电梯：</span><a style=""line-height: 28px;"" href=""http://gaoya.blog.163.com/blog/static/60278066201252525914179/""   >http://gaoya.blog.163.com/blog/static/60278066201252525914179/</a></div><div><br></div><div><span style=""line-height: 28px;""   >量化三，定量：识别每一个投资标的的极限风险，通过定量的资产配置与投资方式，保证资产安全的前提下，使投资成功率超过99%。</span></div><div><span style=""line-height: 28px;""   ><br></span></div><div>其中，量化一是“相对收益”。目标是长期来看超越大盘。不排除熊市会以小于大盘的幅度亏损。</div><div><br></div><div>而量化二、三是“绝对收益”。即每一笔投资投下去的时候已经盈利了，只是需要时间来实现。除非超级黑天鹅出现，如股票退市、股市关门等。</div><div><br></div><div>相对收益的理念是长期来看股市必然向上，只要相对大盘好就一定好。而绝对收益的理念是经常性为帐户提供正向现金流。</div><div><span style=""line-height: 28px;""   ><br></span></div><div>量化投资系列的历史收益率：</div><div><br></div><div><br></div><div><table border=""0""   cellpadding=""0""   cellspacing=""0""   width=""325""   style=""text-align: center; border-collapse: collapse; width: 245pt;""   >
 <colgroup><col width=""58""   style=""mso-width-source:userset;mso-width-alt:1856;width:44pt;""   >
 <col width=""82""   style=""mso-width-source:userset;mso-width-alt:2624;width:62pt;""   >
 <col width=""103""   style=""mso-width-source:userset;mso-width-alt:3296;width:77pt;""   >
 <col width=""82""   style=""mso-width-source:userset;mso-width-alt:2624;width:62pt;""   >
 <tbody><tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   width=""58""   style=""height:14.25pt;width:44pt;""   ><font size=""2""   >项目</font></td>
  <td width=""82""   style=""width:62pt;""   ><font size=""2""   >开始时间</font></td>
  <td width=""103""   style=""width:77pt;""   ><font size=""2""   >截至2013底</font></td>
  <td width=""82""   style=""width:62pt;""   ><font size=""2""   >同期大盘</font></td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   ><font size=""2""   >定时</font></td>
  <td><font size=""2""   >2010-1-1</font></td>
  <td><font size=""2""   >-2.16%</font></td>
  <td><font size=""2""   >-35.14</font></td>
 </tr>
 <tr height=""19""   style=""height:14.25pt;""   >
  <td height=""19""   style=""height:14.25pt;""   ><font size=""2""   >网格</font></td>
  <td><font size=""2""   >2012-6-25</font></td>
  <td><font size=""2""   >17.09%</font></td>
  <td><font size=""2""   >-3.95</font></td>
 </tr></table></div><div style=""text-align: center;""   ><br></div>",True
2,送给新朋友的几句话,2016-1-26 10:47:10,blog/static/602780662016026104710643,最近雪球、微博的观光团朋友们纷纷来看这个记录了本人几年投资历程的博客。<wbr><div><br></div><div>这个博客本来是给自己看的记录本，所以真实的记录了近十年的投资之路。</div><div><br></div><div>不可避免的，前几年的东西，有很多青涩的地方，也请各位朋友自行甄别。</div><div><br></div><div>本人投资水平不高，但好在一直在路上，一直在努力向前走。</div>,True
3,油气网格开始,2015-7-15 9:34:32,blog/static/60278066201561593432546,"分级A回款到账，现在有钱又有闲。开始搞油气。<wbr><div><br></div><div>买入价格是：</div><div><br></div><div><table border=""0""   cellpadding=""0""   cellspacing=""0""   width=""72""   style=""border-collapse:
 collapse;width:54pt;""   >
 <colgroup><col width=""72""   style=""mso-width-source:userset;mso-width-alt:2304;width:54pt;""   >
 <tbody><tr height=""18""   style=""height:13.5pt;""   >
  <td height=""18""   width=""72""   style=""height:13.5pt;width:54pt;""   >0.666 </td>
 </tr>
 <tr height=""18""   style=""height:13.5pt;""   >
  <td height=""18""   style=""height:13.5pt;""   >0.633 </td>
 </tr>
 <tr height=""18""   style=""height:13.5pt;""   >
  <td height=""18""   style=""height:13.5pt;""   >0.599 </td>
 </tr>
 <tr height=""18""   style=""height:13.5pt;""   >
  <td height=""18""   style=""height:13.5pt;""   >0.566 </td>
 </tr>
 <tr height=""18""   style=""height:13.5pt;""   >
  <td height=""18""   style=""height:13.5pt;""   >0.533 </td>
 </tr>
 <tr height=""18""   style=""height:13.5pt;""   >
  <td height=""18""   style=""height:13.5pt;""   >0.500 </td>
 </tr>
 <tr height=""18""   style=""height:13.5pt;""   >
  <td height=""18""   style=""height:13.5pt;""   >0.466 </td>
 </tr>
 <tr height=""18""   style=""height:13.5pt;""   >
  <td height=""18""   style=""height:13.5pt;""   >0.433 </td>
 </tr>
 <tr height=""18""   style=""height:13.5pt;""   >
  <td height=""18""   style=""height:13.5pt;""   >0.400 </td>
 </tr></table><br></div><div>卖出自己加5%。具体过程不详细贴了。</div><div><br></div><div>买卖间距5%，每次仓位1%。<span style=""line-height: 28px;""   >high起来。</span></div>",True
4,很多东西不在这里写了。朋友可以去雪球关注,2015-7-10 10:03:26,blog/static/60278066201561010326313,etf拯救世界<wbr>,True
5,还有没有A类亏损的朋友了？,2015-6-25 14:45:23,blog/static/60278066201552524523151,"站出来，我保证不打你。<wbr><div><br></div><div><img title=""还有没有A类亏损的朋友了？ - PeterGY - 一个经济观察者的自我修养""   alt=""还有没有A类亏损的朋友了？ - PeterGY - 一个经济观察者的自我修养""   src=""http://b.bst.126.net/common/portrait/face/preview/face28.gif""   ></div>",True
6,大家误会了,2015-6-24 10:33:56,blog/static/602780662015524102551795,"我不是说评论里谁说什么了我不高兴之类的。。大家还不了解我么，我还不了解大家么，而且，我有那么玻璃心吗！<wbr><img title=""大家误会了 - PeterGY - 一个经济观察者的自我修养""   alt=""大家误会了 - PeterGY - 一个经济观察者的自我修养""   src=""http://b.bst.126.net/common/portrait/face/preview/face54.gif""   ><div><br></div><div>我的意思，一直以来的想法，都是在这里看我博客的朋友，一分钱也不要亏。</div><div><br></div><div>这个博客开了5年了，回头想想，有什么亏钱的品种出现吗？有，ETF计划到1900点，最高浮亏超过13%；转债最高也浮亏将近9%；2011年金利最高浮亏超过8%……</div><div><br></div><div>当然，所有的结局都是美好的。ETF和转债全都翻番了。金利也是在大熊市贡献了超过25%的利润。其它的短期品种就太多了，结局都是美好的。</div><div><br></div><div>也就是说，到现在为止，除了油气——这货真是奇葩啊——所有在这里看到过的出现过的品种，全都盈利了。我回想了一下，这也跟我一步步手把手双规建仓和卖出的帖子有关。比如上面提到的，如果不是一篇篇买入卖出的文章，恐怕很多人在浮亏10%的时候就坚持不住卖出了。</div><div><br></div><div>所以，今后在这里说任何品种，我都争取说个价格，说个时间。主要原因就是，</div><div><br></div><div>不希望朋友们亏损。本人是一个极度厌恶亏损的投资者，更加不喜欢跟着我买东西的朋友亏损，所以，就这么定了。</div><div><br></div><div>毕竟交易还是讲技巧。现在就把A类的一些交易技巧告诉大家。</div><div><br></div><div>集思录，选所有+3%品种，按折价率排列。将跟踪共同指数的找出来。比如一带一和带路，比如两只TMT和传媒等等。</div><div><br></div><div>如果手里有折价低的，同时下折空间也差不多，那么就换折价高的——一定是跟踪同一标的或类似概念。也就是卖掉贵的，买入便宜的。</div><div><br></div><div>当然，如果有明显下折概念的不可以这么换。比如高铁，还有17%下折，明显低于其它指数，那么它就是单独考虑。不可以按照上面的规律换。</div><div><br></div><div>大家可以好好体会一下上面的方法，一年多增加几个点的收益问题不大。在具体品种方面，实在拿不准的，可以在微信公众号里提问，我会尽快回答。这里最近来的少了，评论好像也总出问题。</div><div><br></div><div>A类前途光明，道路曲折。别用短期思维看它。留点钱，折价进一步放大越跌越买。本人已经投入50%以上资金进入A类，信心很足。</div><div><br></div><div>希望大家多赚钱。</div>",True
7,看了上一贴的评论，感觉是万万没想到,2015-6-23 14:11:00,blog/static/6027806620155232110140,以后在这里说品种，大概有两个选择：<wbr><div><br></div><div>第一，少说。</div><div><br></div><div>第二，像ETF计划、网格计划等等一样，规定价格规定时间，包括资产怎么分，每次买卖资产的多少，所有东西说死了，大概才能杜绝亏钱。</div><div><br></div><div><br></div><div>！</div>,True
8,同学们，来来来，都冒个泡,2015-6-19 13:43:04,blog/static/6027806620155191434417,在4500点，上证跌了600点之后，本博主在A类赚了一笔。资产增加得很愉快。<wbr><div><br></div><div>大家来讲讲，最近这一周收益率如何？为何会造成这样的结果？</div>,True
9,欢迎添加公众号,2015-6-10 20:50:37,blog/static/60278066201551085037391,"欢迎添加本博公众号，及时接收最新文章<div><br></div><div>微信扫一扫</div><div><br></div><div><div><img title=""欢迎添加公众号 - PeterGY - 一个经济观察者的自我修养""   alt=""欢迎添加公众号 - PeterGY - 一个经济观察者的自我修养""   style=""margin:0 10px 0 0;""   src=""http://img0.ph.126.net/yi5HCPX3ENwqXvLG8G-_bw==/6630846763862832387.jpg""   ></div>&nbsp;<br><br><wbr></div>",True
