,created_at,text,attitudes_count,comments_count,reposts_count,scheme
0,2018-04-12 06:32:13,"回复<a href='https://m.weibo.cn/n/括苍传人'>@括苍传人</a>:这也是巴、芒不太喜欢医药投资的原因吧。茅台确实是好懂的多。<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;"" alt=""[微笑]""></span>//<a href='https://m.weibo.cn/n/括苍传人'>@括苍传人</a>:像茅台这样既能每年稳健成长，却又无需过多的研发费用，岂不更妙？估值不到恒瑞一半有点不可思异啊。<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-7430606cb7.png"" style=""width:1em;height:1em;"" alt=""[笑cry]""></span>",19.0,6.0,23.0,https://m.weibo.cn/status/GbGZFyu35?mblogid=GbGZFyu35&luicode=10000011&lfid=1076031254381361
1,2018-04-12 06:24:44,"回复<a href='https://m.weibo.cn/n/开心2002快乐'>@开心2002快乐</a>:有道理。当年茅台机会来了，我就将持了五年的恒瑞的钱全砸到茅台上了。这叫用鲜花浇灌鲜花，所以并不后悔，但仍会深情地注目这恒瑞的！<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xixi-ce63ce2629.png"" style=""width:1em;height:1em;"" alt=""[嘻嘻]""></span>//<a href='https://m.weibo.cn/n/开心2002快乐'>@开心2002快乐</a>:看不懂就不买，茅台就好懂",20.0,10.0,9.0,https://m.weibo.cn/status/GbGWD5jQN?mblogid=GbGWD5jQN&luicode=10000011&lfid=1076031254381361
2,2018-04-11 22:59:53,抛开恒瑞的估值高低不谈，这篇文章谈到了点子上:研发费用费用化与研发费用资本化，理解了这一点，就能明白一些药企较高市盈率之谜。,29.0,13.0,164.0,https://m.weibo.cn/status/GbE24iw4b?mblogid=GbE24iw4b&luicode=10000011&lfid=1076031254381361
3,2018-04-11 18:14:33,"回复<a href='https://m.weibo.cn/n/老股民穿越牛熊'>@老股民穿越牛熊</a>:可是如果我们只是简单地做一下数据回溯工作：老股民之所以能够穿越牛熊，是因为有少数优秀的企业可以穿越牛熊，虽然其中有波折，但是我十分坚信这一点，因为我就是从这些牛熊之中熬了18年熬过来的！<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_chanzui-ad3f4f182c.png"" style=""width:1em;height:1em;"" alt=""[馋嘴]""></span>",40.0,5.0,12.0,https://m.weibo.cn/status/GbCafhiRl?mblogid=GbCafhiRl&luicode=10000011&lfid=1076031254381361
4,2018-04-11 18:10:18,"他们忙乎的是板块轮动，均值回归之类的坑人投资逻辑。这些头发浓密嘴上无毛的境内机构投资经理，还不配伟大。按：乐趣兄这段话可谓一语中的，针贬到位！<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_touxiao-3458a765a2.png"" style=""width:1em;height:1em;"" alt=""[偷笑]""></span>",37.0,8.0,33.0,https://m.weibo.cn/status/GbC8wyEZf?mblogid=GbC8wyEZf&luicode=10000011&lfid=1076031254381361
5,2018-04-11 12:29:06,转发微博,12.0,3.0,11.0,https://m.weibo.cn/status/GbzU1zLr1?mblogid=GbzU1zLr1&luicode=10000011&lfid=1076031254381361
6,2018-04-10 22:40:16,"【格力业绩】我们去年的净利润率已经达到了15%，去年一年创造的国家利税接近500亿，实现了1500亿收入。如此推算，净利可达225亿元。16年净利率14%，17年净利率15%，格力的效率进一步提高！<br/><br/>滚一个雪球: 董明珠：不要被世界迷惑 走自主创新之路才有未来 新浪财经讯 4月9日，由新浪财经、正和岛联合主办的2018博鳌新浪财经之夜·正和岛夜话在海南举行，格力电器董事长董明珠出... - 雪球 （分享自 <a href='https://m.weibo.cn/n/雪球'>@雪球</a>） <a data-url=""http://t.cn/RmJdMng"" href=""https://xueqiu.com/6677862831/104863751"" data-hide=""""><span class=""url-icon""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></span></i><span class=""surl-text"">滚一个雪球: 董明珠：不要被世界迷惑 走自主创新之路才有未来</a>",52.0,13.0,57.0,https://m.weibo.cn/status/GbutBqCel?mblogid=GbutBqCel&luicode=10000011&lfid=1076031254381361
7,2018-04-08 17:46:00,"//<a href='https://m.weibo.cn/n/双色杜梋'>@双色杜梋</a>: 名医专家说阿胶，气势磅礴必《胜利》！<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_chnlike-4743af66c3.png"" style=""width:1em;height:1em;"" alt=""[中国赞]""></span>",14.0,5.0,32.0,https://m.weibo.cn/status/Gb9HaEW6T?mblogid=Gb9HaEW6T&luicode=10000011&lfid=1076031254381361
8,2018-04-08 17:40:55,转发微博,20.0,3.0,69.0,https://m.weibo.cn/status/Gb9F71fgg?mblogid=Gb9F71fgg&luicode=10000011&lfid=1076031254381361
9,2018-04-07 21:12:20,"发表了博文《闲来札记：假如外星人乘着飞碟来到地球，且不幸······》有朋友总问我估值问题，比如说，某某股已经上涨这么多了，还能够买入吗？此时，我总是回答：你就假如你是个外星人，乘坐着飞碟来到了地球，<a data-url=""http://t.cn/RmGRcMp"" href=""http://blog.sina.com.cn/s/blog_4ac457310102xgn0.html?ref=weibocard"" data-hide=""""><span class=""url-icon""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_article_default.png""></span></i><span class=""surl-text"">闲来札记：假如外星人乘着飞碟来到地球，且不幸······</a> ​",68.0,25.0,75.0,https://m.weibo.cn/status/Gb1Cqvffp?mblogid=Gb1Cqvffp&luicode=10000011&lfid=1076031254381361
