,name,1d,5d,10d,20d,30d,60d,90d,tw,tm,tq,ty,2015y,2016y,2017y,2018y,2019y,vlt,update,aid
ZXB,中小板,0.0,0.0,-2.97,-7.55,-10.09,-10.91,-10.91,-1.01,-5.77,-5.77,-5.77,-39.13,130.95,104.12,10.1,-52.29,19.07,2020-01-22,dyr
SHA,上海A股,-0.47,-0.47,-1.4,-4.52,-7.05,-8.26,-6.64,0.0,-2.31,-2.31,-2.31,-15.2,3.47,3.91,44.62,-19.7,193.73,2020-01-22,dyr
SZB,深市主板,0.0,2.07,0.0,-4.52,-8.07,-9.2,-6.92,1.37,-0.67,-0.67,-0.67,-14.29,143.59,13.16,190.23,-76.12,188.18,2020-01-22,dyr
SZA,深圳A股,0.0,0.0,-2.88,-7.34,-10.62,-11.4,-9.82,0.0,-5.61,-5.61,-5.61,-34.25,135.42,51.33,84.8,-66.14,23.81,2020-01-22,dyr
CYB,创业板,-1.96,-1.96,-5.66,-10.71,-13.79,-12.28,-10.71,-1.96,-9.09,-9.09,-9.09,-52.5,94.74,27.03,51.06,-22.54,585.53,2020-01-22,dyr
HSA,沪深A股,-0.6,-0.6,-2.35,-5.68,-8.29,-9.78,-8.29,0.0,-3.49,-3.49,-3.49,-25.79,27.12,19.33,60.34,-40.07,593.2,2020-01-22,dyr
ZXB,中小板,-51.62,-51.68,-50.15,-47.43,-46.06,-48.66,-49.42,-51.48,-48.51,-48.51,-48.51,55.61,-22.82,-18.3,-44.21,31.92,252.61,2020-01-22,pe
SHA,上海A股,23.43,23.25,24.54,28.25,31.27,26.8,23.89,22.8,25.28,25.28,25.28,13.55,-6.0,3.87,-30.15,18.74,72.7,2020-01-22,pe
SZB,深市主板,171.47,166.34,170.05,180.13,187.76,185.64,177.46,168.03,172.9,172.9,172.9,10.35,-8.1,-25.7,-32.6,39.53,344.16,2020-01-22,pe
SZA,深圳A股,-32.65,-32.81,-30.98,-27.66,-25.82,-27.45,-29.36,-32.6,-29.15,-29.15,-29.15,44.71,-18.82,-24.53,-36.96,37.08,138.59,2020-01-22,pe
CYB,创业板,-44.04,-43.18,-40.96,-37.99,-36.42,-38.08,-40.76,-43.22,-38.76,-38.76,-38.76,58.85,-36.67,-22.74,-35.34,45.01,203.12,2020-01-22,pe
HSA,沪深A股,70.53,70.12,73.02,79.36,83.88,78.12,73.87,70.02,75.37,75.37,75.37,28.92,-9.49,-6.02,-33.38,24.52,183.52,2020-01-22,pe
ZXB,中小板,1.06,0.7,3.61,9.13,12.55,8.71,7.09,1.06,7.09,7.09,7.09,67.13,-28.91,-14.89,-41.67,27.62,15.91,2020-01-22,pb
SHA,上海A股,0.0,0.0,0.69,4.29,6.57,0.69,-1.35,0.0,1.39,1.39,1.39,0.5,-16.26,2.94,-28.0,14.29,12.54,2020-01-22,pb
SZB,深市主板,0.0,-1.58,-0.53,3.31,6.25,8.72,1.08,-1.06,0.54,0.54,0.54,17.16,-21.34,-11.34,-34.7,30.07,13.17,2020-01-22,pb
SZA,深圳A股,0.76,0.38,2.7,7.69,10.83,10.83,5.98,0.76,5.56,5.56,5.56,50.61,-26.68,-15.83,-36.3,30.57,14.57,2020-01-22,pb
CYB,创业板,1.18,2.38,6.17,11.69,14.67,13.76,9.97,2.38,10.26,10.26,10.26,73.9,-36.37,-24.68,-32.29,38.79,17.44,2020-01-22,pb
HSA,沪深A股,0.56,0.0,1.7,5.29,8.48,4.07,1.13,0.0,2.87,2.87,2.87,18.53,-19.64,-4.07,-31.6,20.0,12.2,2020-01-22,pb
