,pe,pb,dyr
2011-05-03,26.02,3.26,0.6
2011-05-04,25.38,3.18,0.61
2011-05-05,25.41,3.19,0.6
2011-05-06,25.45,3.19,0.6
2011-05-09,25.6,3.21,0.59
2011-05-10,25.82,3.24,0.59
2011-05-11,25.85,3.24,0.59
2011-05-12,25.53,3.21,0.6
2011-05-13,25.74,3.23,0.6
2011-05-16,25.61,3.22,0.6
2011-05-17,25.63,3.22,0.61
2011-05-18,25.82,3.24,0.6
2011-05-19,25.68,3.22,0.61
2011-05-20,25.63,3.22,0.61
2011-05-23,24.69,3.1,0.64
2011-05-24,24.68,3.1,0.62
2011-05-25,24.43,3.06,0.64
2011-05-26,24.23,3.04,0.65
2011-05-27,23.82,2.99,0.65
2011-05-30,23.52,2.95,0.65
2011-05-31,23.87,3.03,0.98
2011-06-01,24.06,3.05,0.97
2011-06-02,23.72,3.01,0.99
2011-06-03,24.09,3.05,0.97
2011-06-07,24.28,3.08,0.97
2011-06-08,24.39,3.09,0.97
2011-06-09,23.87,3.03,0.99
2011-06-10,23.95,3.04,0.99
2011-06-13,23.88,3.03,0.99
2011-06-14,24.3,3.08,0.98
2011-06-15,24.08,3.05,0.98
2011-06-16,23.62,3.0,1.0
2011-06-17,23.37,2.96,1.01
2011-06-20,23.16,2.93,1.03
2011-06-21,23.52,2.98,1.02
2011-06-22,23.48,2.98,1.02
2011-06-23,23.94,3.03,0.99
2011-06-24,24.48,3.1,0.97
2011-06-27,24.66,3.12,0.96
2011-06-28,24.71,3.13,0.95
2011-06-29,24.43,3.09,0.96
2011-06-30,24.78,3.14,1.05
2011-07-01,24.91,3.15,1.04
2011-07-04,25.49,3.23,1.01
2011-07-05,25.57,3.24,1.01
2011-07-06,25.56,3.24,0.98
2011-07-07,25.5,3.23,0.97
2011-07-08,25.52,3.23,0.98
2011-07-11,25.78,3.27,0.97
2011-07-12,25.39,3.21,0.98
2011-07-13,25.82,3.27,0.96
2011-07-14,25.95,3.29,0.94
2011-07-15,26.08,3.31,0.92
2011-07-18,26.05,3.3,0.93
2011-07-19,25.8,3.27,0.94
2011-07-20,25.82,3.27,0.94
2011-07-21,25.55,3.24,0.95
2011-07-22,25.63,3.25,0.94
2011-07-25,24.7,3.13,0.98
2011-07-26,24.82,3.15,0.97
2011-07-27,25.12,3.18,0.94
2011-07-28,25.01,3.17,0.94
2011-07-29,24.79,3.14,0.96
2011-08-01,24.87,3.15,0.94
2011-08-02,24.71,3.13,0.93
2011-08-03,24.75,3.14,0.91
2011-08-04,24.84,3.15,0.92
2011-08-05,24.29,3.11,0.94
2011-08-08,23.24,2.97,0.98
2011-08-09,23.19,2.97,0.98
2011-08-10,23.49,3.0,0.96
2011-08-11,23.88,3.05,0.94
2011-08-12,24.06,3.08,0.93
2011-08-15,24.38,3.12,0.92
2011-08-16,24.19,3.1,0.92
2011-08-17,24.07,3.08,0.92
2011-08-18,23.69,3.04,0.93
2011-08-19,23.46,3.0,0.91
2011-08-22,23.18,2.97,0.91
2011-08-23,23.5,3.03,0.88
2011-08-24,23.46,3.02,0.88
2011-08-25,24.09,3.1,0.88
2011-08-26,24.19,3.11,0.86
2011-08-29,23.94,3.08,0.86
2011-08-30,23.79,3.06,0.88
2011-08-31,23.8,3.07,0.9
2011-09-01,22.37,3.0,0.91
2011-09-02,22.11,2.97,0.92
2011-09-05,21.54,2.89,0.94
2011-09-06,21.29,2.86,0.95
2011-09-07,21.78,2.93,0.92
2011-09-08,21.58,2.9,0.94
2011-09-09,21.48,2.89,0.95
2011-09-13,21.22,2.85,0.97
2011-09-14,21.39,2.88,0.95
2011-09-15,21.42,2.88,0.95
2011-09-16,21.47,2.89,0.95
2011-09-19,21.06,2.83,0.97
2011-09-20,21.16,2.85,0.97
2011-09-21,21.78,2.93,0.94
2011-09-22,21.15,2.84,0.98
2011-09-23,20.95,2.82,0.98
2011-09-26,20.58,2.77,1.0
2011-09-27,20.7,2.79,0.99
2011-09-28,20.43,2.75,1.0
2011-09-29,20.0,2.69,1.04
2011-09-30,19.96,2.69,1.08
2011-10-10,19.78,2.66,1.08
2011-10-11,19.61,2.64,1.09
2011-10-12,20.29,2.73,1.04
2011-10-13,20.47,2.76,1.02
2011-10-14,20.37,2.74,1.03
2011-10-17,20.42,2.75,1.02
2011-10-18,19.78,2.66,1.05
2011-10-19,19.63,2.64,1.06
2011-10-20,19.05,2.56,1.09
2011-10-21,18.79,2.53,1.12
2011-10-24,19.21,2.58,1.1
2011-10-25,19.7,2.65,1.07
2011-10-26,19.9,2.68,1.04
2011-10-27,19.92,2.68,1.04
2011-10-28,20.39,2.74,1.02
2011-10-31,20.36,2.74,1.01
2011-11-01,20.05,2.64,1.01
2011-11-02,20.33,2.67,0.96
2011-11-03,20.45,2.69,0.97
2011-11-04,20.6,2.72,0.96
2011-11-07,20.44,2.7,0.96
2011-11-08,20.3,2.68,0.98
2011-11-09,20.56,2.72,0.95
2011-11-10,20.24,2.68,0.95
2011-11-11,20.19,2.67,0.95
2011-11-14,20.65,2.74,0.92
2011-11-15,20.68,2.74,0.92
2011-11-16,20.19,2.68,0.94
2011-11-17,20.17,2.67,0.93
2011-11-18,19.63,2.6,0.96
2011-11-21,19.66,2.61,0.97
2011-11-22,19.64,2.6,0.97
2011-11-23,19.52,2.59,0.97
2011-11-24,19.51,2.59,0.96
2011-11-25,19.35,2.56,0.97
2011-11-28,19.37,2.57,0.97
2011-11-29,19.65,2.6,0.96
2011-11-30,18.92,2.51,1.01
2011-12-01,19.33,2.56,0.99
2011-12-02,19.09,2.53,1.02
2011-12-05,18.66,2.47,1.06
2011-12-06,18.65,2.46,1.05
2011-12-07,18.69,2.47,1.04
2011-12-08,18.66,2.47,1.03
2011-12-09,18.5,2.44,1.04
2011-12-12,18.26,2.41,1.06
2011-12-13,17.73,2.34,1.09
2011-12-14,17.47,2.31,1.11
2011-12-15,16.99,2.24,1.12
2011-12-16,17.4,2.3,1.07
2011-12-19,17.4,2.3,1.06
2011-12-20,17.37,2.29,1.07
2011-12-21,17.0,2.24,1.1
2011-12-22,16.86,2.22,1.11
2011-12-23,17.02,2.24,1.11
2011-12-26,16.86,2.22,1.12
2011-12-27,16.5,2.18,1.16
2011-12-28,16.48,2.17,1.18
2011-12-29,16.51,2.18,1.17
2011-12-30,16.78,2.21,1.15
2012-01-04,16.36,2.16,1.19
2012-01-05,15.97,2.11,1.26
2012-01-06,16.07,2.12,1.26
2012-01-09,16.7,2.2,1.21
2012-01-10,17.35,2.29,1.16
2012-01-11,17.33,2.29,1.16
2012-01-12,17.29,2.29,1.18
2012-01-13,16.84,2.23,1.25
2012-01-16,16.42,2.17,1.31
2012-01-17,17.3,2.29,1.25
2012-01-18,17.01,2.25,1.33
2012-01-19,17.27,2.28,1.31
2012-01-20,17.54,2.32,1.29
2012-01-30,17.29,2.29,1.28
2012-01-31,17.32,2.29,1.28
2012-02-01,17.14,2.27,1.28
2012-02-02,17.47,2.31,1.25
2012-02-03,17.67,2.34,1.22
2012-02-06,17.75,2.35,1.21
2012-02-07,17.43,2.31,1.24
2012-02-08,17.92,2.37,1.2
2012-02-09,17.99,2.38,1.19
2012-02-10,18.08,2.39,1.19
2012-02-13,18.14,2.4,1.16
2012-02-14,18.15,2.4,1.16
2012-02-15,18.43,2.44,1.14
2012-02-16,18.4,2.44,1.14
2012-02-17,18.37,2.43,1.15
2012-02-20,18.39,2.44,1.14
2012-02-21,18.57,2.46,1.12
2012-02-22,18.91,2.5,1.08
2012-02-23,18.99,2.51,1.08
2012-02-24,19.38,2.56,1.07
2012-02-27,19.47,2.58,1.07
2012-02-28,19.41,2.57,1.09
2012-02-29,19.2,2.54,1.11
2012-03-01,19.25,2.55,1.1
2012-03-02,19.69,2.6,1.08
2012-03-05,19.66,2.6,1.07
2012-03-06,19.44,2.57,1.09
2012-03-07,19.31,2.55,1.09
2012-03-08,19.58,2.59,1.07
2012-03-09,19.85,2.62,1.04
2012-03-12,19.84,2.62,1.03
2012-03-13,20.05,2.65,1.02
2012-03-14,19.26,2.55,1.07
2012-03-15,19.06,2.52,1.07
2012-03-16,19.45,2.57,1.05
2012-03-19,19.62,2.59,1.02
2012-03-20,19.27,2.55,1.05
2012-03-21,19.28,2.55,1.05
2012-03-22,19.21,2.54,1.05
2012-03-23,18.86,2.49,1.07
2012-03-26,18.86,2.49,1.07
2012-03-27,18.74,2.48,1.08
2012-03-28,18.08,2.39,1.13
2012-03-29,17.84,2.36,1.13
2012-03-30,17.83,2.36,1.1
2012-04-05,18.41,2.43,1.07
2012-04-06,18.54,2.45,1.07
2012-04-09,18.38,2.43,1.08
2012-04-10,18.57,2.45,1.06
2012-04-11,18.65,2.46,1.06
2012-04-12,19.04,2.51,1.04
2012-04-13,19.17,2.53,1.04
2012-04-16,19.15,2.53,1.04
2012-04-17,18.84,2.49,1.05
2012-04-18,19.26,2.55,1.03
2012-04-19,19.19,2.54,1.02
2012-04-20,19.39,2.56,1.02
2012-04-23,19.23,2.54,1.07
2012-04-24,19.13,2.53,1.09
2012-04-25,19.42,2.57,1.08
2012-04-26,19.41,2.56,1.09
2012-04-27,19.31,2.55,1.1
2012-05-02,20.51,2.44,1.09
2012-05-03,20.63,2.45,1.08
2012-05-04,20.81,2.47,1.06
2012-05-07,20.9,2.48,1.03
2012-05-08,20.81,2.47,1.03
2012-05-09,20.4,2.43,1.04
2012-05-10,20.45,2.43,1.03
2012-05-11,20.34,2.42,1.03
2012-05-14,20.23,2.41,1.03
2012-05-15,20.27,2.41,1.03
2012-05-16,19.94,2.37,1.04
2012-05-17,20.27,2.41,1.03
2012-05-18,33.33,2.78,1.05
2012-05-21,33.21,2.77,1.05
2012-05-22,33.66,2.81,1.04
2012-05-23,33.47,2.8,1.04
2012-05-24,33.35,2.79,1.04
2012-05-25,32.73,2.74,1.06
2012-05-28,32.89,2.75,1.06
2012-05-29,33.49,2.8,1.04
2012-05-30,33.76,2.83,1.03
2012-05-31,34.11,2.86,1.24
2012-06-01,34.06,2.87,1.23
2012-06-04,33.15,2.79,1.26
2012-06-05,33.08,2.78,1.26
2012-06-06,33.05,2.78,1.26
2012-06-07,32.93,2.77,1.27
2012-06-08,32.97,2.78,1.26
2012-06-11,33.92,2.86,1.23
2012-06-12,33.88,2.86,1.23
2012-06-13,34.49,2.92,1.2
2012-06-14,34.3,2.9,1.21
2012-06-15,34.4,2.91,1.2
2012-06-18,34.98,2.96,1.18
2012-06-19,34.85,2.96,1.18
2012-06-20,35.05,2.98,1.18
2012-06-21,34.54,2.93,1.19
2012-06-25,33.7,2.86,1.22
2012-06-26,33.58,2.85,1.23
2012-06-27,33.83,2.87,1.22
2012-06-28,33.49,2.85,1.22
2012-06-29,34.08,2.9,1.3
2012-07-02,34.79,2.96,1.27
2012-07-03,35.09,2.99,1.26
2012-07-04,34.82,2.97,1.27
2012-07-05,34.33,2.93,1.29
2012-07-06,34.78,2.97,1.27
2012-07-09,33.95,2.89,1.3
2012-07-10,33.31,2.85,1.32
2012-07-11,33.49,2.87,1.31
2012-07-12,34.09,2.92,1.29
2012-07-13,33.46,2.86,1.31
2012-07-16,31.83,2.72,1.38
2012-07-17,32.02,2.74,1.37
2012-07-18,32.21,2.76,1.35
2012-07-19,32.61,2.8,1.34
2012-07-20,32.49,2.79,1.34
2012-07-23,32.32,2.77,1.35
2012-07-24,32.55,2.79,1.34
2012-07-25,32.61,2.8,1.34
2012-07-26,32.27,2.8,1.33
2012-07-27,32.17,2.79,1.34
2012-07-30,31.42,2.72,1.37
2012-07-31,30.73,2.66,1.47
2012-08-01,31.27,2.72,1.43
2012-08-02,31.35,2.73,1.43
2012-08-03,32.29,2.81,1.39
2012-08-06,33.13,2.88,1.35
2012-08-07,33.28,2.91,1.34
2012-08-08,33.02,2.89,1.35
2012-08-09,33.66,2.94,1.32
2012-08-10,33.63,2.94,1.32
2012-08-13,33.0,2.88,1.35
2012-08-14,33.42,2.92,1.33
2012-08-15,33.06,2.89,1.35
2012-08-16,32.73,2.86,1.36
2012-08-17,32.75,2.88,1.35
2012-08-20,33.15,2.91,1.33
2012-08-21,34.02,2.99,1.3
2012-08-22,34.01,2.99,1.3
2012-08-23,34.28,3.01,1.29
2012-08-24,33.46,2.94,1.32
2012-08-27,32.86,2.89,1.34
2012-08-28,33.3,2.93,1.33
2012-08-29,33.4,2.93,1.32
2012-08-30,32.36,2.84,1.36
2012-08-31,32.59,2.86,1.35
2012-09-03,32.87,2.83,1.31
2012-09-04,32.84,2.83,1.32
2012-09-05,33.24,2.86,1.3
2012-09-06,33.64,2.9,1.28
2012-09-07,34.48,2.97,1.25
2012-09-10,34.75,2.99,1.24
2012-09-11,34.61,2.98,1.25
2012-09-12,34.67,2.99,1.24
2012-09-13,34.03,2.93,1.27
2012-09-14,33.84,2.92,1.27
2012-09-17,32.78,2.82,1.32
2012-09-18,32.84,2.83,1.31
2012-09-19,33.04,2.85,1.3
2012-09-20,31.93,2.76,1.35
2012-09-21,31.24,2.7,1.38
2012-09-24,31.32,2.7,1.37
2012-09-25,30.9,2.67,1.39
2012-09-26,29.92,2.58,1.44
2012-09-27,30.63,2.65,1.4
2012-09-28,31.2,2.7,1.43
2012-10-08,31.25,2.71,1.42
2012-10-09,32.28,2.8,1.38
2012-10-10,32.7,2.84,1.36
2012-10-11,32.05,2.78,1.39
2012-10-12,31.92,2.77,1.39
2012-10-15,31.44,2.73,1.41
2012-10-16,31.55,2.74,1.41
2012-10-17,31.72,2.75,1.4
2012-10-18,32.23,2.8,1.38
2012-10-19,32.16,2.79,1.38
2012-10-22,32.36,2.81,1.37
2012-10-23,31.83,2.76,1.39
2012-10-24,31.67,2.75,1.4
2012-10-25,31.29,2.72,1.42
2012-10-26,30.7,2.67,1.45
2012-10-29,30.8,2.67,1.44
2012-10-30,30.85,2.68,1.44
2012-10-31,30.94,2.69,1.44
2012-11-01,32.08,2.61,1.41
2012-11-02,32.12,2.61,1.41
2012-11-05,31.79,2.59,1.43
2012-11-06,31.69,2.58,1.43
2012-11-07,31.66,2.58,1.43
2012-11-08,30.95,2.52,1.47
2012-11-09,30.84,2.51,1.47
2012-11-12,31.09,2.53,1.46
2012-11-13,30.64,2.49,1.48
2012-11-14,30.68,2.49,1.48
2012-11-15,30.21,2.46,1.5
2012-11-16,30.14,2.45,1.51
2012-11-19,30.29,2.46,1.5
2012-11-20,30.3,2.46,1.5
2012-11-21,30.52,2.48,1.49
2012-11-22,30.21,2.46,1.5
2012-11-23,30.2,2.46,1.5
2012-11-26,29.64,2.41,1.53
2012-11-27,28.44,2.31,1.6
2012-11-28,27.91,2.27,1.63
2012-11-29,27.59,2.24,1.65
2012-11-30,27.83,2.26,1.63
2012-12-03,27.09,2.2,1.68
2012-12-04,27.42,2.23,1.66
2012-12-05,28.51,2.32,1.59
2012-12-06,28.44,2.31,1.6
2012-12-07,29.12,2.37,1.56
2012-12-10,29.64,2.41,1.53
2012-12-11,29.34,2.39,1.55
2012-12-12,29.39,2.39,1.55
2012-12-13,28.99,2.36,1.57
2012-12-14,30.1,2.45,1.51
2012-12-17,30.02,2.44,1.51
2012-12-18,29.87,2.43,1.52
2012-12-19,30.14,2.45,1.51
2012-12-20,30.56,2.49,1.49
2012-12-21,31.12,2.53,1.46
2012-12-24,31.7,2.58,1.43
2012-12-25,32.37,2.63,1.4
2012-12-26,33.33,2.71,1.36
2012-12-27,32.58,2.65,1.4
2012-12-28,32.99,2.68,1.38
2012-12-31,33.13,2.69,1.38
2013-01-04,33.05,2.69,1.38
2013-01-07,33.67,2.74,1.35
2013-01-08,34.28,2.79,1.33
2013-01-09,34.15,2.78,1.33
2013-01-10,34.44,2.8,1.32
2013-01-11,34.18,2.78,1.33
2013-01-14,35.54,2.89,1.28
