,pe,pb,dyr
2011-05-03,19.14,2.72,1.18
2011-05-04,18.71,2.66,1.2
2011-05-05,18.76,2.66,1.2
2011-05-06,18.74,2.66,1.2
2011-05-09,18.82,2.67,1.2
2011-05-10,18.93,2.69,1.19
2011-05-11,18.91,2.69,1.19
2011-05-12,18.65,2.65,1.21
2011-05-13,18.8,2.67,1.2
2011-05-16,18.69,2.65,1.2
2011-05-17,18.7,2.66,1.2
2011-05-18,18.81,2.67,1.19
2011-05-19,18.72,2.66,1.2
2011-05-20,18.7,2.66,1.2
2011-05-23,18.12,2.57,1.24
2011-05-24,18.09,2.57,1.24
2011-05-25,17.9,2.54,1.26
2011-05-26,17.82,2.53,1.26
2011-05-27,17.6,2.5,1.28
2011-05-30,17.54,2.49,1.28
2011-05-31,17.8,2.53,1.14
2011-06-01,17.85,2.54,1.13
2011-06-02,17.61,2.5,1.15
2011-06-03,17.81,2.53,1.13
2011-06-07,17.92,2.55,1.13
2011-06-08,17.97,2.56,1.12
2011-06-09,17.65,2.51,1.14
2011-06-10,17.66,2.51,1.14
2011-06-13,17.63,2.51,1.14
2011-06-14,17.85,2.54,1.13
2011-06-15,17.69,2.52,1.14
2011-06-16,17.4,2.47,1.16
2011-06-17,17.24,2.45,1.17
2011-06-20,17.09,2.43,1.18
2011-06-21,17.28,2.46,1.17
2011-06-22,17.29,2.46,1.17
2011-06-23,17.58,2.5,1.15
2011-06-24,17.97,2.55,1.12
2011-06-27,18.08,2.57,1.12
2011-06-28,18.1,2.57,1.11
2011-06-29,17.9,2.55,1.13
2011-06-30,18.15,2.58,1.63
2011-07-01,18.17,2.58,1.62
2011-07-04,30.75,2.64,1.59
2011-07-05,18.6,2.64,1.59
2011-07-06,18.6,2.64,1.59
2011-07-07,18.54,2.64,1.59
2011-07-08,18.55,2.64,1.59
2011-07-11,18.63,2.65,1.58
2011-07-12,18.33,2.61,1.61
2011-07-13,18.62,2.65,1.58
2011-07-14,18.73,2.67,1.57
2011-07-15,18.83,2.68,1.56
2011-07-18,18.81,2.68,1.57
2011-07-19,18.65,2.65,1.58
2011-07-20,18.65,2.65,1.58
2011-07-21,18.45,2.63,1.6
2011-07-22,18.5,2.63,1.59
2011-07-25,17.91,2.55,1.64
2011-07-26,18.0,2.56,1.64
2011-07-27,18.19,2.59,1.62
2011-07-28,18.13,2.58,1.62
2011-07-29,18.05,2.57,1.55
2011-08-01,18.09,2.57,1.55
2011-08-02,17.96,2.56,1.56
2011-08-03,17.99,2.56,1.56
2011-08-04,18.03,2.57,1.56
2011-08-05,17.66,2.52,1.59
2011-08-08,16.96,2.42,1.65
2011-08-09,16.95,2.42,1.65
2011-08-10,17.15,2.44,1.63
2011-08-11,17.4,2.48,1.61
2011-08-12,17.5,2.5,1.6
2011-08-15,17.74,2.53,1.58
2011-08-16,17.62,2.51,1.59
2011-08-17,17.57,2.51,1.59
2011-08-18,17.29,2.46,1.62
2011-08-19,17.14,2.44,1.63
2011-08-22,17.01,2.43,1.64
2011-08-23,17.29,2.47,1.62
2011-08-24,17.23,2.46,1.62
2011-08-25,17.68,2.52,1.58
2011-08-26,17.69,2.53,1.58
2011-08-29,17.49,2.5,1.6
2011-08-30,17.39,2.48,1.61
2011-08-31,17.37,2.48,1.62
2011-09-01,16.46,2.43,1.62
2011-09-02,16.28,2.4,1.64
2011-09-05,15.94,2.35,1.68
2011-09-06,15.85,2.34,1.69
2011-09-07,16.17,2.39,1.65
2011-09-08,16.05,2.37,1.67
2011-09-09,16.01,2.37,1.67
2011-09-13,15.82,2.34,1.69
2011-09-14,15.93,2.35,1.68
2011-09-15,15.91,2.35,1.68
2011-09-16,15.93,2.35,1.68
2011-09-19,15.63,2.31,1.71
2011-09-20,15.7,2.32,1.7
2011-09-21,16.13,2.38,1.66
2011-09-22,15.67,2.32,1.7
2011-09-23,15.58,2.3,1.71
2011-09-26,15.33,2.27,1.74
2011-09-27,15.44,2.28,1.73
2011-09-28,15.26,2.26,1.75
2011-09-29,15.03,2.22,1.77
