,pe,pb,dyr
2011-05-03,16.35,2.43,1.38
2011-05-04,15.99,2.38,1.41
2011-05-05,16.02,2.38,1.41
2011-05-06,15.97,2.38,1.41
2011-05-09,16.02,2.38,1.41
2011-05-10,16.12,2.4,1.4
2011-05-11,16.08,2.39,1.4
2011-05-12,15.86,2.36,1.42
2011-05-13,16.02,2.38,1.41
2011-05-16,15.89,2.36,1.42
2011-05-17,15.91,2.37,1.42
2011-05-18,16.02,2.38,1.4
2011-05-19,15.95,2.37,1.41
2011-05-20,15.94,2.37,1.41
2011-05-23,15.48,2.3,1.45
2011-05-24,15.44,2.3,1.46
2011-05-25,15.3,2.27,1.47
2011-05-26,15.27,2.27,1.47
2011-05-27,15.13,2.25,1.49
2011-05-30,15.12,2.25,1.49
2011-05-31,15.33,2.28,1.24
2011-06-01,15.32,2.28,1.24
2011-06-02,15.12,2.25,1.26
2011-06-03,15.26,2.27,1.24
2011-06-07,15.35,2.28,1.24
2011-06-08,15.38,2.29,1.23
2011-06-09,15.13,2.25,1.26
2011-06-10,15.14,2.25,1.25
2011-06-13,15.11,2.25,1.26
2011-06-14,15.28,2.27,1.24
2011-06-15,15.14,2.25,1.25
2011-06-16,14.91,2.22,1.27
2011-06-17,14.79,2.2,1.28
2011-06-20,14.67,2.18,1.29
2011-06-21,14.81,2.2,1.28
2011-06-22,14.83,2.2,1.28
2011-06-23,15.05,2.24,1.26
2011-06-24,15.38,2.28,1.24
2011-06-27,15.44,2.29,1.23
2011-06-28,15.44,2.3,1.23
2011-06-29,15.27,2.27,1.24
2011-06-30,15.46,2.3,1.95
2011-07-01,15.45,2.3,1.95
2011-07-04,45.12,2.34,1.91
2011-07-05,15.76,2.34,1.91
2011-07-06,15.73,2.34,1.91
2011-07-07,15.65,2.33,1.92
2011-07-08,15.67,2.33,1.92
2011-07-11,15.7,2.33,1.92
2011-07-12,15.43,2.29,1.95
2011-07-13,15.65,2.33,1.92
2011-07-14,15.74,2.34,1.91
2011-07-15,15.79,2.35,1.9
2011-07-18,15.77,2.35,1.91
2011-07-19,15.66,2.33,1.92
2011-07-20,15.64,2.33,1.92
2011-07-21,15.49,2.3,1.94
2011-07-22,15.51,2.31,1.94
2011-07-25,15.06,2.24,2.0
2011-07-26,15.14,2.25,1.99
2011-07-27,15.25,2.27,1.97
2011-07-28,15.17,2.26,1.98
2011-07-29,15.13,2.25,1.85
2011-08-01,15.15,2.25,1.85
2011-08-02,15.01,2.23,1.87
2011-08-03,15.0,2.23,1.87
2011-08-04,15.03,2.24,1.86
2011-08-05,14.71,2.19,1.91
2011-08-08,14.16,2.11,1.98
