,pe,pb,dyr
2011-05-03,31.5,3.7,0.72
2011-05-04,30.81,3.61,0.74
2011-05-05,30.9,3.63,0.73
2011-05-06,31.01,3.64,0.73
2011-05-09,31.21,3.66,0.73
2011-05-10,31.4,3.68,0.72
2011-05-11,31.44,3.69,0.72
2011-05-12,30.98,3.64,0.73
2011-05-13,31.15,3.66,0.73
2011-05-16,31.08,3.65,0.73
2011-05-17,31.04,3.65,0.73
2011-05-18,31.18,3.66,0.72
2011-05-19,31.04,3.65,0.73
2011-05-20,30.92,3.64,0.73
2011-05-23,29.8,3.5,0.76
2011-05-24,29.85,3.51,0.76
2011-05-25,29.41,3.46,0.77
2011-05-26,29.11,3.42,0.78
2011-05-27,28.53,3.36,0.79
2011-05-30,28.26,3.32,0.8
2011-05-31,28.69,3.4,0.89
2011-06-01,28.96,3.43,0.88
2011-06-02,28.53,3.39,0.9
2011-06-03,29.0,3.44,0.88
2011-06-07,29.21,3.47,0.87
2011-06-08,29.31,3.48,0.87
2011-06-09,28.7,3.41,0.89
2011-06-10,28.71,3.41,0.89
2011-06-13,28.64,3.4,0.89
2011-06-14,29.09,3.46,0.88
2011-06-15,28.83,3.43,0.88
2011-06-16,28.27,3.36,0.9
2011-06-17,27.96,3.32,0.91
2011-06-20,27.66,3.29,0.92
2011-06-21,28.06,3.34,0.91
2011-06-22,28.03,3.33,0.91
2011-06-23,28.62,3.41,0.89
2011-06-24,29.28,3.48,0.87
2011-06-27,29.6,3.52,0.86
2011-06-28,29.68,3.53,0.86
2011-06-29,29.37,3.5,0.87
2011-06-30,29.85,3.54,0.91
2011-07-01,30.03,3.57,0.91
2011-07-04,15.74,3.65,0.89
2011-07-05,30.93,3.67,0.88
2011-07-06,31.07,3.69,0.88
2011-07-07,31.11,3.7,0.88
2011-07-08,31.07,3.69,0.88
2011-07-11,31.37,3.73,0.87
2011-07-12,30.91,3.67,0.88
2011-07-13,31.49,3.74,0.87
2011-07-14,31.74,3.77,0.86
2011-07-15,32.01,3.81,0.85
2011-07-18,32.0,3.81,0.85
2011-07-19,31.6,3.76,0.86
2011-07-20,31.67,3.77,0.86
2011-07-21,31.3,3.73,0.87
2011-07-22,31.44,3.74,0.86
2011-07-25,30.27,3.6,0.9
2011-07-26,30.42,3.62,0.89
2011-07-27,30.93,3.68,0.88
2011-07-28,30.93,3.68,0.88
2011-07-29,30.66,3.65,0.93
2011-08-01,30.81,3.67,0.93
2011-08-02,30.71,3.66,0.93
2011-08-03,30.88,3.68,0.92
2011-08-04,30.94,3.69,0.92
2011-08-05,30.3,3.63,0.94
2011-08-08,28.97,3.47,0.98
2011-08-09,28.94,3.47,0.98
2011-08-10,29.35,3.52,0.97
2011-08-11,29.88,3.58,0.95
2011-08-12,30.17,3.62,0.94
2011-08-15,30.6,3.67,0.92
2011-08-16,30.38,3.65,0.93
2011-08-17,30.29,3.64,0.93
2011-08-18,29.77,3.57,0.95
2011-08-19,29.56,3.55,0.96
2011-08-22,29.31,3.52,0.96
2011-08-23,29.8,3.59,0.94
2011-08-24,29.82,3.59,0.94
2011-08-25,30.39,3.66,0.93
2011-08-26,30.54,3.68,0.92
2011-08-29,30.3,3.65,0.93
2011-08-30,30.03,3.62,0.94
2011-08-31,29.91,3.61,0.93
2011-09-01,28.23,3.48,0.94
2011-09-02,27.92,3.44,0.95
2011-09-05,27.24,3.36,0.97
2011-09-06,26.94,3.33,0.98
2011-09-07,27.59,3.41,0.96
2011-09-08,27.32,3.37,0.97
2011-09-09,27.17,3.35,0.97
2011-09-13,26.74,3.3,0.99
2011-09-14,27.0,3.34,0.98
2011-09-15,27.06,3.34,0.97
2011-09-16,27.08,3.35,0.97
2011-09-19,26.51,3.28,0.99
2011-09-20,26.63,3.29,0.99
2011-09-21,27.4,3.39,0.96
2011-09-22,26.62,3.29,0.99
2011-09-23,26.37,3.26,1.0
2011-09-26,25.94,3.21,1.01
2011-09-27,26.05,3.22,1.01
2011-09-28,25.66,3.17,1.03
2011-09-29,25.02,3.09,1.05
2011-09-30,24.98,3.09,1.08
2011-10-10,24.81,3.07,1.09
2011-10-11,24.66,3.05,1.09
2011-10-12,25.52,3.16,1.05
2011-10-13,25.84,3.2,1.04
2011-10-14,25.74,3.19,1.04
2011-10-17,25.89,3.21,1.04
2011-10-18,25.15,3.11,1.07
2011-10-19,24.98,3.09,1.08
2011-10-20,24.25,3.0,1.11
2011-10-21,23.85,2.95,1.13
2011-10-24,24.3,3.01,1.11
2011-10-25,24.95,3.09,1.08
2011-10-26,25.21,3.12,1.07
2011-10-27,25.22,3.12,1.07
2011-10-28,25.79,3.19,1.04
2011-10-31,25.93,3.21,1.03
2011-11-01,25.46,3.06,1.03
2011-11-02,25.95,3.12,1.01
2011-11-03,26.05,3.14,1.01
2011-11-04,26.19,3.16,1.0
2011-11-07,26.04,3.15,1.0
2011-11-08,25.79,3.12,1.01
2011-11-09,26.21,3.17,1.0
2011-11-10,25.91,3.13,1.01
2011-11-11,25.87,3.13,1.01
2011-11-14,26.51,3.21,0.98
2011-11-15,26.61,3.22,0.98
2011-11-16,25.92,3.14,1.01
2011-11-17,25.96,3.14,1.0
2011-11-18,25.25,3.06,1.03
2011-11-21,25.25,3.06,1.03
2011-11-22,25.25,3.06,1.03
2011-11-23,25.16,3.04,1.04
2011-11-24,25.17,3.04,1.04
2011-11-25,25.0,3.03,1.04
2011-11-28,25.03,3.03,1.04
2011-11-29,25.39,3.07,1.03
2011-11-30,24.36,2.95,1.07
2011-12-01,24.86,3.01,1.05
2011-12-02,24.43,2.96,1.06
2011-12-05,23.72,2.87,1.1
2011-12-06,23.77,2.88,1.09
2011-12-07,23.85,2.88,1.09
2011-12-08,23.89,2.89,1.09
2011-12-09,23.66,2.86,1.1
2011-12-12,23.37,2.83,1.11
2011-12-13,22.68,2.74,1.15
2011-12-14,22.32,2.7,1.17
2011-12-15,21.82,2.64,1.19
2011-12-16,22.43,2.71,1.16
2011-12-19,22.49,2.72,1.16
2011-12-20,22.4,2.71,1.16
2011-12-21,21.88,2.65,1.19
2011-12-22,21.68,2.62,1.2
2011-12-23,21.83,2.64,1.19
2011-12-26,21.62,2.62,1.2
2011-12-27,21.06,2.55,1.23
2011-12-28,20.93,2.54,1.24
2011-12-29,11.36,2.54,1.24
2011-12-30,21.36,2.59,1.21
2012-01-04,20.79,2.52,1.24
2012-01-05,20.04,2.43,1.29
2012-01-06,20.13,2.45,1.28
2012-01-09,20.88,2.54,1.23
2012-01-10,21.68,2.64,1.19
2012-01-11,21.67,2.64,1.19
2012-01-12,21.56,2.63,1.19
2012-01-13,20.79,2.53,1.24
2012-01-16,20.1,2.45,1.28
2012-01-17,21.14,2.58,1.21
2012-01-18,20.55,2.51,1.25
2012-01-19,20.81,2.54,1.23
2012-01-20,21.15,2.58,1.21
2012-01-30,21.01,2.56,1.22
2012-01-31,21.01,2.56,1.21
2012-02-01,20.89,2.55,1.22
2012-02-02,21.29,2.6,1.2
2012-02-03,21.62,2.64,1.18
2012-02-06,21.79,2.66,1.17
2012-02-07,21.41,2.61,1.19
2012-02-08,22.0,2.69,1.16
2012-02-09,22.12,2.7,1.15
2012-02-10,22.24,2.72,1.15
2012-02-13,22.45,2.74,1.13
2012-02-14,22.45,2.74,1.13
2012-02-15,22.78,2.78,1.12
2012-02-16,22.73,2.78,1.12
2012-02-17,22.67,2.77,1.12
2012-02-20,22.72,2.78,1.12
2012-02-21,22.99,2.81,1.11
2012-02-22,23.5,2.87,1.08
2012-02-23,23.62,2.88,1.08
2012-02-24,23.96,2.93,1.06
2012-02-27,24.03,2.93,1.06
2012-02-28,23.88,2.92,1.07
2012-02-29,23.58,2.88,1.08
2012-03-01,23.68,2.89,1.08
2012-03-02,24.18,2.95,1.05
2012-03-05,24.19,2.95,1.05
2012-03-06,23.95,2.93,1.06
2012-03-07,23.84,2.91,1.07
2012-03-08,24.16,2.95,1.05
2012-03-09,24.57,3.0,1.04
2012-03-12,24.67,3.02,1.03
2012-03-13,24.93,3.05,1.02
2012-03-14,23.91,2.92,1.06
2012-03-15,23.74,2.9,1.07
2012-03-16,24.3,2.97,1.05
2012-03-19,24.58,3.01,1.03
2012-03-20,24.03,2.94,1.06
