,pe,pb,dyr
2011-05-03,37.96,4.41,0.78
2011-05-04,37.21,4.32,0.8
2011-05-05,37.34,4.33,0.8
2011-05-06,37.55,4.36,0.8
2011-05-09,37.79,4.39,0.79
2011-05-10,37.95,4.41,0.79
2011-05-11,38.0,4.41,0.79
2011-05-12,37.38,4.34,0.8
2011-05-13,37.5,4.36,0.79
2011-05-16,37.54,4.36,0.79
2011-05-17,37.48,4.35,0.79
2011-05-18,37.58,4.36,0.79
2011-05-19,37.49,4.35,0.79
2011-05-20,37.31,4.34,0.79
2011-05-23,35.99,4.18,0.82
2011-05-24,35.91,4.18,0.82
2011-05-25,35.32,4.11,0.83
2011-05-26,34.92,4.06,0.84
2011-05-27,34.04,3.96,0.85
2011-05-30,33.68,3.92,0.86
2011-05-31,34.28,3.99,0.79
2011-06-01,34.69,4.04,0.79
2011-06-02,34.11,3.99,0.8
2011-06-03,34.74,4.06,0.79
2011-06-07,35.01,4.1,0.78
2011-06-08,35.12,4.11,0.78
2011-06-09,34.41,4.03,0.79
2011-06-10,34.28,4.02,0.79
2011-06-13,34.18,4.01,0.79
2011-06-14,34.67,4.07,0.78
2011-06-15,34.37,4.03,0.79
2011-06-16,33.7,3.95,0.8
2011-06-17,33.31,3.91,0.81
2011-06-20,32.9,3.86,0.82
2011-06-21,33.38,3.92,0.8
2011-06-22,33.39,3.93,0.81
2011-06-23,34.11,4.01,0.79
2011-06-24,34.92,4.11,0.77
2011-06-27,35.44,4.17,0.77
2011-06-28,35.57,4.19,0.77
2011-06-29,35.23,4.15,0.78
2011-06-30,35.9,4.2,0.79
2011-07-01,36.13,4.22,0.78
2011-07-04,18.55,4.33,0.77
2011-07-05,37.32,4.36,0.76
2011-07-06,37.59,4.39,0.76
2011-07-07,37.74,4.42,0.77
2011-07-08,37.63,4.4,0.77
2011-07-11,37.97,4.44,0.76
2011-07-12,37.46,4.38,0.77
2011-07-13,38.19,4.47,0.76
2011-07-14,38.51,4.51,0.75
2011-07-15,38.86,4.56,0.75
2011-07-18,38.95,4.57,0.75
2011-07-19,38.38,4.5,0.76
2011-07-20,38.52,4.52,0.76
2011-07-21,38.01,4.46,0.76
2011-07-22,38.2,4.49,0.76
2011-07-25,36.73,4.31,0.79
2011-07-26,36.91,4.33,0.79
2011-07-27,37.64,4.42,0.78
2011-07-28,37.71,4.44,0.78
2011-07-29,37.38,4.4,0.89
2011-08-01,37.51,4.42,0.89
2011-08-02,37.42,4.41,0.89
2011-08-03,37.67,4.44,0.89
2011-08-04,37.78,4.45,0.89
2011-08-05,37.12,4.38,0.9
2011-08-08,35.47,4.18,0.94
2011-08-09,35.47,4.18,0.94
2011-08-10,35.98,4.25,0.93
2011-08-11,36.63,4.32,0.91
2011-08-12,37.07,4.37,0.91
2011-08-15,37.6,4.44,0.89
2011-08-16,37.35,4.41,0.9
2011-08-17,37.26,4.4,0.91
2011-08-18,36.55,4.32,0.92
2011-08-19,36.31,4.29,0.93
2011-08-22,36.01,4.25,0.94
2011-08-23,36.64,4.33,0.92
2011-08-24,36.73,4.34,0.92
2011-08-25,37.29,4.41,0.9
2011-08-26,37.42,4.42,0.9
2011-08-29,37.16,4.39,0.91
2011-08-30,36.85,4.36,0.91
2011-08-31,36.56,4.33,0.87
2011-09-01,34.59,4.14,0.87
2011-09-02,34.22,4.09,0.88
2011-09-05,33.44,4.0,0.91
2011-09-06,33.1,3.96,0.92
2011-09-07,33.91,4.06,0.9
2011-09-08,33.59,4.02,0.9
2011-09-09,33.4,4.0,0.91
2011-09-13,32.8,3.93,0.92
2011-09-14,33.12,3.97,0.91
2011-09-15,33.24,3.98,0.91
2011-09-16,33.21,3.98,0.91
2011-09-19,32.51,3.89,0.93
2011-09-20,32.64,3.91,0.92
2011-09-21,33.57,4.03,0.9
2011-09-22,32.67,3.92,0.92
2011-09-23,32.35,3.88,0.93
2011-09-26,31.87,3.82,0.95
2011-09-27,31.93,3.83,0.94
2011-09-28,31.43,3.77,0.95
2011-09-29,30.53,3.66,0.98
2011-09-30,30.48,3.66,0.98
2011-10-10,30.31,3.64,0.99
2011-10-11,30.2,3.62,1.0
2011-10-12,31.25,3.75,0.97
2011-10-13,31.69,3.81,0.96
2011-10-14,31.59,3.8,0.96
2011-10-17,31.85,3.83,0.96
2011-10-18,31.04,3.73,0.99
2011-10-19,30.87,3.71,1.0
2011-10-20,29.98,3.6,1.03
2011-10-21,29.47,3.54,1.04
2011-10-24,29.96,3.6,1.02
2011-10-25,30.76,3.7,1.0
2011-10-26,31.01,3.73,0.99
2011-10-27,31.01,3.73,0.99
2011-10-28,31.63,3.8,0.96
2011-10-31,31.89,3.84,0.96
2011-11-01,31.11,3.63,0.96
2011-11-02,31.71,3.7,0.95
2011-11-03,31.82,3.72,0.94
2011-11-04,31.97,3.74,0.93
2011-11-07,31.82,3.72,0.94
2011-11-08,31.48,3.68,0.94
2011-11-09,32.02,3.74,0.93
2011-11-10,31.67,3.7,0.95
2011-11-11,31.63,3.7,0.95
2011-11-14,32.43,3.8,0.93
2011-11-15,32.61,3.82,0.93
2011-11-16,31.73,3.72,0.95
2011-11-17,31.76,3.72,0.95
