,name,pe,pe_ratio,pe_state,pe_min,pe_max,pe_median,pe_mean,pe_drop,pe_q10,pe_q20,pe_q40,pe_q50,pe_q60,pe_q80,pe_q90,pb,pb_ratio,pb_state,pb_min,pb_max,pb_median,pb_mean,pb_drop,pb_q10,pb_q20,pb_q40,pb_q50,pb_q60,pb_q80,pb_q90,dyr,dyr_ratio,dyr_state,dyr_min,dyr_max,dyr_median,dyr_mean,dyr_drop,dyr_q10,dyr_q20,dyr_q40,dyr_q50,dyr_q60,dyr_q80,dyr_q90,sample,start,update,aid
ZXB,中小板,13.62,0.0,极低,13.62,84.11,35.26,36.51,0.0,24.65,26.72,31.96,35.26,38.28,45.75,48.9,2.87,26.56,偏低,1.4,8.67,3.34,3.56,-51.22,2.51,2.77,3.08,3.34,3.62,4.38,4.78,0.98,43.77,合理,0.29,5.28,1.05,1.14,-70.41,0.51,0.7,0.95,1.05,1.15,1.48,1.97,2127,2011-05-03,2020-01-22,10
SHA,上海A股,16.75,91.4,极高,9.27,59.05,13.31,13.64,-44.66,10.2,10.99,12.75,13.31,14.15,15.92,16.66,1.46,25.29,偏低,1.24,4.94,1.66,1.7,-15.07,1.37,1.42,1.58,1.66,1.72,1.89,2.09,2.11,48.19,合理,0.16,5.95,2.12,2.21,-92.42,1.69,1.83,2.02,2.12,2.29,2.69,2.91,2127,2011-05-03,2020-01-22,10
SZB,深市主板,46.53,99.95,极高,9.48,46.53,19.73,21.67,-79.63,15.86,16.74,18.55,19.73,22.53,25.58,30.58,1.87,18.99,较低,1.42,5.66,2.27,2.44,-24.06,1.73,1.88,2.16,2.27,2.41,2.85,3.49,1.48,60.23,偏高,0.36,6.32,1.22,1.61,-75.68,0.84,0.95,1.13,1.22,1.47,1.89,2.26,2127,2011-05-03,2020-01-22,10
SZA,深圳A股,17.18,0.28,极低,9.32,68.35,26.68,29.54,-45.75,21.81,23.03,25.2,26.68,28.98,37.0,40.07,2.66,37.94,偏低,1.69,6.86,2.9,3.1,-36.47,2.31,2.46,2.68,2.9,3.15,3.72,3.99,1.01,38.32,偏低,0.32,5.34,1.08,1.17,-68.32,0.59,0.79,1.02,1.08,1.14,1.36,1.75,2127,2011-05-03,2020-01-22,10
CYB,创业板,25.71,11.57,较低,9.91,147.06,45.78,49.59,-61.45,24.46,32.17,41.29,45.78,50.95,64.26,75.07,4.3,55.62,合理,1.38,13.05,4.13,4.54,-67.91,2.73,2.98,3.71,4.13,4.5,5.89,6.9,0.5,45.89,合理,0.14,2.86,0.52,0.63,-72.0,0.25,0.33,0.47,0.52,0.59,0.97,1.2,2127,2011-05-03,2020-01-22,10
HSA,沪深A股,28.41,98.59,极高,11.69,54.22,16.03,17.1,-58.85,12.81,13.44,15.13,16.03,18.0,20.68,21.67,1.79,32.68,偏低,1.43,3.95,2.01,2.06,-20.11,1.63,1.7,1.86,2.01,2.14,2.3,2.55,1.66,35.35,偏低,0.29,2.91,1.81,1.82,-82.53,1.31,1.47,1.73,1.81,1.89,2.2,2.33,2127,2011-05-03,2020-01-22,10
ZXB,中小板,13.62,0.0,极低,13.62,84.11,38.89,38.64,0.0,23.69,25.53,35.81,38.89,42.75,47.75,53.01,2.87,30.66,偏低,1.53,8.67,3.8,3.85,-46.69,2.44,2.57,3.59,3.8,4.22,4.71,5.47,0.98,47.38,合理,0.29,5.28,1.02,1.18,-70.41,0.46,0.54,0.93,1.02,1.12,1.94,2.04,1220,2015-01-23,2020-01-22,5
SHA,上海A股,16.75,85.57,较高,11.12,24.14,14.91,15.05,-33.61,12.76,13.2,14.24,14.91,15.58,16.52,16.99,1.46,23.77,偏低,1.24,4.94,1.69,1.72,-15.07,1.38,1.44,1.64,1.69,1.73,1.83,2.09,2.11,65.66,偏高,0.16,5.95,1.95,1.99,-92.42,1.66,1.74,1.87,1.95,2.04,2.3,2.45,1220,2015-01-23,2020-01-22,5
SZB,深市主板,46.53,99.92,极高,12.06,46.53,22.07,21.35,-74.08,14.89,16.01,18.68,22.07,23.43,25.24,26.55,1.87,27.87,偏低,1.42,5.66,2.35,2.34,-24.06,1.66,1.75,2.25,2.35,2.47,2.65,3.04,1.48,30.9,偏低,0.49,6.32,1.72,1.97,-66.89,0.81,0.94,1.62,1.72,1.84,2.22,4.42,1220,2015-01-23,2020-01-22,5
SZA,深圳A股,17.18,0.0,极低,17.18,68.35,33.4,32.5,0.0,21.58,22.99,28.49,33.4,35.28,39.58,43.6,2.66,30.41,偏低,1.85,6.86,3.26,3.33,-30.45,2.25,2.38,3.08,3.26,3.6,3.94,4.6,1.01,31.89,偏低,0.32,5.34,1.12,1.26,-68.32,0.52,0.61,1.07,1.12,1.16,1.72,2.38,1220,2015-01-23,2020-01-22,5
