,pe,pb,dyr
2011-05-03,48.85,3.76,0.67
2011-05-04,47.87,3.69,0.68
2011-05-05,48.27,3.73,0.68
2011-05-06,48.46,3.74,0.68
2011-05-09,48.97,3.78,0.67
2011-05-10,48.98,3.78,0.67
2011-05-11,48.93,3.82,0.67
2011-05-12,47.94,3.74,0.68
2011-05-13,48.0,3.74,0.68
2011-05-16,47.88,3.73,0.68
2011-05-17,47.44,3.7,0.68
2011-05-18,47.01,3.71,0.67
2011-05-19,46.65,3.68,0.68
2011-05-20,46.15,3.64,0.68
2011-05-23,44.39,3.5,0.7
2011-05-24,45.66,3.6,0.7
2011-05-25,44.18,3.51,0.72
2011-05-26,43.46,3.45,0.73
2011-05-27,43.03,3.41,0.74
2011-05-30,43.43,3.45,0.75
2011-05-31,43.85,3.53,1.0
2011-06-01,44.17,3.55,0.99
2011-06-02,43.38,3.49,1.0
2011-06-03,44.08,3.55,0.98
2011-06-07,44.16,3.55,0.97
2011-06-08,43.99,3.55,0.97
2011-06-09,43.13,3.49,0.99
2011-06-10,42.97,3.47,0.99
2011-06-13,43.21,3.49,0.99
2011-06-14,43.63,3.53,0.98
2011-06-15,43.06,3.5,0.99
2011-06-16,42.22,3.43,1.0
2011-06-17,41.79,3.39,1.02
2011-06-20,41.29,3.35,1.03
2011-06-21,41.53,3.37,1.01
2011-06-22,41.12,3.37,1.01
2011-06-23,42.34,3.47,0.99
2011-06-24,43.26,3.54,0.97
2011-06-27,43.8,3.59,0.95
2011-06-28,43.83,3.59,0.95
2011-06-29,43.2,3.57,0.96
2011-06-30,43.67,3.6,1.04
2011-07-01,44.08,3.64,1.03
2011-07-04,37.02,3.72,1.01
2011-07-05,45.48,3.75,1.0
2011-07-06,46.17,3.83,0.99
2011-07-07,46.55,3.86,0.99
2011-07-08,46.24,3.84,0.99
2011-07-11,46.62,3.87,0.98
2011-07-12,45.8,3.82,0.99
2011-07-13,46.96,3.91,0.97
2011-07-14,48.0,4.0,0.97
2011-07-15,48.85,4.07,0.95
2011-07-18,48.61,4.05,0.95
2011-07-19,47.67,3.99,0.97
2011-07-20,47.82,4.0,0.96
2011-07-21,47.16,3.95,0.97
2011-07-22,47.58,3.98,0.97
2011-07-25,45.84,3.84,1.01
2011-07-26,46.09,3.86,1.0
2011-07-27,47.38,3.97,0.98
2011-07-28,47.69,3.99,0.98
2011-07-29,47.24,3.97,0.97
2011-08-01,48.08,4.04,0.97
2011-08-02,48.43,4.07,0.97
2011-08-03,49.12,4.16,0.97
2011-08-04,48.7,4.12,0.96
2011-08-05,47.81,4.05,0.98
2011-08-08,45.7,3.87,1.02
2011-08-09,45.74,3.87,1.02
2011-08-10,46.42,3.93,1.01
2011-08-11,47.57,4.03,0.99
2011-08-12,48.05,4.07,0.98
2011-08-15,48.88,4.14,0.96
2011-08-16,48.51,4.11,0.97
2011-08-17,48.75,4.13,0.97
2011-08-18,47.76,4.06,0.99
2011-08-19,47.6,4.11,1.0
2011-08-22,47.84,4.13,1.0
2011-08-23,49.4,4.27,0.99
2011-08-24,49.52,4.28,0.98
2011-08-25,49.6,4.29,0.97
2011-08-26,50.29,4.36,0.97
2011-08-29,50.25,4.35,0.97
2011-08-30,49.02,4.25,0.98
2011-08-31,48.5,4.21,1.01
2011-09-01,46.62,3.87,1.02
2011-09-02,46.28,3.84,1.03
2011-09-05,45.12,3.75,1.05
2011-09-06,44.41,3.7,1.06
2011-09-07,45.64,3.8,1.04
2011-09-08,45.05,3.76,1.05
2011-09-09,44.54,3.71,1.05
2011-09-13,43.57,3.63,1.07
2011-09-14,44.32,3.69,1.06
2011-09-15,44.32,3.69,1.05
2011-09-16,44.15,3.7,1.06
2011-09-19,42.94,3.6,1.08
2011-09-20,43.07,3.61,1.07
2011-09-21,44.35,3.72,1.04
2011-09-22,42.83,3.59,1.07
2011-09-23,42.47,3.56,1.08
2011-09-26,41.82,3.51,1.1
2011-09-27,41.91,3.55,1.1
2011-09-28,41.17,3.48,1.11
2011-09-29,39.93,3.38,1.14
2011-09-30,39.88,3.37,1.19
2011-10-10,39.79,3.37,1.19
2011-10-11,39.61,3.35,1.2
2011-10-12,41.11,3.49,1.16
2011-10-13,41.91,3.56,1.14
2011-10-14,41.84,3.55,1.14
2011-10-17,42.2,3.58,1.13
2011-10-18,40.88,3.47,1.16
2011-10-19,40.7,3.45,1.17
2011-10-20,39.44,3.35,1.2
2011-10-21,38.47,3.26,1.23
2011-10-24,38.97,3.31,1.21
2011-10-25,40.2,3.41,1.17
2011-10-26,40.87,3.48,1.17
2011-10-27,40.88,3.48,1.17
2011-10-28,41.97,3.58,1.14
2011-10-31,42.84,3.65,1.12
2011-11-01,42.43,3.39,1.12
2011-11-02,43.81,3.54,1.1
2011-11-03,43.57,3.52,1.09
2011-11-04,43.8,3.53,1.08
2011-11-07,43.71,3.53,1.09
2011-11-08,42.96,3.47,1.1
2011-11-09,44.22,3.57,1.08
2011-11-10,44.42,3.59,1.09
2011-11-11,44.28,3.57,1.09
2011-11-14,45.65,3.68,1.06
2011-11-15,45.86,3.71,1.06
2011-11-16,44.5,3.6,1.09
2011-11-17,45.06,3.64,1.09
2011-11-18,43.73,3.54,1.12
2011-11-21,43.23,3.5,1.11
2011-11-22,43.39,3.51,1.11
2011-11-23,43.32,3.51,1.12
2011-11-24,43.49,3.52,1.12
2011-11-25,43.1,3.49,1.12
2011-11-28,43.16,3.5,1.12
2011-11-29,43.72,3.54,1.1
2011-11-30,41.51,3.36,1.15
2011-12-01,42.37,3.43,1.12
2011-12-02,41.25,3.34,1.15
2011-12-05,39.43,3.19,1.18
2011-12-06,39.88,3.23,1.18
2011-12-07,40.14,3.25,1.18
2011-12-08,40.52,3.28,1.17
2011-12-09,40.12,3.25,1.18
2011-12-12,39.71,3.22,1.2
2011-12-13,38.57,3.13,1.24
2011-12-14,37.9,3.07,1.26
2011-12-15,37.47,3.04,1.28
2011-12-16,38.93,3.16,1.25
2011-12-19,39.57,3.21,1.24
2011-12-20,38.99,3.16,1.25
2011-12-21,38.03,3.09,1.28
2011-12-22,37.67,3.06,1.29
2011-12-23,37.8,3.07,1.28
2011-12-26,37.34,3.03,1.29
2011-12-27,35.95,2.92,1.33
2011-12-28,35.49,2.88,1.33
2011-12-29,25.37,2.89,1.33
2011-12-30,36.06,2.94,1.3
2012-01-04,34.85,2.84,1.34
2012-01-05,32.91,2.69,1.4
2012-01-06,32.98,2.69,1.38
2012-01-09,34.19,2.79,1.34
2012-01-10,35.26,2.9,1.29
2012-01-11,35.3,2.9,1.29
2012-01-12,34.82,2.86,1.29
2012-01-13,32.71,2.7,1.35
2012-01-16,31.12,2.57,1.4
2012-01-17,32.6,2.69,1.33
2012-01-18,30.69,2.53,1.37
2012-01-19,31.13,2.57,1.36
2012-01-20,31.7,2.61,1.34
2012-01-30,31.97,2.64,1.34
2012-01-31,31.82,2.62,1.34
2012-02-01,31.92,2.64,1.35
2012-02-02,32.58,2.69,1.32
2012-02-03,33.32,2.75,1.3
2012-02-06,33.65,2.78,1.28
2012-02-07,33.0,2.73,1.3
2012-02-08,33.89,2.8,1.27
2012-02-09,34.24,2.83,1.26
2012-02-10,34.3,2.84,1.25
2012-02-13,35.08,2.9,1.24
2012-02-14,34.96,2.89,1.24
2012-02-15,35.55,2.94,1.22
2012-02-16,35.45,2.95,1.22
2012-02-17,35.24,2.93,1.23
2012-02-20,35.42,2.94,1.22
2012-02-21,36.16,3.01,1.21
2012-02-22,37.29,3.1,1.18
2012-02-23,37.41,3.11,1.17
2012-02-24,37.73,3.14,1.16
2012-02-27,37.7,3.13,1.16
2012-02-28,37.21,3.09,1.17
2012-02-29,36.53,3.04,1.19
2012-03-01,36.85,3.07,1.18
2012-03-02,37.58,3.13,1.16
2012-03-05,37.67,3.14,1.16
2012-03-06,37.23,3.1,1.17
2012-03-07,37.19,3.1,1.17
2012-03-08,37.6,3.16,1.15
2012-03-09,38.45,3.23,1.13
2012-03-12,38.81,3.26,1.12
2012-03-13,39.18,3.29,1.11
2012-03-14,37.41,3.14,1.16
2012-03-15,37.18,3.14,1.16
2012-03-16,38.0,3.21,1.13
2012-03-19,38.61,3.28,1.12
2012-03-20,37.34,3.18,1.14
2012-03-21,37.09,3.17,1.14
2012-03-22,37.1,3.17,1.14
2012-03-23,36.41,3.11,1.16
2012-03-26,36.35,3.11,1.16
2012-03-27,36.28,3.1,1.16
2012-03-28,34.42,2.94,1.22
2012-03-29,32.89,2.93,1.24
2012-03-30,32.64,2.9,1.24
2012-04-05,33.51,2.98,1.2
2012-04-06,33.7,3.0,1.19
2012-04-09,33.21,2.95,1.2
2012-04-10,33.64,3.0,1.19
2012-04-11,33.68,3.01,1.19
2012-04-12,34.33,3.06,1.17
2012-04-13,34.56,3.08,1.16
2012-04-16,34.37,3.07,1.16
2012-04-17,34.1,3.04,1.18
2012-04-18,34.82,3.11,1.16
2012-04-19,34.96,3.12,1.16
2012-04-20,35.21,3.14,1.15
2012-04-23,33.37,2.98,1.18
2012-04-24,32.86,2.93,1.19
2012-04-25,23.35,2.95,1.18
2012-04-26,32.74,2.93,1.18
2012-04-27,33.05,2.96,1.12
2012-05-02,32.95,2.69,1.1
2012-05-03,33.25,2.72,1.09
2012-05-04,33.92,2.77,1.08
2012-05-07,34.73,2.84,1.06
2012-05-08,34.75,2.85,1.06
2012-05-09,34.2,2.81,1.08
2012-05-10,34.56,2.84,1.07
2012-05-11,33.98,2.84,1.08
2012-05-14,33.91,2.83,1.09
2012-05-15,33.89,2.83,1.09
