,name,pe,pe_ratio,pe_state,pe_min,pe_max,pe_median,pe_mean,pe_drop,pe_q10,pe_q20,pe_q40,pe_q50,pe_q60,pe_q80,pe_q90,pb,pb_ratio,pb_state,pb_min,pb_max,pb_median,pb_mean,pb_drop,pb_q10,pb_q20,pb_q40,pb_q50,pb_q60,pb_q80,pb_q90,ps,ps_ratio,ps_state,ps_min,ps_max,ps_median,ps_mean,ps_drop,ps_q10,ps_q20,ps_q40,ps_q50,ps_q60,ps_q80,ps_q90,pcf,pcf_ratio,pcf_state,pcf_min,pcf_max,pcf_median,pcf_mean,pcf_drop,pcf_q10,pcf_q20,pcf_q40,pcf_q50,pcf_q60,pcf_q80,pcf_q90,roe,roe_ratio,roe_state,roe_min,roe_max,roe_median,roe_mean,roe_drop,roe_q10,roe_q20,roe_q40,roe_q50,roe_q60,roe_q80,roe_q90,dyr,dyr_ratio,dyr_state,dyr_min,dyr_max,dyr_median,dyr_mean,dyr_drop,dyr_q10,dyr_q20,dyr_q40,dyr_q50,dyr_q60,dyr_q80,dyr_q90,cap,roe,roe_mean,Profit_margin,income,profit,peg,industry,sample,start,update,aid
600036.XSHG,招商银行,9.48,80.18,较高,4.55,12.54,7.52,7.47,-52.0,4.83,5.34,7.3,7.52,7.7,9.46,10.28,1.49,78.95,偏高,0.85,1.96,1.2,1.25,-42.95,0.92,1.04,1.17,1.2,1.26,1.51,1.61,3.06,81.16,较高,1.65,4.0,2.28,2.43,-46.08,1.85,2.03,2.2,2.28,2.36,3.0,3.28,8.26,78.71,偏高,-11.02,31.9,2.74,3.03,-233.41,-5.68,-3.31,0.73,2.74,5.7,8.37,12.85,15.73,31.04,偏低,14.62,22.77,16.76,17.08,-7.06,15.47,15.64,15.79,16.76,17.53,18.77,19.21,2.99,19.16,较低,2.09,6.4,3.82,3.99,-30.1,2.63,3.02,3.7,3.82,3.96,5.1,5.51,767.81,15.81,17.98,,14.52,9.23,1.03,银行I,1221,2013-08-12,2018-08-10,5
600000.XSHG,浦发银行,5.46,29.07,偏低,3.89,7.59,6.37,5.97,-28.75,4.26,4.69,6.1,6.37,6.58,6.83,6.99,0.75,2.7,极低,0.68,1.25,0.99,0.97,-9.33,0.81,0.84,0.96,0.99,1.01,1.07,1.13,1.79,16.71,较低,1.55,2.82,2.2,2.13,-13.41,1.7,1.82,2.16,2.2,2.24,2.34,2.43,11.85,96.89,极高,-76.16,12.98,-2.66,-5.72,-742.7,-8.96,-6.27,-3.3,-2.66,-1.96,3.76,5.02,13.68,4.18,极低,13.58,20.35,16.43,16.52,-0.73,13.72,14.65,15.51,16.43,16.62,18.99,19.63,0.99,0.08,极低,0.98,7.4,4.01,3.76,-1.01,1.16,1.28,3.01,4.01,4.31,5.6,6.15,299.47,13.62,17.45,,15.46,9.87,0.55,银行I,1221,2013-08-12,2018-08-10,5
600926.XSHG,杭州银行,8.2,4.77,极低,7.57,19.36,12.7,11.96,-7.68,8.85,9.12,10.39,12.7,13.18,14.21,15.07,0.96,7.5,极低,0.88,2.19,1.33,1.3,-8.33,0.97,0.99,1.12,1.33,1.4,1.59,1.7,2.6,4.32,极低,2.4,5.57,3.8,3.65,-7.69,2.81,2.91,3.37,3.8,3.99,4.18,4.37,1.94,58.18,合理,0.87,5.04,1.85,2.19,-55.15,1.08,1.12,1.8,1.85,1.96,3.65,3.92,11.64,94.09,极高,10.09,11.64,10.88,10.88,-13.32,10.47,10.49,10.57,10.88,10.9,11.32,11.34,2.66,61.59,偏高,1.37,2.93,1.8,1.79,-48.5,1.43,1.46,1.68,1.8,1.83,1.91,1.97,38.06,10.04,10.74,,6.77,10.85,0.76,银行I,440,2016-10-27,2018-08-10,5
002142.XSHE,宁波银行,8.47,45.62,合理,4.94,13.21,8.61,8.26,-41.68,5.46,5.76,8.32,8.61,8.89,9.76,10.47,1.4,58.48,合理,0.86,2.16,1.35,1.38,-38.57,0.98,1.05,1.3,1.35,1.41,1.7,1.79,3.28,69.94,偏高,1.88,4.78,2.92,2.96,-42.68,2.12,2.25,2.81,2.92,3.08,3.48,3.83,135.43,96.81,极高,-52.28,143.32,3.19,8.92,-138.6,-8.64,-2.11,1.13,3.19,5.43,11.08,19.17,16.49,41.93,合理,13.44,19.01,16.6,16.78,-18.5,15.01,15.5,16.38,16.6,17.4,18.25,18.41,2.33,29.16,偏低,1.25,4.6,2.6,2.49,-46.35,1.55,1.71,2.49,2.6,2.71,2.85,3.09,48.12,17.42,17.92,,19.81,18.08,0.47,银行I,1221,2013-08-12,2018-08-10,5
601939.XSHG,建设银行,6.96,73.55,偏高,4.37,10.27,6.05,6.12,-37.21,4.62,5.07,5.67,6.05,6.39,7.24,7.58,1.02,53.32,合理,0.78,1.47,0.99,1.01,-23.53,0.85,0.88,0.93,0.99,1.04,1.12,1.23,2.7,70.76,偏高,1.78,4.06,2.3,2.41,-34.07,1.91,1.97,2.19,2.3,2.47,2.86,2.99,35.28,86.73,较高,-71.53,86.25,11.31,10.07,-302.75,-13.07,-10.59,6.5,11.31,13.41,22.45,37.24,14.6,17.85,较低,14.0,20.91,16.76,16.77,-4.11,14.28,14.64,15.28,16.76,17.53,19.33,19.87,4.74,27.03,偏低,3.08,7.75,5.21,5.47,-35.02,4.35,4.64,4.98,5.21,5.46,6.4,6.84,3268.62,14.36,17.47,,6.27,4.7,1.48,银行I,1221,2013-08-12,2018-08-10,5
601128.XSHG,常熟银行,9.74,7.05,极低,-4.84,31.09,20.2,18.75,-149.69,10.23,12.18,14.85,20.2,22.05,25.17,27.23,1.22,5.73,极低,1.18,3.3,2.17,2.09,-3.28,1.32,1.49,1.74,2.17,2.39,2.68,2.88,2.5,7.05,极低,-1.76,7.21,4.79,4.46,-170.4,2.63,3.11,3.65,4.79,5.09,5.92,6.33,4.39,83.48,较高,-57.26,28.42,-38.4,-24.74,-1404.33,-49.91,-43.42,-39.34,-38.4,-12.51,4.29,5.13,12.56,86.78,较高,-40.08,12.56,11.06,10.98,-419.11,10.37,10.55,10.97,11.06,11.37,12.13,12.56,3.12,59.47,合理,1.52,3.24,2.39,2.31,-51.28,1.61,1.69,2.25,2.39,2.49,2.67,3.12,8.78,12.31,11.9,,19.9,14.61,0.67,银行I,454,2016-09-30,2018-08-10,5
600016.XSHG,民生银行,5.16,17.69,较低,4.61,8.65,6.56,6.4,-10.66,4.92,5.23,6.23,6.56,6.86,7.23,7.44,0.7,1.8,极低,0.66,1.59,1.05,1.06,-5.71,0.83,0.87,1.01,1.05,1.07,1.21,1.37,1.8,10.16,较低,1.65,2.86,2.11,2.12,-8.33,1.79,1.9,2.05,2.11,2.15,2.28,2.48,-8.2,43.57,合理,-72.23,166.96,-7.9,-9.02,,-41.06,-23.93,-8.57,-7.9,-4.9,-1.83,12.39,13.6,14.91,较低,13.44,22.47,15.76,16.66,-1.18,13.56,13.93,14.9,15.76,16.3,19.81,21.26,1.3,42.51,合理,0.67,2.27,1.34,1.4,-48.46,0.81,1.09,1.27,1.34,1.47,1.74,2.05,431.56,13.78,17.86,,7.36,5.86,0.88,银行I,1221,2013-08-12,2018-08-10,5
601288.XSHG,农业银行,6.45,80.18,较高,4.4,8.13,5.74,5.77,-31.78,4.69,5.08,5.65,5.74,5.88,6.43,6.67,0.89,40.62,合理,0.77,1.24,0.9,0.92,-13.48,0.8,0.82,0.88,0.9,0.92,1.01,1.07,2.32,82.8,较高,1.58,2.92,1.99,2.03,-31.9,1.68,1.79,1.93,1.99,2.08,2.3,2.37,14.35,92.79,极高,-29.05,191.62,-1.76,5.59,-302.44,-13.47,-8.05,-3.23,-1.76,5.09,10.67,13.39,13.78,2.29,极低,13.49,19.96,15.36,16.12,-2.1,13.89,14.31,14.86,15.36,16.01,18.96,19.31,4.62,15.4,较低,3.58,7.53,5.33,5.48,-22.51,4.52,4.7,5.18,5.33,5.69,6.26,6.6,2095.61,14.04,17.01,,5.13,5.98,1.08,银行I,1221,2013-08-12,2018-08-10,5
601818.XSHG,光大银行,5.89,34.23,偏低,4.14,10.24,6.1,6.05,-29.71,4.41,4.61,5.97,6.1,6.28,6.79,7.45,0.72,8.27,极低,0.68,1.59,0.8,0.86,-5.56,0.72,0.74,0.78,0.8,0.85,0.94,1.11,2.01,50.94,合理,1.68,3.59,2.0,2.12,-16.42,1.78,1.82,1.92,2.0,2.06,2.33,2.69,-2.36,41.77,合理,-15.84,9.27,4.31,1.13,,-8.37,-3.31,-2.49,4.31,5.71,7.08,7.35,12.25,18.1,较低,11.45,20.27,13.64,14.47,-6.53,12.08,12.69,13.36,13.64,14.05,16.39,17.17,5.27,90.42,极高,1.78,7.2,4.03,3.72,-66.22,2.03,2.15,2.98,4.03,4.49,4.96,5.24,297.27,11.32,15.19,,9.3,6.06,0.97,银行I,1221,2013-08-12,2018-08-10,5
601997.XSHG,贵阳银行,5.84,3.09,极低,5.68,14.82,9.13,9.03,-2.74,6.5,7.46,8.48,9.13,9.53,10.73,11.07,1.09,3.51,极低,1.05,3.11,1.62,1.64,-3.67,1.18,1.34,1.53,1.62,1.68,1.87,2.0,2.15,2.47,极低,2.09,6.2,3.21,3.34,-2.79,2.39,2.66,2.98,3.21,3.35,4.05,4.44,-5.61,21.03,偏低,-16.55,50.76,2.34,10.33,,-6.45,-5.68,2.24,2.34,4.09,44.21,47.3,18.69,85.57,较高,15.66,21.02,17.91,18.08,-16.21,16.92,17.34,17.82,17.91,18.03,18.33,18.69,2.75,56.29,合理,1.49,2.83,1.77,1.86,-45.82,1.64,1.69,1.74,1.77,1.81,1.93,2.14,14.76,19.47,20.07,,27.33,18.7,0.31,银行I,485,2016-08-16,2018-08-10,5
601166.XSHG,兴业银行,5.51,29.81,偏低,3.97,8.5,5.87,5.75,-27.95,4.37,4.93,5.77,5.87,5.97,6.38,6.66,0.81,3.11,极低,0.72,1.44,0.94,0.97,-11.11,0.85,0.89,0.92,0.94,0.96,1.05,1.14,2.27,66.75,偏高,1.58,3.29,2.05,2.13,-30.4,1.71,1.82,1.98,2.05,2.16,2.48,2.6,-4.75,6.96,极低,-7.08,23.29,-1.55,0.68,,-4.45,-2.96,-2.04,-1.55,0.85,2.91,3.22,14.63,4.34,极低,13.53,21.41,16.55,17.11,-7.52,14.66,15.26,15.58,16.55,16.96,19.86,20.69,4.22,89.52,较高,2.22,4.85,3.66,3.66,-47.39,3.22,3.4,3.58,3.66,3.76,3.93,4.23,301.53,14.2,17.98,,10.69,10.61,0.52,银行I,1221,2013-08-12,2018-08-10,5
000001.XSHE,平安银行,6.72,20.07,偏低,5.95,12.14,7.16,7.67,-11.46,6.55,6.71,6.98,7.16,7.47,8.59,9.65,0.79,6.55,极低,0.71,1.81,0.97,1.01,-10.13,0.79,0.82,0.93,0.97,1.01,1.15,1.26,1.49,15.89,较低,1.36,3.18,1.85,1.9,-8.72,1.46,1.5,1.77,1.85,1.93,2.28,2.4,2.24,81.74,较高,-26.43,99.09,0.82,1.38,-1279.91,-4.67,-2.06,-0.6,0.82,1.12,2.18,10.86,11.72,26.78,偏低,10.86,15.72,13.29,13.11,-7.34,11.52,11.62,12.1,13.29,13.84,14.69,15.12,1.47,92.87,极高,0.67,1.84,1.3,1.2,-54.42,0.83,0.9,1.21,1.3,1.34,1.4,1.44,131.96,10.92,14.01,,22.63,12.01,0.56,银行I,1221,2013-08-12,2018-08-10,5
