,name,net_profit,net_assets,good_will,good_will_ratio,industry,ipo_date
300459.XSHE,金科文化,20.348,68.2295,63.7668,93.4592,传媒I,2015-05-15
300010.XSHE,立思辰,7.5686,56.4413,41.56,73.6339,计算机I,2009-10-30
300058.XSHE,蓝色光标,10.6055,65.2642,47.1449,72.237,传媒I,2010-02-26
300315.XSHE,掌趣科技,14.216,91.0355,53.918,59.2274,传媒I,2012-05-11
300244.XSHE,迪安诊断,15.1373,36.2932,19.4326,53.5432,医药生物I,2011-07-19
300182.XSHE,捷成股份,22.147,105.0602,55.4743,52.8024,计算机I,2011-02-22
300159.XSHE,新研股份,13.4936,66.0827,28.864,43.6787,国防军工I,2011-01-07
300002.XSHE,神州泰岳,-2.1748,49.7972,20.6262,41.4203,计算机I,2009-10-30
300287.XSHE,飞利信,5.8578,60.0873,23.9783,39.9058,计算机I,2012-02-01
300308.XSHE,中际旭创,16.457,45.3781,17.1676,37.8324,通信I,2012-04-10
300324.XSHE,旋极信息,11.0956,53.2143,19.4198,36.4936,计算机I,2012-06-08
300383.XSHE,光环新网,18.305,67.4835,23.979,35.5332,通信I,2014-01-29
300450.XSHE,先导智能,22.0166,32.4034,10.9234,33.7106,机械设备I,2015-05-18
300347.XSHE,泰格医药,10.8274,31.3956,10.5189,33.5044,医药生物I,2012-08-17
300266.XSHE,兴源环境,0.3543,41.6738,13.5364,32.4817,,2011-09-27
300291.XSHE,华录百纳,-7.9028,60.5242,19.6578,32.4792,传媒I,2012-02-09
300113.XSHE,顺网科技,20.7147,34.1271,10.9929,32.2116,传媒I,2010-08-27
300146.XSHE,汤臣倍健,31.7998,70.5494,22.3844,31.7288,食品饮料I,2010-12-15
300297.XSHE,蓝盾股份,8.0893,43.9513,13.0271,29.6399,计算机I,2012-03-15
300168.XSHE,万达信息,7.0704,35.5759,10.0507,28.2515,计算机I,2011-01-25
300027.XSHE,华谊兄弟,6.4464,110.4193,30.5968,27.7097,传媒I,2009-10-30
300418.XSHE,昆仑万维,29.6881,59.4019,15.3488,25.8389,传媒I,2015-01-21
300199.XSHE,翰宇药业,8.3767,40.1714,8.724,21.717,医药生物I,2011-04-07
300166.XSHE,东方国信,7.9176,47.2679,10.0444,21.25,计算机I,2011-01-25
300133.XSHE,华策影视,10.367,72.2072,13.2941,18.411,传媒I,2010-10-26
300026.XSHE,红日药业,12.2637,69.2816,11.7711,16.9902,医药生物I,2009-10-30
300253.XSHE,卫宁健康,6.9478,30.9557,4.749,15.3412,计算机I,2011-08-18
300197.XSHE,铁汉生态,-2.3653,69.0482,9.1898,13.3092,建筑装饰I,2011-03-29
300115.XSHE,长盈精密,8.5496,47.1754,3.9277,8.3257,电子I,2010-09-02
300257.XSHE,开山股份,3.6548,34.5978,2.5608,7.4016,机械设备I,2011-08-19
300055.XSHE,万邦达,8.2957,60.524,3.9397,6.5094,公用事业I,2010-02-26
300088.XSHE,长信科技,24.897,47.9509,2.7406,5.7154,电子I,2010-05-26
300001.XSHE,特锐德,1.7655,34.1718,1.8673,5.4645,电气设备I,2009-10-30
300376.XSHE,易事特,19.125,48.9136,0.4715,0.9639,电气设备I,2014-01-27
300134.XSHE,大富科技,-5.1413,52.7633,0.3189,0.6044,通信I,2010-10-26
