,name,net_profit,net_assets,good_will,good_will_ratio,industry,ipo_date
300299.XSHE,富春股份,1.3936,12.2858,12.2815,99.9646,传媒I,2012-03-19
300459.XSHE,金科文化,20.348,68.2295,63.7668,93.4592,传媒I,2015-05-15
300143.XSHE,盈康生命,2.4167,20.551,19.1884,93.3697,医药生物I,2010-12-09
300071.XSHE,华谊嘉信,0.3985,9.3702,8.46,90.286,传媒I,2010-04-21
300344.XSHE,太空智造,1.6244,5.3887,4.717,87.5356,计算机I,2012-08-01
300465.XSHE,高伟达,1.2879,11.3223,9.1902,81.1692,计算机I,2015-05-28
300478.XSHE,杭州高新,0.4112,5.9239,4.6929,79.2202,化工I,2015-06-10
300149.XSHE,量子生物,5.8009,21.6149,16.4782,76.2353,医药生物I,2010-12-22
300269.XSHE,联建光电,3.3955,50.9281,38.429,75.4573,传媒I,2011-10-12
300280.XSHE,紫天科技,3.4153,13.2152,9.8905,74.8418,传媒I,2011-12-29
300010.XSHE,立思辰,7.5686,56.4413,41.56,73.6339,计算机I,2009-10-30
300318.XSHE,博晖创新,0.9318,11.8252,8.5706,72.4775,医药生物I,2012-05-23
300058.XSHE,蓝色光标,10.6055,65.2642,47.1449,72.237,传媒I,2010-02-26
300343.XSHE,联创股份,7.4817,45.5624,32.6971,71.7633,传媒I,2012-08-01
300467.XSHE,迅游科技,7.2048,31.8185,22.7007,71.3445,传媒I,2015-05-27
300326.XSHE,凯利泰,4.851,21.9843,15.0356,68.3923,医药生物I,2012-06-13
300192.XSHE,科斯伍德,2.4137,8.7782,5.9644,67.945,传媒I,2011-03-22
300089.XSHE,文化长城,8.5923,23.7656,16.0719,67.6268,传媒I,2010-06-25
300061.XSHE,旗天科技,14.1932,34.7546,23.3972,67.3211,传媒I,2010-03-19
300359.XSHE,全通教育,0.9931,21.534,13.9338,64.706,传媒I,2014-01-21
300242.XSHE,佳云科技,-1.5402,23.2131,14.9377,64.3502,传媒I,2011-07-12
300148.XSHE,天舟文化,5.2653,44.2783,28.434,64.2166,传媒I,2010-12-15
300292.XSHE,吴通控股,2.5135,28.0427,17.7412,63.2649,传媒I,2012-02-29
300338.XSHE,开元股份,4.0772,22.5624,14.1824,62.8587,传媒I,2012-07-26
300051.XSHE,三五互联,-0.0643,10.5472,6.5531,62.1318,传媒I,2010-02-11
300311.XSHE,任子行,3.5835,13.9286,8.4876,60.9368,计算机I,2012-04-25
300038.XSHE,数知科技,19.6133,104.8662,63.7268,60.7697,传媒I,2010-01-08
300449.XSHE,汉邦高科,1.8585,14.8488,8.8985,59.9274,计算机I,2015-04-22
300276.XSHE,三丰智能,14.1048,34.9089,20.7182,59.3493,机械设备I,2011-11-15
300315.XSHE,掌趣科技,14.216,91.0355,53.918,59.2274,传媒I,2012-05-11
300145.XSHE,中金环境,18.3569,51.3356,29.69,57.8352,机械设备I,2010-12-09
300353.XSHE,东土科技,1.452,22.2107,12.745,57.382,通信I,2012-09-27
300473.XSHE,德尔股份,5.0018,19.6252,11.2369,57.2575,汽车I,2015-06-12
300339.XSHE,润和软件,7.758,46.3566,26.1585,56.4288,计算机I,2012-07-18
300350.XSHE,华鹏飞,3.9145,17.9019,10.0075,55.9021,交通运输I,2012-08-21
300461.XSHE,田中精机,6.8054,5.9046,3.2994,55.878,机械设备I,2015-05-19
300423.XSHE,鲁亿通,12.7924,27.6712,15.2329,55.0494,电气设备I,2015-02-17
300174.XSHE,元力股份,1.9328,7.6222,4.1873,54.9359,化工I,2011-02-01
300123.XSHE,亚光科技,3.9493,47.5821,26.0074,54.658,国防军工I,2010-09-28
300130.XSHE,新国都,6.1657,20.2992,11.086,54.6131,计算机I,2010-10-19
300031.XSHE,宝通科技,8.2425,22.8176,12.4049,54.3658,传媒I,2009-12-25
300244.XSHE,迪安诊断,15.1373,36.2932,19.4326,53.5432,医药生物I,2011-07-19
300278.XSHE,华昌达,-2.0824,16.662,8.8772,53.2784,机械设备I,2011-12-16
300510.XSHE,金冠股份,4.4628,41.9587,22.2858,53.1136,电气设备I,2016-05-06
300182.XSHE,捷成股份,22.147,105.0602,55.4743,52.8024,传媒I,2011-02-22
300411.XSHE,金盾股份,2.1155,34.6764,18.2809,52.7187,机械设备I,2014-12-31
300513.XSHE,恒实科技,2.9993,22.8592,11.9235,52.1604,通信I,2016-05-30
300184.XSHE,力源信息,9.1471,45.2117,23.3712,51.6928,电子I,2011-02-22
300250.XSHE,初灵信息,4.0129,16.0171,8.23,51.3829,计算机I,2011-08-03
300063.XSHE,天龙集团,3.32,20.7618,10.46,50.381,传媒I,2010-03-26
300238.XSHE,冠昊生物,1.7934,11.3115,5.6931,50.3299,医药生物I,2011-07-06
300472.XSHE,新元科技,0.4936,12.2516,6.1633,50.3065,机械设备I,2015-06-11
300370.XSHE,安控科技,3.0718,15.6594,7.8032,49.8307,机械设备I,2014-01-23
300410.XSHE,正业科技,5.0872,21.6313,10.7722,49.7992,机械设备I,2014-12-31
300451.XSHE,创业慧康,5.2496,22.2739,11.08,49.7446,计算机I,2015-05-14
300131.XSHE,英唐智控,8.965,19.2738,9.559,49.596,电子I,2010-10-19
300427.XSHE,红相股份,5.4889,21.7127,10.6968,49.2651,电气设备I,2015-02-17
300419.XSHE,浩丰科技,0.058,15.0211,7.2845,48.4952,计算机I,2015-01-22
300056.XSHE,三维丝,-0.6657,13.6478,6.5563,48.0393,公用事业I,2010-02-26
300368.XSHE,汇金股份,5.3451,9.6814,4.591,47.421,计算机I,2014-01-23
300200.XSHE,高盟新材,2.9663,14.6994,6.8677,46.7209,化工I,2011-04-07
300285.XSHE,国瓷材料,12.0025,33.3559,15.2352,45.6746,化工I,2012-01-13
300158.XSHE,振东制药,-3.1211,55.998,25.0037,44.651,医药生物I,2011-01-07
300159.XSHE,新研股份,13.4936,66.0827,28.864,43.6787,国防军工I,2011-01-07
300366.XSHE,创意信息,3.7498,28.8013,12.4793,43.3289,计算机I,2014-01-27
300466.XSHE,赛摩电气,0.4781,14.2159,6.1454,43.2292,电气设备I,2015-05-28
300256.XSHE,星星科技,2.84,34.8916,15.0641,43.1739,电子I,2011-08-19
300209.XSHE,天泽信息,-3.2484,19.452,8.3934,43.149,计算机I,2011-04-26
300173.XSHE,智慧松德,-0.4283,16.9597,7.2935,43.0048,机械设备I,2011-02-01
300288.XSHE,朗玛信息,2.7388,13.4629,5.766,42.829,计算机I,2012-02-16
300387.XSHE,富邦股份,1.7031,11.3654,4.8653,42.8082,化工I,2014-07-02
300490.XSHE,华自科技,1.9745,16.3415,6.9931,42.7935,电气设备I,2015-12-31
300097.XSHE,智云股份,5.8687,21.0315,8.9742,42.6702,机械设备I,2010-07-28
300313.XSHE,天山生物,3.575,22.6207,9.6371,42.6031,农林牧渔I,2012-04-25
300050.XSHE,世纪鼎利,0.1267,28.3895,12.082,42.5579,通信I,2010-01-20
300537.XSHE,广信材料,0.5641,12.5513,5.338,42.5295,化工I,2016-08-30
300432.XSHE,富临精工,4.2019,37.3155,15.5074,41.5576,汽车I,2015-03-19
300002.XSHE,神州泰岳,-2.1748,49.7972,20.6262,41.4203,计算机I,2009-10-30
300044.XSHE,赛为智能,2.6774,24.2636,10.0272,41.3259,计算机I,2010-01-20
300247.XSHE,融捷健康,1.4285,24.8395,10.1625,40.9127,家用电器I,2011-07-29
300391.XSHE,康跃科技,4.0079,14.3735,5.8457,40.67,机械设备I,2014-08-01
