,name,2013,2014,2015,2016,2017,roe_mean,gross_profit,revenue_grow,profit_grow,industry,ipo_date
600816.XSHG,安信信托,23.6608,29.3201,40.2289,77.0511,30.5931,40.17,,69.69,118.21,非银金融I,1994-01-28
600340.XSHG,华夏幸福,26.4889,30.8538,38.9368,42.3078,49.0915,37.54,47.93,39.17,37.74,房地产I,2003-12-30
002415.XSHE,海康威视,33.5871,33.3961,32.8771,34.3956,30.023,32.86,44.0,42.7,34.94,电子I,2010-05-28
002714.XSHE,牧原股份,,,25.7683,50.1497,20.8308,32.25,29.81,60.36,311.51,农林牧渔I,2014-01-28
000651.XSHE,格力电器,35.4439,30.7747,26.8638,35.9303,29.0508,31.61,32.86,10.57,26.8,家用电器I,1996-11-18
600519.XSHG,贵州茅台,33.1303,24.7839,26.6144,32.3174,40.2531,31.42,89.8,18.25,17.19,食品饮料I,2001-08-27
600566.XSHG,济川药业,28.6505,28.5185,25.8164,27.751,43.8692,30.92,84.95,24.08,39.53,医药生物I,2001-08-22
603288.XSHG,海天味业,,,31.0903,29.5027,30.0437,30.21,45.69,14.14,19.19,食品饮料I,2014-02-11
000049.XSHE,德赛电池,22.8735,23.0483,25.287,34.2157,44.4074,29.97,8.8,32.29,16.81,电子I,1995-03-20
000688.XSHE,建新矿业,22.5686,15.4133,21.0746,29.5667,60.9078,29.91,57.72,15.25,16.55,有色金属I,1997-01-20
000963.XSHE,华东医药,22.2063,27.5402,40.6654,30.5091,24.2421,29.03,26.12,13.83,30.76,医药生物I,2000-01-27
002294.XSHE,信立泰,24.4509,27.7298,29.7993,29.9086,28.7054,28.12,81.1,18.07,18.4,医药生物I,2009-09-10
002508.XSHE,老板电器,29.9584,31.4363,28.9271,24.6675,20.3321,27.06,53.68,29.14,40.76,家用电器I,2010-11-23
002236.XSHE,大华股份,25.0265,23.3433,23.0932,23.5795,35.323,26.07,38.23,39.96,29.2,电子I,2008-05-20
002304.XSHE,洋河股份,22.0861,22.0722,23.046,24.0766,31.0934,24.47,66.46,3.4,2.55,食品饮料I,2009-11-06
601877.XSHG,正泰电器,15.7781,15.8887,26.1043,30.9041,29.9341,23.72,29.32,9.04,17.69,电气设备I,2010-01-21
000423.XSHE,东阿阿胶,21.5404,22.6254,23.1452,23.1479,24.9581,23.08,65.05,19.96,14.5,医药生物I,1996-07-29
000333.XSHE,美的集团,23.1553,24.4594,24.6105,26.2088,16.5534,23.0,25.03,19.74,42.98,家用电器I,2013-09-18
002081.XSHE,金螳螂,17.5648,17.373,19.5635,28.3155,31.2247,22.81,16.8,9.36,13.02,建筑装饰I,2006-11-20
600201.XSHG,生物股份,21.0329,21.8642,25.7812,27.5853,16.0247,22.46,79.37,28.65,48.3,农林牧渔I,1999-01-15
600276.XSHG,恒瑞医药,22.3482,23.206,24.3003,20.9431,21.0683,22.37,86.63,20.62,24.82,医药生物I,2000-10-18
603898.XSHG,好莱客,,,20.0107,22.8915,23.0629,21.99,38.34,27.52,36.06,轻工制造I,2015-02-17
600612.XSHG,老凤祥,19.1864,20.4894,21.8366,23.3578,24.0231,21.78,8.35,9.83,14.43,轻工制造I,1992-08-14
601515.XSHG,东风股份,17.3253,15.7025,21.0628,25.5074,28.8958,21.7,42.04,9.85,2.93,轻工制造I,2012-02-16
000661.XSHE,长春高新,15.439,16.4141,23.2581,24.4218,28.4543,21.6,81.94,19.03,18.05,医药生物I,1996-12-18
002372.XSHE,伟星新材,26.3118,25.2726,20.7475,18.482,16.5236,21.47,46.72,16.08,28.49,建筑材料I,2010-03-18
600690.XSHG,青岛海尔,19.2012,17.6623,16.504,23.8192,29.3728,21.31,31.0,13.93,16.41,家用电器I,1993-11-19
600660.XSHG,福耀玻璃,16.3645,17.8222,20.7131,26.1419,24.6891,21.15,42.76,12.94,15.94,汽车I,1993-06-10
600887.XSHG,伊利股份,22.1157,21.023,20.8107,21.6787,18.7624,20.88,37.28,10.08,31.12,食品饮料I,1996-03-12
002032.XSHE,苏泊尔,24.4219,21.8898,20.2285,18.6456,18.5511,20.75,29.56,15.62,22.82,家用电器I,2004-08-17
002271.XSHE,东方雨虹,19.5224,21.1587,16.7176,21.6214,23.3675,20.48,37.73,28.85,48.31,建筑材料I,2008-09-10
000538.XSHE,云南白药,16.4751,18.5197,21.2466,22.4292,23.2384,20.38,31.19,12.05,15.65,医药生物I,1993-12-15
000002.XSHE,万科Ａ,22.1677,19.5941,18.7057,18.8738,21.4803,20.16,34.1,19.4,17.83,房地产I,1991-01-29
