,name,1d,5d,10d,20d,30d,60d,90d,tw,tm,tq,ty,2013y,2014y,2015y,2016y,2017y,vlt,update,aid
000423.XSHE,东阿阿胶,0.46,-0.96,-1.21,-1.78,-8.15,1.34,-13.9,0.0,0.0,-1.78,-12.31,-0.51,-3.93,42.54,4.48,13.42,22.68,2018-07-27,close
002508.XSHE,老板电器,-0.38,3.96,2.18,-6.63,-21.59,-18.45,-24.72,0.0,0.0,-6.63,-39.34,116.7,4.64,108.78,24.24,71.57,45.81,2018-07-27,close
600566.XSHG,济川药业,-0.02,-0.56,-2.76,3.07,1.78,0.79,14.5,0.0,0.0,3.07,32.67,200.97,-2.64,42.7,16.4,24.68,41.37,2018-07-27,close
600519.XSHG,贵州茅台,0.4,-0.35,-1.13,0.97,-4.72,11.65,1.24,0.0,0.0,0.97,7.39,-36.57,67.54,28.79,56.45,111.92,28.42,2018-07-27,close
603898.XSHG,好莱客,-0.53,-1.29,-1.05,-5.36,-16.26,-13.87,-15.39,0.0,0.0,-5.36,-16.82,,,,-4.28,-7.06,31.44,2018-07-27,close
600340.XSHG,华夏幸福,-0.43,1.02,-3.23,0.08,-7.77,-8.1,-24.85,0.0,0.0,0.08,-15.29,8.64,115.38,42.59,-20.41,33.83,54.6,2018-07-27,close
000002.XSHE,万科Ａ,-1.64,0.78,-1.69,-5.2,-14.8,-14.67,-28.53,0.0,0.0,-5.2,-24.92,-19.36,82.58,81.88,-12.35,56.24,43.26,2018-07-27,close
600276.XSHG,恒瑞医药,-0.14,-4.56,-6.12,-7.07,-7.72,10.55,11.83,0.0,0.0,-7.07,32.86,39.18,5.23,70.63,11.38,82.35,42.11,2018-07-27,close
000049.XSHE,德赛电池,-0.24,-1.48,2.46,1.74,-7.09,-9.72,-18.88,0.0,0.0,1.74,-26.93,130.82,-35.42,89.39,-25.63,-5.44,35.1,2018-07-27,close
002372.XSHE,伟星新材,-0.28,6.13,1.49,-0.11,-8.02,-0.34,10.51,0.0,0.0,-0.11,30.79,21.0,46.47,50.2,15.78,56.0,37.28,2018-07-27,close
600612.XSHG,老凤祥,-1.3,-3.16,-1.33,-4.3,-7.79,-6.21,-19.33,0.0,0.0,-4.3,-16.42,12.21,42.55,36.26,-12.12,13.14,24.4,2018-07-27,close
000963.XSHE,华东医药,-2.01,-3.37,-5.11,-1.87,-3.17,6.69,15.69,0.0,0.0,-1.87,33.12,35.23,15.9,57.95,-10.37,51.81,44.73,2018-07-27,close
600201.XSHG,生物股份,-1.86,-2.88,-2.22,-7.26,-8.65,-12.19,-29.21,0.0,0.0,-7.26,-34.21,82.07,37.16,111.75,-13.31,42.8,47.56,2018-07-27,close
601515.XSHG,东风股份,0.12,1.48,3.51,6.87,-5.5,-2.94,-12.97,0.0,0.0,6.87,-15.82,88.11,-14.07,49.9,-23.87,-15.81,20.2,2018-07-27,close
000538.XSHE,云南白药,-0.3,-3.07,-4.61,-4.15,-3.5,3.05,2.11,0.0,0.0,-4.15,0.73,50.78,-6.59,15.79,5.87,34.87,27.25,2018-07-27,close
603288.XSHG,海天味业,3.85,-0.44,-4.43,-0.64,-4.78,13.88,24.88,0.0,0.0,-0.64,37.85,,,61.42,-15.38,86.9,35.69,2018-07-27,close
002271.XSHE,东方雨虹,-0.46,6.24,2.12,2.12,-17.25,-20.06,-32.86,0.0,0.0,2.12,-25.77,74.77,27.42,17.57,11.76,85.13,67.92,2018-07-27,close
002304.XSHE,洋河股份,2.65,1.4,-1.39,1.91,-4.64,11.93,20.81,0.0,0.0,1.91,18.75,-54.82,101.36,23.83,5.45,66.86,41.27,2018-07-27,close
000661.XSHE,长春高新,0.4,-9.3,-15.44,-5.2,0.65,7.59,24.23,0.0,0.0,-5.2,18.45,78.3,-19.85,39.51,7.36,64.81,66.39,2018-07-27,close
002236.XSHE,大华股份,-3.25,-2.1,-1.36,-12.99,-15.06,-17.28,-27.23,0.0,0.0,-12.99,-14.32,76.83,-46.08,68.37,-6.7,69.5,67.73,2018-07-27,close
000333.XSHE,美的集团,-1.36,1.33,-1.36,-9.63,-15.4,-9.2,-19.07,0.0,0.0,-9.63,-12.85,,43.56,22.85,33.8,102.35,44.23,2018-07-27,close
600660.XSHG,福耀玻璃,-1.17,-1.98,0.84,-1.56,-1.02,9.95,-2.32,0.0,0.0,-1.56,-10.06,0.3,52.81,30.98,29.27,60.89,19.92,2018-07-27,close
000651.XSHE,格力电器,-0.88,-2.09,-5.04,-6.43,-9.85,-3.65,-17.41,0.0,0.0,-6.43,0.96,33.03,19.45,27.67,18.65,85.64,34.96,2018-07-27,close
002032.XSHE,苏泊尔,-1.25,2.72,-2.25,1.17,-5.26,2.98,24.97,0.0,0.0,1.17,30.9,20.52,20.25,66.07,27.63,52.78,51.29,2018-07-27,close
002714.XSHE,牧原股份,-3.95,-0.38,1.94,8.02,-3.35,0.46,-3.42,0.0,0.0,8.02,-9.14,,,114.07,-0.4,132.42,49.87,2018-07-27,close
600887.XSHG,伊利股份,-0.19,-2.29,-5.54,-3.51,-9.69,9.61,-11.07,0.0,0.0,-3.51,-14.4,79.53,11.14,16.94,10.43,89.23,34.45,2018-07-27,close
000688.XSHE,建新矿业,-0.53,-2.16,-3.33,-6.13,4.42,11.85,17.41,0.0,0.0,-6.13,4.33,94.24,25.13,42.26,-12.45,21.61,17.64,2018-07-27,close
002294.XSHE,信立泰,-0.48,-3.51,-4.9,-6.08,-16.1,-13.82,-10.16,0.0,0.0,-6.08,-21.25,36.39,5.18,37.76,-0.81,58.26,37.75,2018-07-27,close
002415.XSHE,海康威视,-1.16,-5.39,-5.03,-5.9,-9.13,-10.02,-15.11,0.0,0.0,-5.9,-9.32,48.98,-1.16,55.72,6.18,149.22,42.04,2018-07-27,close
600690.XSHG,青岛海尔,-3.22,-5.88,-8.93,-11.01,-15.86,-3.05,-14.3,0.0,0.0,-11.01,-7.5,50.09,-1.71,8.81,1.7,94.03,39.81,2018-07-27,close
