,name,pe,pe_ratio,pe_state,pe_min,pe_max,pe_median,pe_mean,pe_drop,pe_q10,pe_q20,pe_q40,pe_q50,pe_q60,pe_q80,pe_q90,pb,pb_ratio,pb_state,pb_min,pb_max,pb_median,pb_mean,pb_drop,pb_q10,pb_q20,pb_q40,pb_q50,pb_q60,pb_q80,pb_q90,ps,ps_ratio,ps_state,ps_min,ps_max,ps_median,ps_mean,ps_drop,ps_q10,ps_q20,ps_q40,ps_q50,ps_q60,ps_q80,ps_q90,pcf,pcf_ratio,pcf_state,pcf_min,pcf_max,pcf_median,pcf_mean,pcf_drop,pcf_q10,pcf_q20,pcf_q40,pcf_q50,pcf_q60,pcf_q80,pcf_q90,roe,roe_ratio,roe_state,roe_min,roe_max,roe_median,roe_mean,roe_drop,roe_q10,roe_q20,roe_q40,roe_q50,roe_q60,roe_q80,roe_q90,dyr,dyr_ratio,dyr_state,dyr_min,dyr_max,dyr_median,dyr_mean,dyr_drop,dyr_q10,dyr_q20,dyr_q40,dyr_q50,dyr_q60,dyr_q80,dyr_q90,cap,roe,roe_mean,Profit_margin,income,profit,peg,industry,sample,start,update,aid
000423.XSHE,东阿阿胶,16.87,3.19,极低,15.98,27.6,20.96,20.81,-5.28,17.88,18.63,20.06,20.96,21.53,22.82,23.57,3.3,1.06,极低,3.21,6.43,4.66,4.67,-2.73,3.94,4.14,4.48,4.66,4.83,5.15,5.48,4.68,1.06,极低,4.55,8.99,6.24,6.3,-2.78,5.36,5.7,6.05,6.24,6.45,6.84,7.18,152.27,88.04,较高,-1552.18,392.74,-29.37,-75.92,-1119.36,-182.76,-99.1,-42.49,-29.37,22.28,68.51,161.06,19.57,0.0,极低,19.57,25.01,22.64,22.43,0.0,20.79,21.34,22.16,22.64,22.84,23.32,24.12,1.7,59.71,合理,0.68,2.3,1.61,1.61,-60.0,1.32,1.39,1.49,1.61,1.7,1.86,1.98,23.84,21.54,23.08,65.05,19.96,14.5,1.16,医药生物I,1221,2013-07-29,2018-07-27,5
002508.XSHE,老板电器,17.95,1.06,极低,17.08,35.66,27.63,27.38,-4.85,21.6,23.53,26.74,27.63,28.91,30.71,31.84,5.57,32.35,偏低,3.88,10.85,6.9,6.87,-30.34,4.53,4.9,6.37,6.9,7.42,8.59,9.52,3.74,20.31,偏低,2.9,7.6,4.8,4.84,-22.46,3.29,3.72,4.5,4.8,5.11,5.76,6.52,-53.64,4.75,极低,-72.4,149.99,39.98,35.7,,-48.23,25.9,35.59,39.98,43.31,63.06,77.58,31.02,83.95,较高,16.06,34.03,24.86,25.01,-48.23,18.07,19.53,24.6,24.86,26.3,30.81,31.45,2.62,98.85,极高,0.62,2.76,0.9,1.0,-76.34,0.75,0.79,0.85,0.9,0.97,1.1,1.32,6.66,29.96,27.06,53.68,29.14,40.76,0.44,家用电器I,1221,2013-07-29,2018-07-27,5
600566.XSHG,济川药业,28.9,47.17,合理,-555.0,46.82,29.14,-7.26,-2020.42,-54.24,25.99,28.19,29.14,30.17,34.6,38.06,10.31,91.65,极高,2.39,29.59,7.95,8.25,-76.82,6.51,7.05,7.67,7.95,8.29,9.06,10.0,6.36,65.19,偏高,4.27,178.68,6.0,15.94,-32.86,5.06,5.47,5.78,6.0,6.22,7.05,16.38,113.82,78.38,偏高,-1670.31,3359.45,47.19,-41.37,-1567.5,-1219.69,-237.88,29.64,47.19,56.63,117.94,236.86,35.67,96.72,极高,-11.55,35.67,25.57,21.4,-132.38,-3.37,21.39,25.16,25.57,25.76,29.7,29.89,2.0,70.43,偏高,0.01,3.06,1.67,1.3,-99.5,0.01,0.01,1.49,1.67,1.84,2.1,2.26,10.23,28.65,30.92,84.95,24.08,39.53,0.73,医药生物I,1221,2013-07-29,2018-07-27,5
600519.XSHG,贵州茅台,31.49,80.34,较高,8.83,40.86,18.18,20.95,-71.96,10.67,12.04,16.18,18.18,23.28,31.45,33.1,10.77,95.66,极高,2.89,11.74,4.82,5.83,-73.17,3.65,3.91,4.47,4.82,5.63,8.44,9.88,14.15,88.94,较高,4.32,17.34,8.69,9.44,-69.47,5.21,5.8,7.74,8.69,10.5,13.2,14.26,86.97,76.58,偏高,-2601.89,2683.3,32.34,94.45,-3091.71,-50.99,17.0,25.65,32.34,46.89,92.52,348.87,34.2,88.7,较高,21.17,40.16,27.72,28.63,-38.1,23.3,24.11,26.88,27.72,28.73,32.89,34.2,1.49,24.65,偏低,0.85,5.41,1.89,2.19,-42.95,1.02,1.4,1.73,1.89,2.0,2.59,4.21,539.72,33.13,31.42,89.8,18.25,17.19,1.83,食品饮料I,1221,2013-07-29,2018-07-27,5
603898.XSHG,好莱客,21.95,0.48,极低,19.54,93.83,47.05,48.02,-10.98,27.07,29.5,42.69,47.05,50.87,59.28,69.27,3.93,0.48,极低,3.8,18.23,9.23,8.99,-3.31,4.56,4.98,8.89,9.23,9.51,10.93,14.53,4.04,0.6,极低,3.06,14.5,7.55,7.78,-24.26,4.99,5.47,7.07,7.55,7.95,9.08,10.66,44.13,50.71,合理,-591.29,338.56,41.36,-10.39,-1439.88,-497.95,-74.62,24.74,41.36,57.81,120.34,257.08,17.92,66.79,偏高,15.52,37.15,17.71,18.83,-13.39,16.65,16.74,17.69,17.71,17.79,19.95,22.22,1.33,91.79,极高,0.18,1.38,0.51,0.55,-86.47,0.23,0.29,0.47,0.51,0.56,0.8,0.85,2.18,20.01,21.99,38.34,27.52,36.06,0.61,轻工制造I,840,2015-02-17,2018-07-27,5
600340.XSHG,华夏幸福,8.18,1.15,极低,7.3,25.16,13.69,13.99,-10.76,10.46,11.42,13.15,13.69,14.19,15.89,18.6,2.8,1.72,极低,2.5,8.67,4.14,4.51,-10.71,3.2,3.43,3.82,4.14,4.6,5.62,6.29,1.24,1.64,极低,1.11,3.37,1.86,1.89,-10.48,1.42,1.51,1.75,1.86,1.95,2.14,2.52,-35.35,3.85,极低,-41.0,26.24,7.69,6.19,,3.76,4.44,5.65,7.69,8.46,10.8,15.84,34.27,55.04,合理,22.13,40.75,33.7,32.3,-35.42,24.51,25.44,31.17,33.7,34.46,36.84,37.92,3.49,98.77,极高,0.24,3.91,1.51,1.4,-93.12,0.4,0.51,1.38,1.51,1.72,2.07,2.19,20.18,26.49,37.54,47.93,39.17,37.74,0.22,房地产I,1221,2013-07-29,2018-07-27,5
000002.XSHE,万科Ａ,9.11,31.45,偏低,5.21,19.04,10.78,10.81,-42.81,6.29,7.16,9.86,10.78,11.59,14.38,15.12,1.89,47.83,合理,0.94,3.9,1.94,2.06,-50.26,1.25,1.41,1.78,1.94,2.25,2.69,2.99,1.01,46.36,合理,0.58,1.89,1.03,1.07,-42.57,0.72,0.82,0.98,1.03,1.11,1.34,1.44,751.65,95.5,极高,-46.95,924.74,10.39,56.21,-106.25,-26.17,-6.46,8.5,10.39,16.21,23.67,94.18,20.74,90.01,极高,16.68,22.11,19.42,19.12,-19.58,17.51,18.09,18.32,19.42,19.57,20.5,20.63,3.41,69.78,偏高,1.76,5.65,2.92,3.01,-48.39,2.05,2.21,2.77,2.92,3.12,3.52,4.25,143.37,22.17,20.16,34.1,19.4,17.83,0.51,房地产I,1221,2013-07-29,2018-07-27,5
600276.XSHG,恒瑞医药,77.29,94.43,极高,34.02,90.47,45.21,49.24,-55.98,38.16,39.57,43.24,45.21,48.37,55.49,69.43,16.17,95.74,极高,6.51,18.93,9.53,9.96,-59.74,7.27,7.69,9.11,9.53,9.92,11.19,14.04,17.85,94.35,极高,6.82,20.9,10.34,10.89,-61.79,7.66,8.08,9.92,10.34,10.82,12.42,16.08,-167.44,6.88,极低,-592.59,337.15,60.57,32.67,,-150.59,-69.85,56.54,60.57,63.41,74.18,89.26,20.93,64.21,偏高,17.76,21.92,20.46,20.16,-15.15,18.14,19.03,19.98,20.46,20.85,21.08,21.71,0.14,6.31,极低,0.11,0.27,0.18,0.18,-21.43,0.14,0.15,0.17,0.18,0.19,0.22,0.23,104.45,22.35,22.37,86.63,20.62,24.82,3.11,医药生物I,1221,2013-07-29,2018-07-27,5
000049.XSHE,德赛电池,18.45,1.06,极低,17.56,60.62,37.56,37.63,-4.82,24.57,31.07,36.04,37.56,39.37,45.07,49.06,3.97,1.06,极低,3.78,24.52,9.5,10.82,-4.79,5.86,8.2,9.05,9.5,10.84,13.85,17.06,0.42,0.16,极低,0.41,2.98,1.17,1.3,-2.38,0.68,0.96,1.1,1.17,1.24,1.68,2.23,-20.9,28.99,偏低,-813.71,314.85,72.39,-15.72,,-512.74,-56.26,59.51,72.39,83.46,99.17,163.09,21.51,13.43,较低,18.18,41.36,29.89,28.38,-15.48,19.29,21.63,24.34,29.89,30.44,35.63,37.33,0.87,98.12,极高,0.26,0.95,0.43,0.46,-70.11,0.33,0.35,0.38,0.43,0.46,0.53,0.68,3.51,22.87,29.97,8.8,32.29,16.81,1.1,电子I,1221,2013-07-29,2018-07-27,5
002372.XSHE,伟星新材,25.88,82.8,较高,14.81,39.54,22.26,21.95,-42.77,16.68,17.45,20.74,22.26,23.19,25.43,27.16,7.6,95.58,极高,2.22,9.97,4.61,4.7,-70.79,2.57,2.88,4.21,4.61,4.93,6.4,7.08,5.52,91.73,极高,2.04,6.74,4.02,3.9,-63.04,2.4,2.55,3.7,4.02,4.18,4.98,5.44,54.92,69.04,偏高,-3236.95,1706.5,32.76,-0.47,-5993.94,-219.76,-130.59,-43.23,32.76,44.38,94.83,522.03,29.36,97.05,极高,13.91,31.15,19.54,20.9,-52.62,15.28,17.12,18.92,19.54,20.24,25.68,27.5,2.61,28.99,偏低,1.7,5.59,2.85,3.19,-34.87,2.26,2.52,2.7,2.85,3.04,4.11,4.61,8.13,26.31,21.47,46.72,16.08,28.49,0.91,建筑材料I,1221,2013-07-29,2018-07-27,5
