,pe,pb,ps,pcf,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2016-11-29,17.36,1.56,4.72,-181.76,8.99,,109.61,6.16,7.39,6.16,7.39,5.13,102980.0,755830.0
2016-11-30,19.08,1.71,5.19,-199.86,8.96,,120.53,8.12,8.12,8.12,8.12,7.39,45199.0,367155.0
2016-12-01,20.99,1.88,5.71,-219.81,8.96,,132.56,8.93,8.93,8.93,8.93,8.12,87779.0,784210.0
2016-12-02,23.09,2.07,6.28,-241.79,8.96,,145.81,9.83,9.83,9.83,9.83,8.93,280917.0,2760668.0
2016-12-05,25.4,2.28,6.91,-265.99,8.98,,160.4,10.81,10.81,10.81,10.81,9.83,763818.0,8257493.0
2016-12-06,27.94,2.51,7.6,-292.59,8.98,,176.44,11.89,11.89,11.89,11.89,10.81,756210.0,8992764.0
2016-12-07,30.73,2.76,8.36,-321.77,8.98,,194.04,13.08,13.08,12.77,13.08,11.89,33054564.0,432109992.0
2016-12-08,33.79,3.03,9.2,-353.91,8.97,,213.43,13.55,14.38,13.29,14.38,13.08,94610845.0,1312026374.0
2016-12-09,31.2,2.8,8.49,-326.76,8.97,,197.05,14.04,13.28,13.09,14.04,14.38,83647879.0,1132111457.0
2016-12-12,29.47,2.65,8.02,-308.66,8.99,,186.13,13.1,12.55,12.45,13.63,13.28,53684510.0,701620274.0
2016-12-13,29.21,2.62,7.95,-305.88,8.97,,184.46,12.39,12.43,12.17,12.64,12.55,34077880.0,422445768.0
2016-12-14,28.56,2.56,7.77,-299.05,8.96,,180.34,12.31,12.15,12.11,12.73,12.43,33308372.0,413265491.0
2016-12-15,28.29,2.54,7.7,-296.28,8.98,,178.67,12.01,12.04,11.88,12.3,12.15,26795674.0,323254119.0
2016-12-16,28.13,2.53,7.65,-294.62,8.99,,177.67,12.06,11.97,11.88,12.27,12.04,20114084.0,242147685.0
2016-12-19,28.03,2.52,7.63,-293.51,8.99,,177.0,12.0,11.93,11.57,12.06,11.97,22870544.0,270430959.0
2016-12-20,28.04,2.52,7.63,-293.69,8.99,,177.11,11.86,11.94,11.77,12.06,11.93,16213366.0,193406917.0
2016-12-21,27.99,2.51,7.62,-293.14,8.97,,176.78,11.96,11.91,11.79,12.06,11.94,16520707.0,197063134.0
