,pe,pb,ps,pcf,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2008-09-10,29.35,5.87,2.18,24.41,20.0,,10.55,0.96,0.92,0.9,1.0,0.79,190783911.0,178218176.0
2008-09-11,26.42,5.28,1.96,21.97,19.98,,9.49,0.83,0.83,0.83,0.85,0.92,81802731.0,67724833.0
2008-09-12,24.96,4.99,1.85,20.76,19.99,,8.97,0.8,0.78,0.77,0.81,0.83,59325935.0,46806689.0
2008-09-16,23.73,4.74,1.76,19.73,19.97,,8.53,0.78,0.74,0.73,0.78,0.78,42527800.0,32029990.0
2008-09-17,23.98,4.79,1.78,19.94,19.97,,8.62,0.74,0.75,0.72,0.76,0.74,32037620.0,23632403.0
2008-09-18,22.91,4.58,1.7,19.05,19.99,,8.23,0.72,0.72,0.69,0.74,0.75,29910691.0,21527211.0
2008-09-19,25.2,5.04,1.87,20.95,20.0,,9.05,0.78,0.79,0.76,0.79,0.72,53568427.0,41665458.0
2008-09-22,26.33,5.26,1.95,21.89,19.98,,9.46,0.87,0.82,0.81,0.87,0.79,81168053.0,68633640.0
2008-09-23,23.7,4.74,1.76,19.71,20.0,,8.52,0.78,0.74,0.74,0.79,0.82,31982381.0,24348951.0
2008-09-24,23.16,4.63,1.72,19.26,19.99,,8.32,0.72,0.72,0.7,0.73,0.74,17377901.0,12385166.0
2008-09-25,23.63,4.72,1.75,19.65,19.97,,8.49,0.73,0.74,0.72,0.76,0.72,26114810.0,19422409.0
2008-09-26,22.92,4.58,1.7,19.06,19.98,,8.24,0.74,0.72,0.71,0.74,0.74,17516129.0,12689009.0
2008-10-06,21.62,1.97,1.6,17.97,9.11,,7.77,0.7,0.68,0.67,0.7,0.72,14999434.0,10207617.0
2008-10-07,21.47,1.96,1.59,17.85,9.13,,7.71,0.66,0.67,0.65,0.68,0.68,8485457.0,5636995.0
2008-10-08,20.85,1.9,1.55,17.34,9.11,,7.49,0.66,0.65,0.65,0.66,0.67,8080911.0,5310078.0
2008-10-09,20.82,1.9,1.54,17.31,9.13,,7.48,0.66,0.65,0.65,0.67,0.65,9778007.0,6402978.0
2008-10-10,18.87,1.72,1.4,15.69,9.11,,6.78,0.63,0.59,0.59,0.63,0.65,14759994.0,8961155.0
2008-10-13,19.25,1.76,1.43,16.01,9.14,,6.92,0.58,0.6,0.57,0.6,0.59,13691908.0,7951569.0
2008-10-14,18.83,1.72,1.4,15.65,9.13,,6.76,0.62,0.59,0.59,0.62,0.6,13706775.0,8339236.0
2008-10-15,19.08,1.74,1.41,15.86,9.12,,6.85,0.59,0.6,0.58,0.61,0.59,8337682.0,4934253.0
2008-10-16,17.47,1.6,1.3,14.53,9.16,,6.28,0.56,0.55,0.55,0.57,0.6,8264786.0,4615970.0
2008-10-17,17.74,1.62,1.32,14.75,9.13,,6.37,0.55,0.55,0.55,0.56,0.55,4535914.0,2498702.0
2008-10-20,18.16,1.66,1.35,15.1,9.14,,6.53,0.55,0.57,0.55,0.57,0.55,6841006.0,3821693.0
2008-10-21,18.33,1.67,1.36,15.24,9.11,,6.58,0.57,0.57,0.56,0.58,0.57,8550178.0,4894954.0
2008-10-22,18.62,1.7,1.38,15.48,9.13,,6.69,0.56,0.58,0.56,0.6,0.57,11980818.0,6973039.0
2008-10-23,18.58,1.7,1.38,15.45,9.15,,6.67,0.57,0.58,0.56,0.58,0.58,5499495.0,3147639.0
2008-10-24,18.77,1.71,1.39,15.6,9.11,,6.74,0.58,0.59,0.58,0.6,0.58,10792816.0,6332201.0
2008-10-27,15.22,1.72,1.0,4.11,11.3,,6.76,0.6,0.59,0.58,0.62,0.59,23324450.0,13984424.0
2008-10-28,15.67,1.77,1.03,4.23,11.3,,6.96,0.58,0.61,0.58,0.61,0.59,19094812.0,11435212.0
2008-10-29,15.69,1.77,1.03,4.23,11.28,,6.97,0.61,0.61,0.6,0.63,0.61,15041855.0,9212801.0
2008-10-30,15.58,1.76,1.02,4.2,11.3,,6.92,0.62,0.6,0.6,0.62,0.61,8731023.0,5281610.0
2008-10-31,16.04,1.81,1.05,4.33,11.28,,7.13,0.6,0.62,0.6,0.62,0.6,10068566.0,6190079.0
2008-11-03,16.88,1.91,1.11,4.56,11.32,,7.5,0.62,0.65,0.62,0.66,0.62,18578612.0,11924089.0
2008-11-04,16.56,1.87,1.09,4.47,11.29,,7.36,0.64,0.64,0.62,0.65,0.65,10027409.0,6385015.0
2008-11-05,17.16,1.94,1.13,4.63,11.31,,7.62,0.64,0.66,0.64,0.67,0.64,16397142.0,10731130.0
2008-11-06,17.1,1.93,1.12,4.61,11.29,,7.6,0.64,0.66,0.64,0.7,0.66,19682775.0,13239138.0
2008-11-07,17.55,1.98,1.15,4.74,11.28,,7.8,0.66,0.68,0.65,0.68,0.66,14182299.0,9515910.0
2008-11-10,18.95,2.14,1.25,5.11,11.29,,8.42,0.7,0.73,0.69,0.75,0.68,21403850.0,15544247.0
2008-11-11,19.59,2.21,1.29,5.29,11.28,,8.71,0.73,0.76,0.71,0.77,0.73,25369872.0,19102400.0
2008-11-12,21.46,2.42,1.41,5.79,11.28,,9.53,0.75,0.83,0.74,0.83,0.76,41064346.0,33366196.0
2008-11-13,21.85,2.47,1.44,5.89,11.3,,9.71,0.82,0.84,0.8,0.86,0.83,37021721.0,30687540.0
2008-11-14,21.87,2.47,1.44,5.9,11.29,,9.72,0.84,0.84,0.82,0.88,0.84,36684404.0,31110280.0
2008-11-17,24.06,2.72,1.58,6.49,11.31,,10.69,0.84,0.93,0.83,0.93,0.84,40370745.0,35828196.0
2008-11-18,22.56,2.55,1.48,6.09,11.3,,10.02,0.92,0.87,0.84,0.94,0.93,42742651.0,37949024.0
2008-11-19,23.98,2.71,1.58,6.47,11.3,,10.66,0.86,0.93,0.86,0.93,0.87,36105291.0,32043928.0
2008-11-20,22.22,2.51,1.46,5.99,11.3,,9.87,0.9,0.86,0.86,0.92,0.93,26724288.0,23740802.0
2008-11-21,21.73,2.45,1.43,5.86,11.27,,9.66,0.83,0.84,0.78,0.89,0.86,33006585.0,27401112.0
2008-11-24,20.91,2.36,1.37,5.64,11.29,,9.29,0.84,0.81,0.8,0.85,0.84,16015355.0,13141933.0
2008-11-25,21.34,2.41,1.4,5.76,11.29,,9.48,0.82,0.82,0.8,0.84,0.81,15578655.0,12831431.0
2008-11-26,21.68,2.45,1.42,5.85,11.3,,9.63,0.83,0.84,0.81,0.85,0.82,13850932.0,11543319.0
2008-11-27,21.59,2.44,1.42,5.82,11.3,,9.59,0.89,0.83,0.83,0.9,0.84,24838980.0,21602110.0
2008-11-28,21.37,2.41,1.4,5.77,11.28,,9.5,0.82,0.83,0.8,0.84,0.83,14619020.0,11926890.0
2008-12-01,22.38,2.53,1.47,6.04,11.3,,9.95,0.82,0.86,0.81,0.88,0.83,16445514.0,13993796.0
2008-12-02,24.63,2.78,1.62,6.64,11.29,,10.94,0.85,0.95,0.84,0.95,0.86,38885340.0,36362064.0
2008-12-03,27.08,3.06,1.78,7.31,11.3,,12.03,0.96,1.05,0.96,1.05,0.95,27470838.0,27944820.0
2008-12-04,29.79,3.36,1.96,8.04,11.28,,13.24,1.12,1.15,1.11,1.15,1.05,42524530.0,48810452.0
2008-12-05,30.16,3.4,1.98,8.14,11.27,,13.4,1.17,1.17,1.11,1.22,1.15,54767590.0,63684472.0
2008-12-08,30.97,3.5,2.04,8.36,11.3,,13.76,1.18,1.2,1.12,1.26,1.17,48746858.0,57868488.0
2008-12-09,29.68,3.35,1.95,8.01,11.29,,13.19,1.17,1.15,1.13,1.19,1.2,30782390.0,35380348.0
2008-12-10,32.65,3.69,2.15,8.81,11.3,,14.51,1.12,1.26,1.12,1.26,1.15,65898377.0,80416560.0
2008-12-11,32.06,3.62,2.11,8.65,11.29,,14.25,1.29,1.24,1.22,1.35,1.26,75919050.0,97212152.0
2008-12-12,30.28,3.42,1.99,8.17,11.29,,13.45,1.23,1.17,1.14,1.24,1.24,53232700.0,62758224.0
2008-12-15,29.67,3.35,1.95,8.01,11.29,,13.18,1.18,1.15,1.1,1.22,1.17,45710585.0,52738480.0
